Accum_y-0,T-1,T-2,Accum_y-1
2307,191,900,647
2337,197,848,437
2432,201,848,363
2431,243,845,232
2560,243,820,233
2721,243,400,276
2685,299,364,283
2553,406,384,292
2494,456,383,319
2301,649,311,465
2250,689,319,756
2230,750,328,941
2134,886,294,1001
2158,916,231,1011
2120,887,186,1011
2038,926,219,1006
1975,989,219,1010
1969,995,219,1052
1773,1215,219,1038
1348,1646,219,1022
1256,1738,219,985
1152,1845,181,996
1126,1900,183,1000
1057,1975,176,1061
1107,1975,175,1068
1153,1988,175,1076
1253,1993,175,1085
1253,2009,176,1096
1185,2080,176,1126
1129,2144,176,1126
951,2322,176,1126
958,2307,191,1126
994,2337,197,1126
994,2432,201,1126
968,2431,243,1126
839,2560,243,1125
695,2721,243,1087
674,2685,299,1031
677,2553,406,1022
681,2494,456,995
681,2301,649,849
681,2250,689,538
626,2230,750,325
586,2134,886,257
531,2158,916,247
531,2120,887,247
531,2038,926,244
531,1975,989,256
531,1969,995,214
507,1773,1215,223
501,1348,1646,236
501,1256,1738,274
528,1152,1845,240
513,1126,1900,240
532,1057,1975,179
482,1107,1975,172
423,1153,1988,174
320,1253,1993,189
351,1253,2009,178
350,1185,2080,148
390,1129,2144,148
441,951,2322,148
434,958,2307,148
362,994,2337,148
266,994,2432,149
253,968,2431,149
283,839,2560,149
266,695,2721,143
266,674,2685,142
263,677,2553,142
269,681,2494,142
298,681,2301,142
298,681,2250,142
360,626,2230,142
366,586,2134,142
383,531,2158,152
426,531,2120,152
526,531,2038,152
526,531,1975,136
582,531,1969,147
594,507,1773,161
599,501,1348,155
620,501,1256,113
638,528,1152,104
626,513,1126,107
601,532,1057,107
614,482,1107,107
615,423,1153,97
613,320,1253,73
644,351,1253,73
743,350,1185,104
734,390,1129,104
683,441,951,104
763,434,958,167
785,362,994,212
787,266,994,225
788,253,968,225
786,283,839,225
921,266,695,227
931,266,674,227
996,263,677,283
992,269,681,350
983,298,681,355
983,298,681,366
921,360,626,366
914,366,586,366
897,383,531,356
854,426,531,358
754,526,531,358
754,526,531,358
698,582,531,347
686,594,507,317
681,599,501,310
723,620,501,310
682,638,528,310
679,626,513,301
693,601,532,301
680,614,482,301
679,615,423,301
679,613,320,315
600,644,351,319
499,743,350,288
460,734,390,288
523,683,441,288
453,763,434,225
482,785,362,197
477,787,266,276
534,788,253,298
506,786,283,323
371,921,266,321
361,931,266,335
297,996,263,601
297,992,269,910
329,983,298,921
329,983,298,917
329,921,360,917
329,914,366,917
362,897,383,957
369,854,426,955
464,754,526,1044
577,754,526,1046
583,698,582,1046
698,686,594,1041
718,681,599,1041
655,723,620,1041
672,682,638,1130
674,679,626,1193
660,693,601,1256
660,680,614,1256
660,679,615,1294
660,679,613,1280
660,600,644,1276
794,499,743,1365
825,460,734,1391
926,523,683,1391
938,453,763,1391
898,482,785,1374
900,477,787,1281
840,534,788,1259
840,506,786,1234
859,371,921,1293
864,361,931,1282
863,297,996,986
857,297,992,620
805,329,983,638
805,329,983,646
805,329,921,662
805,329,914,669
772,362,897,629
765,369,854,629
670,464,754,540
557,577,754,677
551,583,698,677
436,698,686,677
416,718,681,677
416,655,723,677
391,672,682,588
388,674,679,532
388,660,693,469
388,660,680,469
388,660,679,431
388,660,679,431
388,660,600,431
254,794,499,342
223,825,460,316
59,926,523,320
37,938,453,320
65,898,482,320
96,900,477,320
97,840,534,320
97,840,506,381
78,859,371,322
73,864,361,374
73,863,297,351
75,857,297,541
75,805,329,512
75,805,329,510
75,805,329,494
75,805,329,488
77,772,362,640
77,765,369,682
77,670,464,707
77,557,577,568
77,551,583,568
132,436,698,568
132,416,718,608
132,416,655,626
132,391,672,763
142,388,674,900
142,388,660,900
185,388,660,1112
276,388,660,1139
352,388,660,1139
352,388,660,1139
352,254,794,1139
352,223,825,1139
352,59,926,1135
352,37,938,1135
406,65,898,1135
395,96,900,1135
394,97,840,1190
508,97,840,1140
569,78,859,1140
632,73,864,1086
632,73,863,1083
630,75,857,955
630,75,805,1028
630,75,805,1015
647,75,805,1015
647,75,805,1014
852,77,772,862
853,77,765,820
853,77,670,795
853,77,557,795
864,77,551,796
809,132,436,796
830,132,416,756
832,132,416,738
833,132,391,601
829,142,388,457
829,142,388,457
786,185,388,245
695,276,388,218
619,352,388,218
619,352,388,218
619,352,254,242
619,352,223,242
630,352,59,245
709,352,37,245
689,406,65,269
793,395,96,376
825,394,97,330
877,508,97,418
816,569,78,535
832,632,73,546
832,632,73,787
953,630,75,801
964,630,75,996
968,630,75,1001
965,647,75,1001
1015,647,75,1001
900,852,77,1001
950,853,77,1001
951,853,77,1040
951,853,77,1204
940,864,77,1288
1086,809,132,1378
1067,830,132,1442
1065,832,132,1442
1064,833,132,1442
1058,829,142,1442
1058,829,142,1442
1058,786,185,1457
1058,695,276,1509
1058,619,352,1509
1071,619,352,1512
1078,619,352,1513
1078,619,352,1933
1067,630,352,1967
988,709,352,1972
915,689,406,1958
789,793,395,1923
757,825,394,1917
591,877,508,1823
591,816,569,1741
512,832,632,1793
512,832,632,1664
391,953,630,1588
380,964,630,1315
376,968,630,1310
362,965,647,1310
312,1015,647,1310
220,900,852,1310
169,950,853,1349
239,951,853,1310
333,951,853,1153
416,940,864,1069
310,1086,809,979
320,1067,830,915
377,1065,832,915
387,1064,833,915
452,1058,829,915
580,1058,829,915
637,1058,786,900
637,1058,695,848
637,1058,619,848
624,1071,619,845
617,1078,619,820
617,1078,619,400
622,1067,630,364
681,988,709,384
681,915,689,383
716,789,793,311
790,757,825,319
790,591,877,328
790,591,816,294
803,512,832,231
815,512,832,186
885,391,953,219
889,380,964,219
892,376,968,219
931,362,965,219
958,312,1015,219
963,220,900,219
963,169,950,181
1002,239,951,183
908,333,951,176
825,416,940,175
785,310,1086,175
788,320,1067,175
731,377,1065,176
721,387,1064,176
656,452,1058,176
528,580,1058,176
471,637,1058,191
471,637,1058,197
492,637,1058,201
553,624,1071,243
587,617,1078,243
631,617,1078,243
651,622,1067,299
622,681,988,406
681,681,915,456
648,716,789,649
576,790,757,689
576,790,591,750
603,790,591,886
609,803,512,916
597,815,512,887
530,885,391,926
526,889,380,989
529,892,376,995
491,931,362,1215
471,958,312,1646
466,963,220,1738
466,963,169,1845
356,1002,239,1900
356,908,333,1975
357,825,416,1975
366,785,310,1988
546,788,320,1993
618,731,377,2009
710,721,387,2080
753,656,452,2144
801,528,580,2322
809,471,637,2307
820,471,637,2337
800,492,637,2432
739,553,624,2431
705,587,617,2560
665,631,617,2721
640,651,622,2685
657,622,681,2553
614,681,681,2494
682,648,716,2301
711,576,790,2250
747,576,790,2230
720,603,790,2134
711,609,803,2158
712,597,815,2120
709,530,885,2038
709,526,889,1975
808,529,892,1969
807,491,931,1773
823,471,958,1348
853,466,963,1256
1387,466,963,1152
1509,356,1002,1126
1525,356,908,1057
1816,357,825,1107
1921,366,785,1153
1762,546,788,1253
1930,618,731,1253
2053,710,721,1185
2024,753,656,1129
1976,801,528,951
1983,809,471,958
2023,820,471,994
2022,800,492,994
2035,739,553,968
2035,705,587,839
2036,665,631,695
2036,640,651,674
2008,657,622,677
1997,614,681,681
1967,682,648,681
1992,711,576,681
1991,747,576,626
2022,720,603,586
2019,711,609,531
2226,712,597,531
2271,709,530,531
2320,709,526,531
2221,808,529,531
2298,807,491,507
2325,823,471,501
2312,853,466,501
1778,1387,466,528
1715,1509,356,513
1732,1525,356,532
1464,1816,357,482
1356,1921,366,423
1320,1762,546,320
1080,1930,618,351
874,2053,710,350
935,2024,753,390
978,1976,801,441
963,1983,809,434
970,2023,820,362
994,2022,800,266
981,2035,739,253
1003,2035,705,283
998,2036,665,266
998,2036,640,266
979,2008,657,263
974,1997,614,269
934,1967,682,298
878,1992,711,298
888,1991,747,360
884,2022,720,366
1047,2019,711,383
952,2226,712,426
1012,2271,709,526
969,2320,709,526
967,2221,808,582
890,2298,807,594
840,2325,823,599
823,2312,853,620
854,1778,1387,638
806,1715,1509,626
834,1732,1525,601
834,1464,1816,614
859,1356,1921,615
859,1320,1762,613
918,1080,1930,644
910,874,2053,743
835,935,2024,734
792,978,1976,683
792,963,1983,763
734,970,2023,785
711,994,2022,787
711,981,2035,788
689,1003,2035,786
689,998,2036,921
731,998,2036,931
731,979,2008,996
731,974,1997,992
731,934,1967,983
731,878,1992,983
724,888,1991,921
700,884,2022,914
609,1047,2019,897
683,952,2226,854
679,1012,2271,754
719,969,2320,754
716,967,2221,698
716,890,2298,686
716,840,2325,681
716,823,2312,723
745,854,1778,682
772,806,1715,679
711,834,1732,693
687,834,1464,680
708,859,1356,679
726,859,1320,679
667,918,1080,600
666,910,874,499
666,835,935,460
666,792,978,523
666,792,963,453
666,734,970,482
665,711,994,477
665,711,981,534
665,689,1003,506
665,689,998,371
623,731,998,361
623,731,979,297
623,731,974,297
623,731,934,329
623,731,878,329
653,724,888,329
757,700,884,329
806,609,1047,362
621,683,952,369
520,679,1012,464
474,719,969,577
473,716,967,583
473,716,890,698
473,716,840,718
509,716,823,655
449,745,854,672
421,772,806,674
438,711,834,660
470,687,834,660
448,708,859,660
449,726,859,660
472,667,918,660
512,666,910,794
552,666,835,825
599,666,792,926
610,666,792,938
610,666,734,898
645,665,711,900
645,665,711,840
645,665,689,840
646,665,689,859
646,623,731,864
658,623,731,863
689,623,731,857
689,623,731,805
705,623,731,805
649,653,724,805
577,757,700,805
508,806,609,772
506,621,683,765
506,520,679,670
533,474,719,557
533,473,716,551
533,473,716,436
533,473,716,416
497,509,716,416
497,449,745,391
487,421,772,388
470,438,711,388
438,470,687,388
408,448,708,388
389,449,726,388
400,472,667,388
384,512,666,254
359,552,666,223
312,599,666,59
301,610,666,37
301,610,666,65
266,645,665,96
266,645,665,97
266,645,665,97
272,646,665,78
273,646,623,73
261,658,623,73
230,689,623,75
268,689,623,75
252,705,623,75
252,649,653,75
217,577,757,75
158,508,806,77
158,506,621,77
158,506,520,77
209,533,474,77
209,533,473,77
209,533,473,132
209,533,473,132
293,497,509,132
350,497,449,132
358,487,421,142
358,470,438,142
358,438,470,185
358,408,448,276
358,389,449,352
324,400,472,352
300,384,512,352
285,359,552,352
285,312,599,352
285,301,610,352
382,301,610,406
443,266,645,395
443,266,645,394
443,266,645,508
436,272,646,569
436,273,646,632
436,261,658,632
436,230,689,630
398,268,689,630
398,252,705,630
386,252,649,647
386,217,577,647
386,158,508,852
386,158,506,853
386,158,506,853
391,209,533,853
472,209,533,864
539,209,533,809
539,209,533,830
455,293,497,832
440,350,497,833
439,358,487,829
474,358,470,829
474,358,438,786
474,358,408,695
474,358,389,619
475,324,400,619
581,300,384,619
581,285,359,619
656,285,312,630
656,285,301,709
620,382,301,689
740,443,266,793
742,443,266,825
780,443,266,877
814,436,272,816
820,436,273,832
863,436,261,832
863,436,230,953
865,398,268,964
953,398,252,968
955,386,252,965
956,386,217,1015
956,386,158,900
956,386,158,950
956,386,158,951
873,391,209,951
792,472,209,940
801,539,209,1086
802,539,209,1067
803,455,293,1065
892,440,350,1064
885,439,358,1058
850,474,358,1058
850,474,358,1058
902,474,358,1058
903,474,358,1058
1132,475,324,1071
1042,581,300,1078
1079,581,285,1078
1006,656,285,1067
1008,656,285,988
947,620,382,915
766,740,443,789
764,742,443,757
726,780,443,591
692,814,436,591
685,820,436,512
642,863,436,512
642,863,436,391
640,865,398,380
552,953,398,376
569,955,386,362
568,956,386,312
568,956,386,220
568,956,386,169
568,956,386,239
568,873,391,333
568,792,472,416
494,801,539,310
493,802,539,320
500,803,455,377
414,892,440,387
457,885,439,452
457,850,474,580
457,850,474,637
469,902,474,637
468,903,474,637
296,1132,475,624
280,1042,581,617
243,1079,581,617
241,1006,656,622
239,1008,656,681
251,947,620,681
251,766,740,716
251,764,742,790
251,726,780,790
251,692,814,790
251,685,820,803
266,642,863,815
336,642,863,885
369,640,865,889
404,552,953,892
385,569,955,931
398,568,956,958
411,568,956,963
411,568,956,963
411,568,956,1002
411,568,873,908
411,568,792,825
409,494,801,785
411,493,802,788
425,500,803,731
380,414,892,721
337,457,885,656
337,457,850,528
337,457,850,471
295,469,902,471
296,468,903,492
238,296,1132,553
238,280,1042,587
238,243,1079,631
247,241,1006,651
247,239,1008,622
235,251,947,681
235,251,766,648
235,251,764,576
235,251,726,576
235,251,692,603
235,251,685,609
220,266,642,597
150,336,642,530
117,369,640,526
86,404,552,529
86,385,569,491
191,398,568,471
249,411,568,466
331,411,568,466
530,411,568,356
561,411,568,356
561,411,568,357
561,409,494,366
559,411,493,546
537,425,500,618
537,380,414,710
542,337,457,753
547,337,457,801
547,337,457,809
525,295,469,820
524,296,468,800
524,238,296,739
524,238,280,705
525,238,243,665
522,247,241,640
522,247,239,657
531,235,251,614
549,235,251,682
549,235,251,711
550,235,251,747
550,235,251,720
550,235,251,711
550,220,266,712
550,150,336,709
550,117,369,709
546,86,404,808
546,86,385,807
428,191,398,823
357,249,411,853
275,331,411,1387
78,530,411,1509
52,561,411,1525
52,561,411,1816
73,561,409,1921
73,559,411,1762
73,537,425,1930
73,537,380,2053
68,542,337,2024
63,547,337,1976
63,547,337,1983
123,525,295,2023
124,524,296,2022
124,524,238,2035
124,524,238,2035
123,525,238,2036
117,522,247,2036
122,522,247,2008
113,531,235,1997
121,549,235,1967
124,549,235,1992
297,550,235,1991
304,550,235,2022
308,550,235,2019
308,550,220,2226
353,550,150,2271
378,550,117,2320
534,546,86,2221
569,546,86,2298
723,428,191,2325
723,357,249,2312
723,275,331,1778
724,78,530,1715
719,52,561,1732
719,52,561,1464
733,73,561,1356
733,73,559,1320
735,73,537,1080
751,73,537,874
751,68,542,935
751,63,547,978
751,63,547,963
691,123,525,970
690,124,524,994
697,124,524,981
697,124,524,1003
697,123,525,998
697,117,522,998
692,122,522,979
692,113,531,974
666,121,549,934
663,124,549,878
489,297,550,888
482,304,550,884
478,308,550,1047
478,308,550,952
433,353,550,1012
423,378,550,969
339,534,546,967
345,569,546,890
205,723,428,840
205,723,357,823
205,723,275,854
239,724,78,806
240,719,52,834
240,719,52,834
224,733,73,859
236,733,73,859
234,735,73,918
218,751,73,910
218,751,68,835
218,751,63,792
229,751,63,792
229,691,123,734
229,690,124,711
222,697,124,711
222,697,124,689
222,697,123,689
222,697,117,731
228,692,122,731
240,692,113,731
240,666,121,731
240,663,124,731
240,489,297,724
240,482,304,700
240,478,308,609
240,478,308,683
240,433,353,679
225,423,378,719
153,339,534,716
112,345,569,716
106,205,723,716
110,205,723,716
110,205,723,745
73,239,724,772
72,240,719,711
80,240,719,687
61,224,733,708
49,236,733,726
53,234,735,667
160,218,751,666
183,218,751,666
183,218,751,666
172,229,751,666
177,229,691,666
207,229,690,665
207,222,697,665
207,222,697,665
207,222,697,665
207,222,697,623
201,228,692,623
189,240,692,623
189,240,666,623
190,240,663,623
212,240,489,653
329,240,482,757
430,240,478,806
495,240,478,621
495,240,433,520
498,225,423,474
528,153,339,473
531,112,345,473
523,106,205,473
568,110,205,509
641,110,205,449
713,73,239,421
713,72,240,438
705,80,240,470
705,61,224,448
705,49,236,449
840,53,234,472
749,160,218,512
726,183,218,552
726,183,218,599
726,172,229,610
721,177,229,610
691,207,229,645
691,207,222,645
691,207,222,645
691,207,222,646
691,207,222,646
691,201,228,658
691,189,240,689
691,189,240,689
690,190,240,705
668,212,240,649
551,329,240,577
450,430,240,508
385,495,240,506
480,495,240,506
484,498,225,533
464,528,153,533
461,531,112,533
466,523,106,533
417,568,110,497
344,641,110,497
272,713,73,487
273,713,72,470
286,705,80,438
295,705,61,408
316,705,49,389
251,840,53,400
250,749,160,384
295,726,183,359
366,726,183,312
383,726,172,301
395,721,177,301
395,691,207,266
419,691,207,266
426,691,207,266
426,691,207,272
426,691,207,273
426,691,201,261
426,691,189,230
426,691,189,268
426,690,190,252
426,668,212,252
426,551,329,217
426,450,430,158
426,385,495,158
331,480,495,158
324,484,498,209
363,464,528,209
364,461,531,209
359,466,523,209
359,417,568,293
359,344,641,350
359,272,713,358
364,273,713,358
351,286,705,358
342,295,705,358
321,316,705,358
247,251,840,324
232,250,749,300
187,295,726,285
116,366,726,285
131,383,726,285
129,395,721,382
129,395,691,443
105,419,691,443
220,426,691,443
258,426,691,436
363,426,691,436
438,426,691,436
438,426,691,436
438,426,691,398
438,426,690,398
438,426,668,386
438,426,551,386
438,426,450,386
559,426,385,386
606,331,480,386
607,324,484,391
568,363,464,472
622,364,461,539
622,359,466,539
660,359,417,455
763,359,344,440
804,359,272,439
846,364,273,474
900,351,286,474
902,342,295,474
902,321,316,474
902,247,251,475
902,232,250,581
902,187,295,581
902,116,366,656
870,131,383,656
860,129,395,620
860,129,395,740
860,105,419,742
738,220,426,780
700,258,426,814
678,363,426,820
614,438,426,863
624,438,426,863
624,438,426,865
624,438,426,953
624,438,426,955
624,438,426,956
624,438,426,956
569,559,426,956
526,606,331,956
525,607,324,873
521,568,363,792
466,622,364,801
466,622,359,802
428,660,359,803
484,763,359,892
443,804,359,885
395,846,364,850
341,900,351,850
801,902,342,902
801,902,321,903
801,902,247,1132
823,902,232,1042
838,902,187,1079
838,902,116,1006
838,870,131,1008
838,860,129,947
838,860,129,766
838,860,105,764
838,738,220,726
838,700,258,692
755,678,363,685
744,614,438,642
743,624,438,642
763,624,438,640
807,624,438,552
810,624,438,569
834,624,438,568
926,624,438,568
884,569,559,568
880,526,606,568
880,525,607,568
874,521,568,568
874,466,622,494
876,466,622,493
884,428,660,500
744,484,763,414
816,443,804,457
816,395,846,457
831,341,900,457
398,801,902,469
402,801,902,468
403,801,902,296
502,823,902,280
569,838,902,243
637,838,902,241
671,838,870,239
706,838,860,251
706,838,860,251
713,838,860,251
967,838,738,251
1073,838,700,251
1124,755,678,251
1124,744,614,266
1115,743,624,336
1095,763,624,369
1051,807,624,404
1176,810,624,385
1176,834,624,398
1194,926,624,411
1170,884,569,411
1170,880,526,411
1180,880,525,411
1188,874,521,411
1291,874,466,409
1291,876,466,411
1283,884,428,425
1264,744,484,380
1259,816,443,337
1266,816,395,337
1254,831,341,337
1246,398,801,295
1303,402,801,296
1349,403,801,238
1252,502,823,238
1170,569,838,238
1102,637,838,247
1068,671,838,247
1033,706,838,235
1033,706,838,235
1026,713,838,235
772,967,838,235
719,1073,838,235
668,1124,755,235
668,1124,744,220
668,1115,743,150
723,1095,763,117
729,1051,807,86
613,1176,810,86
657,1176,834,191
549,1194,926,249
561,1170,884,331
665,1170,880,530
655,1180,880,561
647,1188,874,561
544,1291,874,561
542,1291,876,559
542,1283,884,537
548,1264,744,537
517,1259,816,542
512,1266,816,547
509,1254,831,547
488,1246,398,525
457,1303,402,524
410,1349,403,524
403,1252,502,524
403,1170,569,525
403,1102,637,522
403,1068,671,522
403,1033,706,531
403,1033,706,549
403,1026,713,549
403,772,967,550
350,719,1073,550
350,668,1124,550
350,668,1124,550
350,668,1115,550
295,723,1095,550
315,729,1051,546
389,613,1176,546
321,657,1176,428
319,549,1194,357
346,561,1170,275
244,665,1170,78
248,655,1180,52
248,647,1188,52
250,544,1291,73
253,542,1291,73
253,542,1283,73
247,548,1264,73
211,517,1259,68
209,512,1266,63
209,509,1254,63
209,488,1246,123
179,457,1303,124
185,410,1349,124
228,403,1252,124
228,403,1170,123
228,403,1102,117
228,403,1068,122
228,403,1033,113
246,403,1033,121
259,403,1026,124
380,403,772,297
538,350,719,304
627,350,668,308
636,350,668,308
636,350,668,353
643,295,723,378
790,315,729,534
709,389,613,569
717,321,657,723
731,319,549,723
692,346,561,723
703,244,665,724
847,248,655,719
1129,248,647,719
1244,250,544,733
1244,253,542,733
1244,253,542,735
1245,247,548,751
1245,211,517,751
1299,209,512,751
1321,209,509,751
1334,209,488,691
1334,179,457,690
1328,185,410,697
1268,228,403,697
1268,228,403,697
1268,228,403,697
1268,228,403,692
1268,228,403,692
1250,246,403,666
1253,259,403,663
1133,380,403,489
975,538,350,482
886,627,350,478
882,636,350,478
925,636,350,433
926,643,295,423
753,790,315,339
748,709,389,345
759,717,321,205
745,731,319,205
757,692,346,205
744,703,244,239
596,847,248,240
347,1129,248,240
232,1244,250,224
229,1244,253,236
229,1244,253,234
228,1245,247,218
228,1245,211,218
177,1299,209,218
158,1321,209,229
155,1334,209,229
174,1334,179,229
174,1328,185,222
174,1268,228,222
174,1268,228,222
174,1268,228,222
174,1268,228,228
174,1268,228,240
174,1250,246,240
159,1253,259,240
158,1133,380,240
158,975,538,240
158,886,627,240
153,882,636,240
110,925,636,240
102,926,643,225
102,753,790,153
102,748,709,112
83,759,717,106
83,745,731,110
98,757,692,110
195,744,703,73
242,596,847,72
220,347,1129,80
229,232,1244,61
229,229,1244,49
229,229,1244,53
229,228,1245,160
229,228,1245,183
227,177,1299,183
427,158,1321,172
517,155,1334,177
516,174,1334,207
517,174,1328,207
587,174,1268,207
617,174,1268,207
638,174,1268,207
653,174,1268,201
653,174,1268,189
653,174,1250,189
678,159,1253,190
710,158,1133,212
710,158,975,329
849,158,886,430
851,153,882,495
927,110,925,495
1054,102,926,498
1054,102,753,528
1054,102,748,531
1054,83,759,523
1054,83,745,568
1027,98,757,641
930,195,744,713
883,242,596,713
872,220,347,705
861,229,232,705
861,229,229,705
861,229,229,840
861,229,228,749
861,229,228,726
860,227,177,726
657,427,158,726
557,517,155,721
731,516,174,691
866,517,174,691
796,587,174,691
766,617,174,691
885,638,174,691
870,653,174,691
1077,653,174,691
1116,653,174,691
1090,678,159,690
1092,710,158,668
1310,710,158,551
1171,849,158,450
1178,851,153,385
1144,927,110,480
1098,1054,102,484
1180,1054,102,464
1410,1054,102,461
1516,1054,83,466
1606,1054,83,417
1747,1027,98,344
1843,930,195,272
1843,883,242,273
1871,872,220,286
1911,861,229,295
1921,861,229,316
1989,861,229,251
2059,861,229,250
2314,861,229,295
2317,860,227,366
2322,657,427,383
2331,557,517,395
2139,731,516,395
2003,866,517,419
2003,796,587,426
2003,766,617,426
1868,885,638,426
1868,870,653,426
1766,1077,653,426
1727,1116,653,426
1727,1090,678,426
1821,1092,710,426
1628,1310,710,426
1679,1171,849,426
1701,1178,851,426
1659,1144,927,331
1578,1098,1054,324
1496,1180,1054,363
1283,1410,1054,364
1189,1516,1054,359
1099,1606,1054,359
959,1747,1027,359
863,1843,930,359
863,1843,883,364
848,1871,872,351
866,1911,861,342
866,1921,861,321
870,1989,861,247
801,2059,861,232
546,2314,861,187
543,2317,860,116
538,2322,657,131
529,2331,557,129
529,2139,731,129
529,2003,866,105
529,2003,796,220
529,2003,766,258
524,1868,885,363
524,1868,870,438
419,1766,1077,438
419,1727,1116,438
419,1727,1090,438
292,1821,1092,438
288,1628,1310,438
237,1679,1171,438
206,1701,1178,559
206,1659,1144,606
206,1578,1098,607
207,1496,1180,568
190,1283,1410,622
178,1189,1516,622
236,1099,1606,660
263,959,1747,763
401,863,1843,804
416,863,1843,846
473,848,1871,900
416,866,1911,902
656,866,1921,902
584,870,1989,902
583,801,2059,902
583,546,2314,902
583,543,2317,902
