Accum_y-0,T-1,T-2,Accum_y-1
946,1503,952,1633
939,1409,1081,1622
948,1355,1073,1600
1147,1303,1128,1671
1391,1297,1134,1671
1343,1228,1205,1691
1240,1244,1292,1641
1221,1164,1391,1668
1222,1110,1271,1615
1104,1242,1161,1602
1070,1276,1055,1451
1056,1290,1050,1158
1020,1181,1195,1037
898,1251,1247,1006
881,1263,1252,1001
868,1249,1231,1001
871,1247,1226,982
851,1271,1235,865
863,1272,1142,705
868,1240,1159,705
954,1227,1172,719
1036,1157,1242,727
1124,1046,1354,719
1188,903,1467,691
1172,962,1467,510
1200,918,1550,341
1205,884,1616,260
1197,854,1650,199
1182,869,1643,284
1182,869,1642,293
1181,870,1483,286
1051,946,1503,279
1036,939,1409,295
1092,948,1355,295
999,1147,1303,219
839,1391,1297,219
907,1343,1228,220
956,1240,1244,248
985,1221,1164,301
987,1222,1110,302
952,1104,1242,389
952,1070,1276,389
1144,1056,1290,411
1147,1020,1181,433
1147,898,1251,443
1147,881,1263,511
1157,868,1249,582
1154,871,1247,584
1141,851,1271,700
1128,863,1272,710
1123,868,1240,710
1051,954,1227,696
980,1036,1157,688
924,1124,1046,686
859,1188,903,726
817,1172,962,754
744,1200,918,754
707,1205,884,754
729,1197,854,844
769,1182,869,807
769,1182,869,794
820,1181,870,934
897,1051,946,937
874,1036,939,921
823,1092,948,921
753,999,1147,920
727,839,1391,938
670,907,1343,916
668,956,1240,890
708,985,1221,797
758,987,1222,793
780,952,1104,706
851,952,1070,728
717,1144,1056,706
723,1147,1020,684
794,1147,898,675
819,1147,881,610
815,1157,868,539
923,1154,871,537
1135,1141,851,420
1167,1128,863,409
1219,1123,868,410
1280,1051,954,485
1305,980,1036,563
1272,924,1124,572
1285,859,1188,555
1404,817,1172,527
1400,744,1200,655
1400,707,1205,719
1378,729,1197,645
1338,769,1182,598
1355,769,1182,597
1322,820,1181,493
1341,897,1051,503
1375,874,1036,525
1426,823,1092,525
1424,753,999,525
1374,727,839,507
1441,670,907,506
1452,668,956,504
1384,708,985,565
