Accum_y-0,T-1,T-2,Accum_y-1
821,511,1812,1316
829,497,1828,1316
906,325,2000,1307
917,310,2010,1292
942,219,2055,1300
942,219,2052,1315
945,211,2060,1314
938,234,2065,1166
990,197,1789,1101
1012,196,1767,1016
1013,196,1734,858
1013,196,1675,857
930,279,1675,858
987,267,1683,828
1003,256,1687,799
895,328,1719,678
960,328,1538,661
935,358,1292,661
861,441,1286,534
910,440,1218,471
943,443,1080,248
772,614,951,218
760,626,914,313
760,612,928,338
759,613,928,346
