Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4
629,373,799,1032,528,1336,454,437,208,211,824,534
629,364,678,1146,544,1336,446,445,208,211,804,547
626,367,661,1162,545,1336,315,551,205,211,797,571
615,378,661,1162,545,1316,335,551,200,211,790,600
561,432,534,1289,545,1275,323,604,194,181,807,622
561,432,471,1352,545,1275,322,605,194,181,784,648
561,421,248,1460,668,1248,349,608,194,102,816,654
561,417,218,1491,670,1180,418,608,194,94,821,650
473,408,313,1493,670,931,667,426,194,124,645,650
473,343,338,1533,658,882,728,394,192,154,628,631
473,335,346,1533,608,896,763,395,198,197,688,629
473,303,377,1452,690,896,763,357,161,259,697,629
473,283,397,1449,693,896,699,421,133,330,736,507
473,283,389,1434,562,1043,706,397,133,330,739,439
473,275,395,1355,504,1121,767,396,119,297,700,384
459,243,441,1329,511,947,962,396,119,297,700,388
539,208,476,1329,478,977,951,407,174,297,725,340
585,208,476,1316,491,942,986,296,218,297,725,326
639,219,482,1316,478,927,1014,290,238,297,725,258
657,299,472,1307,497,907,1034,287,317,297,725,257
654,304,471,1292,513,901,1040,287,317,317,731,250
647,298,476,1300,424,990,1040,281,316,297,735,247
647,297,462,1315,424,964,1066,281,316,292,735,247
646,299,462,1314,425,846,1184,281,316,292,735,247
564,366,477,1166,573,799,1170,342,312,287,735,290
525,404,423,1101,693,555,1373,383,252,295,735,492
499,430,423,1016,778,526,1402,383,318,295,735,578
370,559,423,858,936,518,1397,390,358,283,732,578
370,559,423,857,937,515,1380,410,402,283,552,578
370,559,421,858,925,528,1336,454,423,283,475,578
349,580,387,828,989,528,1336,454,517,283,471,578
300,629,373,799,1032,528,1336,454,612,288,471,505
300,629,364,678,1146,544,1336,446,690,314,471,492
500,626,367,661,1162,545,1336,315,846,314,500,448
523,615,378,661,1162,545,1316,335,915,314,373,471
527,561,432,534,1289,545,1275,323,917,314,311,451
527,561,432,471,1352,545,1275,322,917,352,289,479
594,561,421,248,1460,668,1248,349,961,360,228,473
594,561,417,218,1491,670,1180,418,961,390,198,473
594,473,408,313,1493,670,931,667,1193,360,190,473
596,473,343,338,1533,658,882,728,1193,330,275,473
596,473,335,346,1533,608,896,763,1186,287,276,473
596,473,303,377,1452,690,896,763,1264,225,267,473
606,473,283,397,1449,693,896,699,1330,154,228,475
944,473,283,389,1434,562,1043,706,1330,154,486,475
977,473,275,395,1355,504,1121,767,1327,144,507,475
980,459,243,441,1329,511,947,962,1358,144,507,476
900,539,208,476,1329,478,977,951,1303,186,533,540
871,585,208,476,1316,491,942,986,1297,186,533,683
841,639,219,482,1316,478,927,1014,1275,186,632,721
765,657,299,472,1307,497,907,1034,1196,186,632,776
805,654,304,471,1292,513,901,1040,1196,179,626,776
879,647,298,476,1300,424,990,1040,1238,187,627,935
932,647,297,462,1315,424,964,1066,1262,187,627,983
1012,646,299,462,1314,425,846,1184,1265,187,627,983
1012,564,366,477,1166,573,799,1170,1260,218,693,945
1400,525,404,423,1101,693,555,1373,1238,255,693,743
1590,499,430,423,1016,778,526,1402,1182,364,693,662
1646,370,559,423,858,936,518,1397,1258,425,693,662
1647,370,559,423,857,937,515,1380,1214,425,693,703
1745,370,559,421,858,925,528,1336,1193,433,693,703
1764,349,580,387,828,989,528,1336,1099,433,693,703
1767,300,629,373,799,1032,528,1336,1004,428,693,703
1803,300,629,364,678,1146,544,1336,926,402,765,703
1603,500,626,367,661,1162,545,1336,770,402,866,709
1587,523,615,378,661,1162,545,1316,701,402,871,639
1658,527,561,432,534,1289,545,1275,700,402,893,648
1669,527,561,432,471,1352,545,1275,700,364,972,594
1649,594,561,421,248,1460,668,1248,701,356,1100,594
1649,594,561,417,218,1491,670,1180,704,435,1106,594
1649,594,473,408,313,1493,670,931,472,435,1096,594
1647,596,473,343,338,1533,658,882,754,435,1008,594
1647,596,473,335,346,1533,608,896,772,488,947,594
1647,596,473,303,377,1452,690,896,695,488,947,594
1637,606,473,283,397,1449,693,896,708,528,947,592
1299,944,473,283,389,1434,562,1043,750,630,940,650
1296,977,473,275,395,1355,504,1121,748,633,919,685
1326,980,459,243,441,1329,511,947,717,648,1062,684
1326,900,539,208,476,1329,478,977,717,611,1073,661
1309,871,585,208,476,1316,491,942,819,674,1164,711
1269,841,639,219,482,1316,478,927,822,674,1100,757
1414,765,657,299,472,1307,497,907,889,711,1129,702
1372,805,654,304,471,1292,513,901,889,698,1129,702
1298,879,647,298,476,1300,424,990,857,690,1151,543
1245,932,647,297,462,1315,424,964,963,726,1151,879
1164,1012,646,299,462,1314,425,846,960,741,1151,879
1164,1012,564,366,477,1166,573,799,954,760,1151,874
902,1400,525,404,423,1101,693,555,970,754,1151,874
1349,1590,499,430,423,1016,778,526,1165,864,1158,869
1303,1646,370,559,423,858,936,518,1083,811,1160,882
1305,1647,370,559,423,857,937,515,1084,1097,1160,889
1209,1745,370,559,421,858,925,528,1084,1101,1160,889
1194,1764,349,580,387,828,989,528,1152,1102,1160,889
1191,1767,300,629,373,799,1032,528,1152,1104,1160,889
1155,1803,300,629,364,678,1146,544,1152,1104,1088,905
1158,1603,500,626,367,661,1162,545,1152,1105,958,893
1170,1587,523,615,378,661,1162,545,1154,1105,953,892
1189,1658,527,561,432,534,1289,545,1206,1164,931,881
1178,1669,527,561,432,471,1352,545,1207,1164,852,888
1131,1649,594,561,421,248,1460,668,1162,1164,724,888
1145,1649,594,561,417,218,1491,670,1159,1055,716,888
1312,1649,594,473,408,313,1493,670,1159,1055,716,888
1312,1647,596,473,343,338,1533,658,877,1055,716,888
1312,1647,596,473,335,346,1533,608,980,1002,716,888
1312,1647,596,473,303,377,1452,690,1038,1002,716,888
1312,1637,606,473,283,397,1449,693,961,962,716,898
1312,1299,944,473,283,389,1434,562,1062,860,462,892
1282,1296,977,473,275,395,1355,504,1071,857,462,896
