Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4
901,848,531,812,1787,468,852,972,1119,444,989,803
1010,850,518,825,1784,471,724,1100,1106,436,657,832
1092,849,385,959,1784,471,716,1106,1050,383,610,757
1091,832,406,959,1761,494,716,1096,1049,290,580,714
1086,820,423,959,1761,494,716,1008,974,169,667,707
1314,821,394,988,1719,536,716,947,919,99,588,777
1335,722,519,989,1658,597,716,947,886,98,546,709
1203,754,627,951,1696,597,716,947,802,98,497,704
1293,702,708,770,1877,597,462,940,798,85,389,706
1287,612,804,718,1921,605,462,919,706,84,367,735
1306,559,858,717,1922,605,319,1062,692,84,411,731
1325,410,1013,717,1922,522,340,1073,691,84,430,698
1365,388,1046,717,1882,433,378,1164,709,84,430,704
1364,306,1134,689,1565,777,344,1100,709,88,434,712
1415,302,1138,689,1565,777,315,1129,709,88,448,712
1384,332,1108,720,1453,885,319,1129,774,88,534,668
1369,347,1034,722,1379,1024,299,1151,845,81,654,746
1359,377,1034,634,1376,1110,304,1151,845,263,683,904
1255,480,1035,634,1261,1225,304,1151,840,365,690,959
1248,495,944,727,1249,1237,238,1151,833,356,694,1014
1166,577,909,762,1249,1237,238,1151,815,354,748,1015
1026,717,909,762,1249,1237,231,1158,645,381,803,1015
919,809,924,762,1249,1199,267,1160,634,750,803,1015
844,883,888,799,1247,1196,272,1160,602,750,815,1015
868,884,888,730,1206,1302,276,1160,549,750,815,1015
898,882,890,526,1386,1326,276,1160,549,750,793,1015
896,883,891,525,1387,1326,276,1160,519,750,792,1036
900,887,893,512,1212,1474,317,1088,535,750,790,1036
928,889,893,511,858,1829,317,958,468,750,722,1039
928,852,930,507,839,1722,447,953,417,750,746,914
928,851,915,523,763,1777,468,931,351,736,780,836
878,901,848,531,812,1787,468,852,357,736,991,738
770,1010,850,518,825,1784,471,724,441,764,994,709
708,1092,849,385,959,1784,471,716,604,771,978,697
705,1091,832,406,959,1761,494,716,607,778,1049,628
705,1086,820,423,959,1761,494,716,644,775,1086,622
476,1314,821,394,988,1719,536,716,644,775,1304,591
428,1335,722,519,989,1658,597,716,641,786,1243,601
428,1203,754,627,951,1696,597,716,641,786,1240,707
309,1293,702,708,770,1877,597,462,628,888,1200,706
311,1287,612,804,718,1921,605,462,621,1042,1199,704
309,1306,559,858,717,1922,605,319,622,1063,1145,801
347,1325,410,1013,717,1922,522,340,622,1083,1126,914
316,1365,388,1046,717,1882,433,378,601,1086,1126,930
321,1364,306,1134,689,1565,777,344,620,1077,1122,1066
351,1415,302,1138,689,1565,777,315,627,1080,1108,1066
359,1384,332,1108,720,1453,885,319,562,1148,1022,1066
359,1369,347,1034,722,1379,1024,299,517,1139,902,988
339,1359,377,1034,634,1376,1110,304,556,951,873,830
339,1255,480,1035,634,1261,1225,304,556,848,866,775
337,1248,495,944,727,1249,1237,238,556,837,884,720
337,1166,577,909,762,1249,1237,238,570,837,830,732
337,1026,717,909,762,1249,1237,231,574,835,775,732
337,919,809,924,762,1249,1199,267,708,485,775,777
367,844,883,888,799,1247,1196,272,708,485,763,880
342,868,884,888,730,1206,1302,276,749,485,776,999
391,898,882,890,526,1386,1326,276,778,485,835,1016
399,896,883,891,525,1387,1326,276,804,489,835,1042
388,900,887,893,512,1212,1474,317,982,489,914,1206
358,928,889,893,511,858,1829,317,935,508,1079,1294
358,928,852,930,507,839,1722,447,931,510,1071,1328
358,928,851,915,523,763,1777,468,910,510,1087,1412
358,878,901,848,531,812,1787,468,901,632,920,1412
355,770,1010,850,518,825,1784,471,816,672,917,1429
378,708,1092,849,385,959,1784,471,692,720,917,1499
378,705,1091,832,406,959,1761,494,689,713,846,1523
378,705,1086,820,423,959,1761,494,652,765,704,1519
378,476,1314,821,394,988,1719,536,652,780,463,1509
378,428,1335,722,519,989,1658,597,652,837,513,1499
370,428,1203,754,627,951,1696,597,652,838,715,1315
370,309,1293,702,708,770,1877,597,652,743,786,1308
388,311,1287,612,804,718,1921,605,652,592,812,1281
375,309,1306,559,858,717,1922,605,651,571,863,1146
312,347,1325,410,1013,717,1922,522,651,551,892,1031
297,316,1365,388,1046,717,1882,433,651,548,1008,1008
296,321,1364,306,1134,689,1565,777,632,548,1018,870
215,351,1415,302,1138,689,1565,777,625,545,1018,920
219,359,1384,332,1108,720,1453,885,628,477,1022,955
219,359,1369,347,1034,722,1379,1024,782,466,1055,992
219,339,1359,377,1034,634,1376,1110,820,466,1231,992
219,339,1255,480,1035,634,1261,1225,824,462,1254,1207
211,337,1248,495,944,727,1249,1237,824,534,1232,1211
211,337,1166,577,909,762,1249,1237,804,547,1251,1219
211,337,1026,717,909,762,1249,1237,797,571,1251,1224
211,337,919,809,924,762,1249,1199,790,600,1256,1179
181,367,844,883,888,799,1247,1196,807,622,1327,1076
181,342,868,884,888,730,1206,1302,784,648,1358,976
102,391,898,882,890,526,1386,1326,816,654,1299,972
94,399,896,883,891,525,1387,1326,821,650,1306,954
124,388,900,887,893,512,1212,1474,645,650,1233,831
154,358,928,889,893,511,858,1829,628,631,1068,740
197,358,928,852,930,507,839,1722,688,629,1040,706
259,358,928,851,915,523,763,1777,697,629,989,621
330,358,878,901,848,531,812,1787,736,507,945,621
330,355,770,1010,850,518,825,1784,739,439,977,604
297,378,708,1092,849,385,959,1784,700,384,1094,534
297,378,705,1091,832,406,959,1761,700,388,1112,510
297,378,705,1086,820,423,959,1761,725,340,1112,510
297,378,476,1314,821,394,988,1719,725,326,1158,475
297,378,428,1335,722,519,989,1658,725,258,1108,475
297,370,428,1203,754,627,951,1696,725,257,917,475
