Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,Accum_y-1,Accum_y-2,Accum_y-3
805,654,304,471,1292,513,901,1196,179,626
879,647,298,476,1300,424,990,1238,187,627
932,647,297,462,1315,424,964,1262,187,627
1012,646,299,462,1314,425,846,1265,187,627
1012,564,366,477,1166,573,799,1260,218,693
1400,525,404,423,1101,693,555,1238,255,693
1590,499,430,423,1016,778,526,1182,364,693
1646,370,559,423,858,936,518,1258,425,693
1647,370,559,423,857,937,515,1214,425,693
1745,370,559,421,858,925,528,1193,433,693
1764,349,580,387,828,989,528,1099,433,693
1767,300,629,373,799,1032,528,1004,428,693
1803,300,629,364,678,1146,544,926,402,765
1603,500,626,367,661,1162,545,770,402,866
1587,523,615,378,661,1162,545,701,402,871
1658,527,561,432,534,1289,545,700,402,893
1669,527,561,432,471,1352,545,700,364,972
1649,594,561,421,248,1460,668,701,356,1100
1649,594,561,417,218,1491,670,704,435,1106
1649,594,473,408,313,1493,670,472,435,1096
1647,596,473,343,338,1533,658,754,435,1008
1647,596,473,335,346,1533,608,772,488,947
1647,596,473,303,377,1452,690,695,488,947
1637,606,473,283,397,1449,693,708,528,947
1299,944,473,283,389,1434,562,750,630,940
1296,977,473,275,395,1355,504,748,633,919
1326,980,459,243,441,1329,511,717,648,1062
1326,900,539,208,476,1329,478,717,611,1073
1309,871,585,208,476,1316,491,819,674,1164
1269,841,639,219,482,1316,478,822,674,1100
1414,765,657,299,472,1307,497,889,711,1129
1372,805,654,304,471,1292,513,889,698,1129
1298,879,647,298,476,1300,424,857,690,1151
1245,932,647,297,462,1315,424,963,726,1151
1164,1012,646,299,462,1314,425,960,741,1151
1164,1012,564,366,477,1166,573,954,760,1151
902,1400,525,404,423,1101,693,970,754,1151
1349,1590,499,430,423,1016,778,1165,864,1158
1303,1646,370,559,423,858,936,1083,811,1160
1305,1647,370,559,423,857,937,1084,1097,1160
1209,1745,370,559,421,858,925,1084,1101,1160
1194,1764,349,580,387,828,989,1152,1102,1160
1191,1767,300,629,373,799,1032,1152,1104,1160
1155,1803,300,629,364,678,1146,1152,1104,1088
1158,1603,500,626,367,661,1162,1152,1105,958
1170,1587,523,615,378,661,1162,1154,1105,953
1189,1658,527,561,432,534,1289,1206,1164,931
1178,1669,527,561,432,471,1352,1207,1164,852
1131,1649,594,561,421,248,1460,1162,1164,724
1145,1649,594,561,417,218,1491,1159,1055,716
1312,1649,594,473,408,313,1493,1159,1055,716
1312,1647,596,473,343,338,1533,877,1055,716
1312,1647,596,473,335,346,1533,980,1002,716
1312,1647,596,473,303,377,1452,1038,1002,716
1312,1637,606,473,283,397,1449,961,962,716
1312,1299,944,473,283,389,1434,1062,860,462
1282,1296,977,473,275,395,1355,1071,857,462
1247,1326,980,459,243,441,1329,1074,859,319
1247,1326,900,539,208,476,1329,1159,854,340
1247,1309,871,585,208,476,1316,1215,812,378
1246,1269,841,639,219,482,1316,1508,833,344
1079,1414,765,657,299,472,1307,1592,811,315
1079,1372,805,654,304,471,1292,1614,811,319
1079,1298,879,647,298,476,1300,1609,937,299
1079,1245,932,647,297,462,1315,1480,1032,304
1079,1164,1012,646,299,462,1314,1480,1032,304
1079,1164,1012,564,366,477,1166,1479,989,238
953,902,1400,525,404,423,1101,1462,946,238
316,1349,1590,499,430,423,1016,1281,729,231
607,1303,1646,370,559,423,858,1247,735,267
604,1305,1647,370,559,423,857,1246,451,272
646,1209,1745,370,559,421,858,1246,458,276
650,1194,1764,349,580,387,828,1178,457,276
702,1191,1767,300,629,373,799,1178,467,276
702,1155,1803,300,629,364,678,1360,552,317
740,1158,1603,500,626,367,661,1392,590,317
724,1170,1587,523,615,378,661,1390,590,447
645,1189,1658,527,561,432,534,1375,531,468
646,1178,1669,527,561,432,471,1374,536,468
646,1131,1649,594,561,421,248,1398,536,471
632,1145,1649,594,561,417,218,1399,536,471
509,1312,1649,594,473,408,313,1399,542,494
509,1312,1647,596,473,343,338,1402,598,494
509,1312,1647,596,473,335,346,1392,729,536
545,1312,1647,596,473,303,377,1339,829,597
633,1312,1637,606,473,283,397,1340,832,597
633,1312,1299,944,473,283,389,1197,971,597
633,1282,1296,977,473,275,395,1194,1021,605
633,1247,1326,980,459,243,441,1191,1004,605
633,1247,1326,900,539,208,476,1106,1004,522
675,1247,1309,871,585,208,476,906,997,433
675,1246,1269,841,639,219,482,610,977,777
675,1079,1414,765,657,299,472,459,980,777
675,1079,1372,805,654,304,471,443,980,885
675,1079,1298,879,647,298,476,438,854,1024
675,1079,1245,932,647,297,462,437,725,1110
701,1079,1164,1012,646,299,462,437,710,1225
888,1079,1164,1012,564,366,477,437,705,1237
888,953,902,1400,525,404,423,445,700,1237
888,316,1349,1590,499,430,423,551,728,1237
587,607,1303,1646,370,559,423,551,714,1199
587,604,1305,1647,370,559,423,604,712,1196
574,646,1209,1745,370,559,421,605,718,1302
573,650,1194,1764,349,580,387,608,753,1326
523,702,1191,1767,300,629,373,608,805,1326
523,702,1155,1803,300,629,364,426,861,1474
482,740,1158,1603,500,626,367,394,822,1829
479,724,1170,1587,523,615,378,395,822,1722
464,645,1189,1658,527,561,432,357,822,1777
465,646,1178,1669,527,561,432,421,817,1787
465,646,1131,1649,594,561,421,397,817,1784
465,632,1145,1649,594,561,417,396,817,1784
421,509,1312,1649,594,473,408,396,811,1761
421,509,1312,1647,596,473,343,407,770,1761
421,509,1312,1647,596,473,335,296,639,1719
385,545,1312,1647,596,473,303,290,540,1658
345,633,1312,1637,606,473,283,287,579,1696
612,633,1312,1299,944,473,283,287,440,1877
722,633,1282,1296,977,473,275,281,401,1921
731,633,1247,1326,980,459,243,281,402,1922
908,633,1247,1326,900,539,208,281,656,1922
868,675,1247,1309,871,585,208,342,642,1882
873,675,1246,1269,841,639,219,383,651,1565
896,675,1079,1414,765,657,299,383,633,1565
905,675,1079,1372,805,654,304,390,633,1453
962,675,1079,1298,879,647,298,410,633,1379
1078,675,1079,1245,932,647,297,454,676,1376
1090,701,1079,1164,1012,646,299,454,734,1261
912,888,1079,1164,1012,564,366,454,753,1249
920,888,953,902,1400,525,404,446,753,1249
920,888,316,1349,1590,499,430,315,723,1249
920,587,607,1303,1646,370,559,335,723,1249
920,587,604,1305,1647,370,559,323,723,1247
889,574,646,1209,1745,370,559,322,698,1206
882,573,650,1194,1764,349,580,349,663,1386
891,523,702,1191,1767,300,629,418,599,1387
891,523,702,1155,1803,300,629,667,458,1212
891,482,740,1158,1603,500,626,728,458,858
891,479,724,1170,1587,523,615,763,458,839
891,464,645,1189,1658,527,561,763,458,763
889,465,646,1178,1669,527,561,699,458,812
889,465,646,1131,1649,594,561,706,458,825
889,465,632,1145,1649,594,561,767,458,959
985,421,509,1312,1649,594,473,962,458,959
1082,421,509,1312,1647,596,473,951,443,959
1090,421,509,1312,1647,596,473,986,501,988
1090,385,545,1312,1647,596,473,1014,505,989
1042,345,633,1312,1637,606,473,1034,478,951
780,612,633,1312,1299,944,473,1040,500,770
716,722,633,1282,1296,977,473,1040,490,718
710,731,633,1247,1326,980,459,1066,490,717
533,908,633,1247,1326,900,539,1184,237,717
531,868,675,1247,1309,871,585,1170,239,717
839,873,675,1246,1269,841,639,1373,229,689
839,896,675,1079,1414,765,657,1402,229,689
863,905,675,1079,1372,805,654,1397,229,720
865,962,675,1079,1298,879,647,1380,229,722
749,1078,675,1079,1245,932,647,1336,245,634
715,1090,701,1079,1164,1012,646,1336,270,634
713,912,888,1079,1164,1012,564,1336,251,727
709,920,888,953,902,1400,525,1336,251,762
890,920,888,316,1349,1590,499,1336,251,762
1136,920,587,607,1303,1646,370,1316,251,762
1144,920,587,604,1305,1647,370,1275,255,799
1214,889,574,646,1209,1745,370,1275,279,730
1352,882,573,650,1194,1764,349,1248,279,526
1470,891,523,702,1191,1767,300,1180,279,525
1507,891,523,702,1155,1803,300,931,279,512
1507,891,482,740,1158,1603,500,882,283,511
1507,891,479,724,1170,1587,523,896,295,507
1507,891,464,645,1189,1658,527,896,295,523
1507,889,465,646,1178,1669,527,896,295,531
1659,889,465,646,1131,1649,594,1043,299,518
1758,889,465,632,1145,1649,594,1121,310,385
1805,985,421,509,1312,1649,594,947,336,406
1768,1082,421,509,1312,1647,596,977,369,423
1812,1090,421,509,1312,1647,596,942,311,394
1828,1090,385,545,1312,1647,596,927,306,519
2000,1042,345,633,1312,1637,606,907,293,627
2010,780,612,633,1312,1299,944,901,271,708
2055,716,722,633,1282,1296,977,990,270,804
2052,710,731,633,1247,1326,980,964,269,858
2060,533,908,633,1247,1326,900,846,268,1013
2065,531,868,675,1247,1309,871,799,266,1046
1789,839,873,675,1246,1269,841,555,266,1134
1767,839,896,675,1079,1414,765,526,266,1138
1734,863,905,675,1079,1372,805,518,266,1108
