Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,Accum_y-1,Accum_y-2,Accum_y-3
488,225,259,358,928,851,915,947,594,345
528,154,330,358,878,901,848,947,592,567
630,154,330,355,770,1010,850,940,650,653
633,144,297,378,708,1092,849,919,685,658
648,144,297,378,705,1091,832,1062,684,658
611,186,297,378,705,1086,820,1073,661,658
674,186,297,378,476,1314,821,1164,711,658
674,186,297,378,428,1335,722,1100,757,658
711,186,297,370,428,1203,754,1129,702,746
698,179,317,370,309,1293,702,1129,702,746
690,187,297,388,311,1287,612,1151,543,824
726,187,292,375,309,1306,559,1151,879,841
741,187,292,312,347,1325,410,1151,879,836
760,218,287,297,316,1365,388,1151,874,810
754,255,295,296,321,1364,306,1151,874,805
864,364,295,215,351,1415,302,1158,869,846
811,425,283,219,359,1384,332,1160,882,848
1097,425,283,219,359,1369,347,1160,889,848
1101,433,283,219,339,1359,377,1160,889,876
1102,433,283,219,339,1255,480,1160,889,876
1104,428,288,211,337,1248,495,1160,889,869
1104,402,314,211,337,1166,577,1088,905,1109
1105,402,314,211,337,1026,717,958,893,1100
1105,402,314,211,337,919,809,953,892,1063
1164,402,314,181,367,844,883,931,881,1044
1164,364,352,181,342,868,884,852,888,977
1164,356,360,102,391,898,882,724,888,906
1055,435,390,94,399,896,883,716,888,906
1055,435,360,124,388,900,887,716,888,1077
1055,435,330,154,358,928,889,716,888,1153
1002,488,287,197,358,928,852,716,888,1138
1002,488,225,259,358,928,851,716,888,1138
962,528,154,330,358,878,901,716,898,916
860,630,154,330,355,770,1010,462,892,870
857,633,144,297,378,708,1092,462,896,895
859,648,144,297,378,705,1091,319,933,895
854,611,186,297,378,705,1086,340,888,900
812,674,186,297,378,476,1314,378,694,967
833,674,186,297,378,428,1335,344,655,971
811,711,186,297,370,428,1203,315,750,883
811,698,179,317,370,309,1293,319,750,883
937,690,187,297,388,311,1287,299,750,805
1032,726,187,292,375,309,1306,304,366,808
1032,741,187,292,312,347,1325,304,471,765
989,760,218,287,297,316,1365,238,490,766
946,754,255,295,296,321,1364,238,508,832
729,864,364,295,215,351,1415,231,511,820
735,811,425,283,219,359,1384,267,498,821
451,1097,425,283,219,359,1369,272,508,821
458,1101,433,283,219,339,1359,276,705,793
457,1102,433,283,219,339,1255,276,727,793
467,1104,428,288,211,337,1248,276,727,793
552,1104,402,314,211,337,1166,317,711,622
590,1105,402,314,211,337,1026,317,749,801
590,1105,402,314,211,337,919,447,749,854
531,1164,402,314,181,367,844,468,754,854
536,1164,364,352,181,342,868,468,747,854
536,1164,356,360,102,391,898,471,747,854
536,1055,435,390,94,399,896,471,747,869
542,1055,435,360,124,388,900,494,786,704
598,1055,435,330,154,358,928,494,786,690
729,1002,488,287,197,358,928,536,786,904
829,1002,488,225,259,358,928,597,786,904
832,962,528,154,330,358,878,597,776,904
971,860,630,154,330,355,770,597,743,864
1021,857,633,144,297,378,708,605,704,879
1004,859,648,144,297,378,705,605,663,879
1004,854,611,186,297,378,705,522,832,874
997,812,674,186,297,378,476,433,855,828
977,833,674,186,297,378,428,777,810,877
980,811,711,186,297,370,428,777,935,880
980,811,698,179,317,370,309,885,935,880
854,937,690,187,297,388,311,1024,935,888
725,1032,726,187,292,375,309,1110,935,869
710,1032,741,187,292,312,347,1225,830,865
705,989,760,218,287,297,316,1237,811,864
700,946,754,255,295,296,321,1237,793,839
728,729,864,364,295,215,351,1237,790,812
714,735,811,425,283,219,359,1199,793,809
712,451,1097,425,283,219,359,1196,735,922
718,458,1101,433,283,219,339,1302,538,922
753,457,1102,433,283,219,339,1326,516,941
805,467,1104,428,288,211,337,1326,533,943
861,552,1104,402,314,211,337,1474,533,871
822,590,1105,402,314,211,337,1829,495,692
822,590,1105,402,314,211,337,1722,495,639
822,531,1164,402,314,181,367,1777,490,639
817,536,1164,364,352,181,342,1787,490,639
817,536,1164,356,360,102,391,1784,490,639
817,536,1055,435,390,94,399,1784,591,627
811,542,1055,435,360,124,388,1761,552,685
770,598,1055,435,330,154,358,1761,626,687
639,729,1002,488,287,197,358,1719,816,473
540,829,1002,488,225,259,358,1658,819,683
579,832,962,528,154,330,358,1696,819,741
440,971,860,630,154,330,355,1877,800,758
401,1021,857,633,144,297,378,1921,800,713
402,1004,859,648,144,297,378,1922,800,713
656,1004,854,611,186,297,378,1922,631,713
642,997,812,674,186,297,378,1882,608,707
651,977,833,674,186,297,378,1565,608,1057
633,980,811,711,186,297,370,1565,389,1283
633,980,811,698,179,317,370,1453,482,1283
633,854,937,690,187,297,388,1379,482,1275
676,725,1032,726,187,292,375,1376,482,1274
734,710,1032,741,187,292,312,1261,482,1268
753,705,989,760,218,287,297,1249,482,1268
753,700,946,754,255,295,296,1249,482,1227
723,728,729,864,364,295,215,1249,576,1209
723,714,735,811,425,283,219,1249,573,1209
723,712,451,1097,425,283,219,1247,573,1096
698,718,458,1101,433,283,219,1206,573,1100
663,753,457,1102,433,283,219,1386,573,1081
599,805,467,1104,428,288,211,1387,556,1079
458,861,552,1104,402,314,211,1212,556,1079
458,822,590,1105,402,314,211,858,556,1079
458,822,590,1105,402,314,211,839,556,1079
458,822,531,1164,402,314,181,763,556,1079
458,817,536,1164,364,352,181,812,556,1155
458,817,536,1164,356,360,102,825,556,1253
458,817,536,1055,435,390,94,959,455,1302
458,811,542,1055,435,360,124,959,455,1264
443,770,598,1055,435,330,154,959,381,1190
501,639,729,1002,488,287,197,988,396,1257
505,540,829,1002,488,225,259,989,432,1091
478,579,832,962,528,154,330,951,458,1033
500,440,971,860,630,154,330,770,476,1065
490,401,1021,857,633,144,297,718,476,1065
490,402,1004,859,648,144,297,717,568,1065
237,656,1004,854,611,186,297,717,694,1065
239,642,997,812,674,186,297,717,740,1052
229,651,977,833,674,186,297,689,740,649
229,633,980,811,711,186,297,689,739,420
229,633,980,811,698,179,317,720,646,428
229,633,854,937,690,187,297,722,648,491
245,676,725,1032,726,187,292,634,650,491
270,734,710,1032,741,187,292,634,650,491
251,753,705,989,760,218,287,727,650,491
251,753,700,946,754,255,295,762,650,491
251,723,728,729,864,364,295,762,556,510
251,723,714,735,811,425,283,762,556,510
255,723,712,451,1097,425,283,799,558,511
279,698,718,458,1101,433,283,730,600,515
279,663,753,457,1102,433,283,526,605,515
279,599,805,467,1104,428,288,525,605,515
279,458,861,552,1104,402,314,512,605,679
283,458,822,590,1105,402,314,511,605,682
295,458,822,590,1105,402,314,507,605,702
295,458,822,531,1164,402,314,523,605,760
295,458,817,536,1164,364,352,531,605,734
299,458,817,536,1164,356,360,518,639,689
310,458,817,536,1055,435,390,385,684,637
336,458,811,542,1055,435,360,406,761,611
369,443,770,598,1055,435,330,423,942,609
311,501,639,729,1002,488,287,394,771,542
306,505,540,829,1002,488,225,519,740,505
293,478,579,832,962,528,154,627,806,506
271,500,440,971,860,630,154,708,788,457
270,490,401,1021,857,633,144,804,845,569
269,490,402,1004,859,648,144,858,797,618
268,237,656,1004,854,611,186,1013,671,668
266,239,642,997,812,674,186,1046,628,674
266,229,651,977,833,674,186,1134,629,674
266,229,633,980,811,711,186,1138,639,674
266,229,633,980,811,698,179,1108,642,670
266,229,633,854,937,690,187,1034,802,634
207,245,676,725,1032,726,187,1034,955,634
126,270,734,710,1032,741,187,1035,955,640
124,251,753,705,989,760,218,944,955,642
124,251,753,700,946,754,255,909,955,648
124,251,723,728,729,864,364,909,955,657
124,251,723,714,735,811,425,924,959,720
120,255,723,712,451,1097,425,888,1143,729
96,279,698,718,458,1101,433,888,1155,737
97,279,663,753,457,1102,433,890,1187,737
97,279,599,805,467,1104,428,891,1189,737
97,279,458,861,552,1104,402,893,1349,573
93,283,458,822,590,1105,402,893,1453,570
87,295,458,822,590,1105,402,930,1547,550
95,295,458,822,531,1164,402,915,1547,527
116,295,458,817,536,1164,364,848,1558,553
167,299,458,817,536,1164,356,850,1538,508
579,310,458,817,536,1055,435,849,1549,561
589,336,458,811,542,1055,435,832,1473,654
564,369,443,770,598,1055,435,820,1367,778
698,311,501,639,729,1002,488,821,1388,848
708,306,505,540,829,1002,488,722,1416,842
784,293,478,579,832,962,528,754,1408,841
784,271,500,440,971,860,630,702,1425,854
788,270,490,401,1021,857,633,612,1467,743
860,269,490,402,1004,859,648,559,1437,694
1055,268,237,656,1004,854,611,410,1438,644
1208,266,239,642,997,812,674,388,1438,636
1302,266,229,651,977,833,674,306,1437,641
1608,266,229,633,980,811,711,302,1427,641
1659,266,229,633,980,811,698,332,1424,637
1671,266,229,633,854,937,690,347,1262,637
1669,207,245,676,725,1032,726,377,1107,643
1690,126,270,734,710,1032,741,480,1112,642
1719,124,251,753,705,989,760,495,1119,661
1737,124,251,753,700,946,754,577,1143,657
1758,124,251,723,728,729,864,717,1316,630
1776,124,251,723,714,735,811,809,1323,567
1779,120,255,723,712,451,1097,883,1214,557
1779,96,279,698,718,458,1101,884,1217,541
1778,97,279,663,753,457,1102,882,1180,541
1783,97,279,599,805,467,1104,883,1209,541
1826,97,279,458,861,552,1104,887,1049,541
1841,93,283,458,822,590,1105,889,1079,541
1872,87,295,458,822,590,1105,852,1040,541
1883,95,295,458,822,531,1164,851,1127,520
2057,116,295,458,817,536,1164,901,1119,444
2057,167,299,458,817,536,1164,1010,1106,436
1690,579,310,458,817,536,1055,1092,1050,383
1871,589,336,458,811,542,1055,1091,1049,290
1902,564,369,443,770,598,1055,1086,974,169
1787,698,311,501,639,729,1002,1314,919,99
1792,708,306,505,540,829,1002,1335,886,98
1719,784,293,478,579,832,962,1203,802,98
1719,784,271,500,440,971,860,1293,798,85
1715,788,270,490,401,1021,857,1287,706,84
1654,860,269,490,402,1004,859,1306,692,84
1464,1055,268,237,656,1004,854,1325,691,84
1311,1208,266,239,642,997,812,1365,709,84
1217,1302,266,229,651,977,833,1364,709,88
911,1608,266,229,633,980,811,1415,709,88
860,1659,266,229,633,980,811,1384,774,88
852,1671,266,229,633,854,937,1369,845,81
897,1669,207,245,676,725,1032,1359,845,263
948,1690,126,270,734,710,1032,1255,840,365
1015,1719,124,251,753,705,989,1248,833,356
1006,1737,124,251,753,700,946,1166,815,354
985,1758,124,251,723,728,729,1026,645,381
967,1776,124,251,723,714,735,919,634,750
964,1779,120,255,723,712,451,844,602,750
973,1779,96,279,698,718,458,868,549,750
973,1778,97,279,663,753,457,898,549,750
968,1783,97,279,599,805,467,896,519,750
925,1826,97,279,458,861,552,900,535,750
941,1841,93,283,458,822,590,928,468,750
904,1872,87,295,458,822,590,928,417,750
903,1883,95,295,458,822,531,928,351,736
708,2057,116,295,458,817,536,878,357,736
653,2057,167,299,458,817,536,770,441,764
597,1690,579,310,458,817,536,708,604,771
380,1871,589,336,458,811,542,705,607,778
341,1902,564,369,443,770,598,705,644,775
323,1787,698,311,501,639,729,476,644,775
308,1792,708,306,505,540,829,428,641,786
303,1719,784,293,478,579,832,428,641,786
303,1719,784,271,500,440,971,309,628,888
303,1715,788,270,490,401,1021,311,621,1042
292,1654,860,269,490,402,1004,309,622,1063
290,1464,1055,268,237,656,1004,347,622,1083
309,1311,1208,266,239,642,997,316,601,1086
341,1217,1302,266,229,651,977,321,620,1077
343,911,1608,266,229,633,980,351,627,1080
344,860,1659,266,229,633,980,359,562,1148
357,852,1671,266,229,633,854,359,517,1139
357,897,1669,207,245,676,725,339,556,951
283,948,1690,126,270,734,710,339,556,848
187,1015,1719,124,251,753,705,337,556,837
178,1006,1737,124,251,753,700,337,570,837
181,985,1758,124,251,723,728,337,574,835
186,967,1776,124,251,723,714,337,708,485
192,964,1779,120,255,723,712,367,708,485
183,973,1779,96,279,698,718,342,749,485
183,973,1778,97,279,663,753,391,778,485
183,968,1783,97,279,599,805,399,804,489
183,925,1826,97,279,458,861,388,982,489
154,941,1841,93,283,458,822,358,935,508
155,904,1872,87,295,458,822,358,931,510
174,903,1883,95,295,458,822,358,910,510
202,708,2057,116,295,458,817,358,901,632
202,653,2057,167,299,458,817,355,816,672
221,597,1690,579,310,458,817,378,692,720
221,380,1871,589,336,458,811,378,689,713
221,341,1902,564,369,443,770,378,652,765
224,323,1787,698,311,501,639,378,652,780
226,308,1792,708,306,505,540,378,652,837
226,303,1719,784,293,478,579,370,652,838
226,303,1719,784,271,500,440,370,652,743
227,303,1715,788,270,490,401,388,652,592
227,292,1654,860,269,490,402,375,651,571
224,290,1464,1055,268,237,656,312,651,551
221,309,1311,1208,266,239,642,297,651,548
272,341,1217,1302,266,229,651,296,632,548
271,343,911,1608,266,229,633,215,625,545
270,344,860,1659,266,229,633,219,628,477
253,357,852,1671,266,229,633,219,782,466
208,357,897,1669,207,245,676,219,820,466
208,283,948,1690,126,270,734,219,824,462
208,187,1015,1719,124,251,753,211,824,534
208,178,1006,1737,124,251,753,211,804,547
205,181,985,1758,124,251,723,211,797,571
200,186,967,1776,124,251,723,211,790,600
194,192,964,1779,120,255,723,181,807,622
194,183,973,1779,96,279,698,181,784,648
194,183,973,1778,97,279,663,102,816,654
194,183,968,1783,97,279,599,94,821,650
194,183,925,1826,97,279,458,124,645,650
192,154,941,1841,93,283,458,154,628,631
198,155,904,1872,87,295,458,197,688,629
161,174,903,1883,95,295,458,259,697,629
133,202,708,2057,116,295,458,330,736,507
133,202,653,2057,167,299,458,330,739,439
119,221,597,1690,579,310,458,297,700,384
119,221,380,1871,589,336,458,297,700,388
174,221,341,1902,564,369,443,297,725,340
218,224,323,1787,698,311,501,297,725,326
238,226,308,1792,708,306,505,297,725,258
317,226,303,1719,784,293,478,297,725,257
317,226,303,1719,784,271,500,317,731,250
316,227,303,1715,788,270,490,297,735,247
316,227,292,1654,860,269,490,292,735,247
316,224,290,1464,1055,268,237,292,735,247
312,221,309,1311,1208,266,239,287,735,290
252,272,341,1217,1302,266,229,295,735,492
318,271,343,911,1608,266,229,295,735,578
358,270,344,860,1659,266,229,283,732,578
402,253,357,852,1671,266,229,283,552,578
423,208,357,897,1669,207,245,283,475,578
517,208,283,948,1690,126,270,283,471,578
612,208,187,1015,1719,124,251,288,471,505
690,208,178,1006,1737,124,251,314,471,492
846,205,181,985,1758,124,251,314,500,448
915,200,186,967,1776,124,251,314,373,471
917,194,192,964,1779,120,255,314,311,451
917,194,183,973,1779,96,279,352,289,479
961,194,183,973,1778,97,279,360,228,473
961,194,183,968,1783,97,279,390,198,473
1193,194,183,925,1826,97,279,360,190,473
1193,192,154,941,1841,93,283,330,275,473
1186,198,155,904,1872,87,295,287,276,473
1264,161,174,903,1883,95,295,225,267,473
1330,133,202,708,2057,116,295,154,228,475
1330,133,202,653,2057,167,299,154,486,475
1327,119,221,597,1690,579,310,144,507,475
1358,119,221,380,1871,589,336,144,507,476
1303,174,221,341,1902,564,369,186,533,540
1297,218,224,323,1787,698,311,186,533,683
1275,238,226,308,1792,708,306,186,632,721
1196,317,226,303,1719,784,293,186,632,776
1196,317,226,303,1719,784,271,179,626,776
1238,316,227,303,1715,788,270,187,627,935
1262,316,227,292,1654,860,269,187,627,983
1265,316,224,290,1464,1055,268,187,627,983
1260,312,221,309,1311,1208,266,218,693,945
