Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3
362,965,1310,206,947
312,1015,1310,205,953
220,900,1310,235,961
169,950,1349,288,961
239,951,1310,289,961
333,951,1153,332,938
416,940,1069,483,938
310,1086,979,598,926
320,1067,915,621,806
377,1065,915,657,733
387,1064,915,768,705
452,1058,915,774,658
580,1058,915,774,530
637,1058,900,774,503
637,1058,848,760,490
637,1058,848,822,585
624,1071,845,855,614
617,1078,820,855,660
617,1078,400,855,583
622,1067,364,758,486
681,988,384,751,558
681,915,383,769,625
716,789,311,770,630
790,757,319,861,630
790,591,328,989,717
790,591,294,1016,635
803,512,231,1020,792
815,512,186,1020,869
885,391,219,1049,914
889,380,219,1116,912
892,376,219,1135,819
931,362,219,1166,806
958,312,219,1183,906
963,220,219,1158,904
963,169,181,1138,904
1002,239,183,1174,904
908,333,176,1123,904
825,416,175,972,904
785,310,175,968,904
788,320,175,971,904
731,377,176,948,904
721,387,176,876,904
656,452,176,1000,904
528,580,176,1003,890
471,637,191,1016,890
471,637,197,1226,890
492,637,201,1238,795
553,624,243,1330,766
587,617,243,1330,720
631,617,243,1331,698
651,622,299,1381,698
622,681,406,1381,626
681,681,456,1363,559
648,716,649,1362,554
576,790,689,1291,554
576,790,750,1187,467
603,790,886,1168,457
609,803,916,1164,300
597,815,887,1164,223
530,885,926,1081,199
526,889,989,1014,287
529,892,995,995,397
491,931,1215,990,464
471,958,1646,989,404
466,963,1738,1025,513
466,963,1845,1024,543
356,1002,1900,989,565
356,908,1975,989,565
357,825,1975,989,565
366,785,1988,878,566
546,788,1993,852,575
618,731,2009,839,575
710,721,2080,800,575
753,656,2144,663,575
801,528,2322,660,575
809,471,2307,647,575
820,471,2337,437,575
800,492,2432,363,575
739,553,2431,232,595
705,587,2560,233,620
665,631,2721,276,620
640,651,2685,283,620
657,622,2553,292,629
614,681,2494,319,656
682,648,2301,465,720
711,576,2250,756,720
747,576,2230,941,720
720,603,2134,1001,720
711,609,2158,1011,720
712,597,2120,1011,720
709,530,2038,1006,699
709,526,1975,1010,611
808,529,1969,1052,501
807,491,1773,1038,378
823,471,1348,1022,339
853,466,1256,985,224
1387,466,1152,996,194
1509,356,1126,1000,172
1525,356,1057,1061,172
1816,357,1107,1068,172
1921,366,1153,1076,171
1762,546,1253,1085,162
1930,618,1253,1096,162
2053,710,1185,1126,162
2024,753,1129,1126,162
1976,801,951,1126,162
1983,809,958,1126,162
2023,820,994,1126,162
2022,800,994,1126,163
2035,739,968,1126,178
2035,705,839,1125,172
2036,665,695,1087,172
2036,640,674,1031,172
2008,657,677,1022,163
1997,614,681,995,187
1967,682,681,849,137
1992,711,681,538,223
1991,747,626,325,242
2022,720,586,257,314
2019,711,531,247,314
2226,712,531,247,373
2271,709,531,244,397
2320,709,531,256,406
2221,808,531,214,406
2298,807,507,223,396
2325,823,501,236,389
2312,853,501,274,389
1778,1387,528,240,389
1715,1509,513,240,389
1732,1525,532,179,389
1464,1816,482,172,389
1356,1921,423,174,389
1320,1762,320,189,389
1080,1930,351,178,389
874,2053,350,148,389
935,2024,390,148,407
978,1976,441,148,407
963,1983,434,148,407
970,2023,362,148,413
994,2022,266,149,417
981,2035,253,149,382
1003,2035,283,149,363
998,2036,266,143,363
998,2036,266,142,378
979,2008,263,142,383
974,1997,269,142,430
934,1967,298,142,527
878,1992,298,142,445
888,1991,360,142,522
884,2022,366,142,450
1047,2019,383,152,450
952,2226,426,152,391
1012,2271,526,152,367
969,2320,526,136,360
967,2221,582,147,361
890,2298,594,161,455
840,2325,599,155,584
823,2312,620,113,617
854,1778,638,104,617
806,1715,626,107,638
834,1732,601,107,640
834,1464,614,107,650
859,1356,615,97,662
859,1320,613,73,671
918,1080,644,73,671
910,874,743,104,671
835,935,734,104,687
792,978,683,104,687
792,963,763,167,687
734,970,785,212,681
711,994,787,225,676
711,981,788,225,676
689,1003,786,225,676
689,998,921,227,676
731,998,931,227,661
731,979,996,283,656
731,974,992,350,559
731,934,983,355,456
731,878,983,366,463
724,888,921,366,437
700,884,914,366,437
609,1047,897,356,465
683,952,854,358,491
679,1012,754,358,504
719,969,754,358,502
716,967,698,347,501
716,890,686,317,407
716,840,681,310,296
716,823,723,310,263
745,854,682,310,271
772,806,679,301,250
711,834,693,301,268
687,834,680,301,282
708,859,679,301,284
726,859,679,315,275
667,918,600,319,330
666,910,499,288,330
666,835,460,288,296
666,792,523,288,296
666,792,453,225,296
666,734,482,197,296
665,711,477,276,296
665,711,534,298,296
665,689,506,323,315
665,689,371,321,317
623,731,361,335,561
623,731,297,601,561
623,731,297,910,560
623,731,329,921,552
623,731,329,917,541
653,724,329,917,471
757,700,329,917,471
806,609,362,957,443
621,683,369,955,417
520,679,464,1044,404
474,719,577,1046,404
473,716,583,1046,404
473,716,698,1041,404
473,716,718,1041,386
509,716,655,1041,404
449,745,672,1130,557
421,772,674,1193,557
438,711,660,1256,537
470,687,660,1256,590
448,708,660,1294,576
449,726,660,1280,591
472,667,660,1276,540
512,666,794,1365,542
552,666,825,1391,561
599,666,926,1391,592
610,666,938,1391,677
610,666,898,1374,684
645,665,900,1281,684
645,665,840,1259,697
645,665,840,1234,712
646,665,859,1293,724
646,623,864,1282,480
658,623,863,986,521
689,623,857,620,521
689,623,805,638,521
705,623,805,646,521
649,653,805,662,521
577,757,805,669,521
508,806,772,629,521
506,621,765,629,521
506,520,670,540,556
533,474,557,677,580
533,473,551,677,580
533,473,436,677,832
533,473,416,677,1213
497,509,416,677,1290
497,449,391,588,1129
487,421,388,532,1129
470,438,388,469,1129
438,470,388,469,1052
408,448,388,431,1052
389,449,388,431,1048
400,472,388,431,1072
384,512,254,342,1070
359,552,223,316,1091
312,599,59,320,1182
301,610,37,320,1191
301,610,65,320,1184
266,645,96,320,1184
266,645,97,320,1171
266,645,97,381,1258
272,646,78,322,1268
273,646,73,374,1378
261,658,73,351,1337
230,689,75,541,1339
268,689,75,512,1339
252,705,75,510,1344
252,649,75,494,1348
217,577,75,488,1349
158,508,77,640,1349
158,506,77,682,1349
158,506,77,707,1344
209,533,77,568,1320
209,533,77,568,1320
209,533,132,568,1129
209,533,132,608,748
293,497,132,626,653
350,497,132,763,653
358,487,142,900,653
358,470,142,900,653
358,438,185,1112,653
358,408,276,1139,663
358,389,352,1139,807
324,400,352,1139,779
300,384,352,1139,779
285,359,352,1139,739
285,312,352,1135,617
285,301,352,1135,523
382,301,406,1135,523
443,266,395,1135,523
443,266,394,1190,525
443,266,508,1140,464
436,272,569,1140,667
436,273,632,1086,573
436,261,632,1083,638
436,230,630,955,792
398,268,630,1028,792
398,252,630,1015,787
386,252,647,1015,783
386,217,647,1014,789
386,158,852,862,849
386,158,853,820,879
386,158,853,795,849
391,209,853,795,863
472,209,864,796,903
539,209,809,796,846
539,209,830,756,846
455,293,832,738,846
440,350,833,601,846
439,358,829,457,846
474,358,829,457,916
474,358,786,245,921
474,358,695,218,1049
474,358,619,218,952
475,324,619,218,1108
581,300,619,242,1121
581,285,619,242,1159
656,285,630,245,1159
656,285,709,245,1159
620,382,689,269,1161
740,443,793,376,1161
742,443,825,330,1159
780,443,877,418,1099
814,436,816,535,887
820,436,832,546,871
863,436,832,787,806
863,436,953,801,695
865,398,964,996,707
953,398,968,1001,707
955,386,965,1001,707
956,386,1015,1001,701
956,386,900,1001,641
956,386,950,1001,611
956,386,951,1040,611
873,391,951,1204,605
792,472,940,1288,565
801,539,1086,1378,561
802,539,1067,1442,561
803,455,1065,1442,561
892,440,1064,1442,561
885,439,1058,1442,568
850,474,1058,1442,498
850,474,1058,1457,493
902,474,1058,1509,369
903,474,1058,1509,311
1132,475,1071,1512,161
1042,581,1078,1513,148
1079,581,1078,1933,110
1006,656,1067,1967,207
1008,656,988,1972,214
947,620,915,1958,212
766,740,789,1923,212
764,742,757,1917,212
726,780,591,1823,216
692,814,591,1741,201
685,820,512,1793,201
642,863,512,1664,201
642,863,391,1588,218
640,865,380,1315,206
552,953,376,1310,206
569,955,362,1310,206
568,956,312,1310,205
568,956,220,1310,235
568,956,169,1349,288
568,956,239,1310,289
568,873,333,1153,332
568,792,416,1069,483
494,801,310,979,598
493,802,320,915,621
500,803,377,915,657
414,892,387,915,768
457,885,452,915,774
457,850,580,915,774
457,850,637,900,774
469,902,637,848,760
468,903,637,848,822
296,1132,624,845,855
280,1042,617,820,855
243,1079,617,400,855
241,1006,622,364,758
239,1008,681,384,751
251,947,681,383,769
251,766,716,311,770
251,764,790,319,861
251,726,790,328,989
251,692,790,294,1016
251,685,803,231,1020
266,642,815,186,1020
336,642,885,219,1049
369,640,889,219,1116
404,552,892,219,1135
385,569,931,219,1166
398,568,958,219,1183
411,568,963,219,1158
411,568,963,181,1138
411,568,1002,183,1174
411,568,908,176,1123
411,568,825,175,972
409,494,785,175,968
411,493,788,175,971
425,500,731,176,948
380,414,721,176,876
337,457,656,176,1000
337,457,528,176,1003
337,457,471,191,1016
295,469,471,197,1226
296,468,492,201,1238
238,296,553,243,1330
238,280,587,243,1330
238,243,631,243,1331
247,241,651,299,1381
247,239,622,406,1381
235,251,681,456,1363
235,251,648,649,1362
235,251,576,689,1291
235,251,576,750,1187
235,251,603,886,1168
235,251,609,916,1164
220,266,597,887,1164
150,336,530,926,1081
117,369,526,989,1014
86,404,529,995,995
86,385,491,1215,990
191,398,471,1646,989
249,411,466,1738,1025
331,411,466,1845,1024
530,411,356,1900,989
561,411,356,1975,989
561,411,357,1975,989
561,409,366,1988,878
559,411,546,1993,852
537,425,618,2009,839
537,380,710,2080,800
542,337,753,2144,663
547,337,801,2322,660
547,337,809,2307,647
525,295,820,2337,437
524,296,800,2432,363
524,238,739,2431,232
524,238,705,2560,233
525,238,665,2721,276
522,247,640,2685,283
522,247,657,2553,292
531,235,614,2494,319
549,235,682,2301,465
549,235,711,2250,756
550,235,747,2230,941
550,235,720,2134,1001
550,235,711,2158,1011
550,220,712,2120,1011
550,150,709,2038,1006
550,117,709,1975,1010
546,86,808,1969,1052
546,86,807,1773,1038
428,191,823,1348,1022
357,249,853,1256,985
275,331,1387,1152,996
78,530,1509,1126,1000
52,561,1525,1057,1061
52,561,1816,1107,1068
73,561,1921,1153,1076
73,559,1762,1253,1085
73,537,1930,1253,1096
73,537,2053,1185,1126
68,542,2024,1129,1126
63,547,1976,951,1126
63,547,1983,958,1126
123,525,2023,994,1126
124,524,2022,994,1126
124,524,2035,968,1126
124,524,2035,839,1125
123,525,2036,695,1087
117,522,2036,674,1031
122,522,2008,677,1022
113,531,1997,681,995
121,549,1967,681,849
124,549,1992,681,538
297,550,1991,626,325
304,550,2022,586,257
308,550,2019,531,247
308,550,2226,531,247
353,550,2271,531,244
378,550,2320,531,256
534,546,2221,531,214
569,546,2298,507,223
723,428,2325,501,236
723,357,2312,501,274
723,275,1778,528,240
724,78,1715,513,240
719,52,1732,532,179
719,52,1464,482,172
733,73,1356,423,174
733,73,1320,320,189
735,73,1080,351,178
751,73,874,350,148
751,68,935,390,148
751,63,978,441,148
751,63,963,434,148
691,123,970,362,148
690,124,994,266,149
697,124,981,253,149
697,124,1003,283,149
697,123,998,266,143
697,117,998,266,142
692,122,979,263,142
692,113,974,269,142
666,121,934,298,142
