Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3
803,924,721,441,521
832,906,595,428,522
757,993,502,433,522
714,1105,386,433,522
707,1122,336,485,538
777,1128,314,485,576
709,1196,314,486,577
704,1279,278,517,660
706,1278,278,517,683
735,1278,278,532,703
731,1320,319,538,901
698,1292,319,578,1050
704,1293,319,578,1017
712,1213,319,578,985
712,1198,307,578,1026
668,1242,247,522,1079
746,1194,374,515,1118
904,1186,374,513,1127
959,1127,354,506,1179
1014,1045,380,650,1086
1015,947,387,650,1073
1015,918,387,635,1073
1015,892,387,608,1050
1015,633,387,562,1072
1015,606,391,545,1080
1015,529,384,545,1102
1036,527,357,545,1026
1036,527,346,530,1016
1039,502,345,528,1017
914,627,311,530,1017
836,705,247,525,1049
738,803,230,500,1091
709,832,230,516,1091
697,757,230,513,1091
628,714,230,513,1091
622,707,224,461,1075
591,777,224,461,1042
601,709,225,460,1082
707,704,246,429,1059
706,706,258,429,1036
704,735,270,479,1021
801,731,229,518,817
914,698,239,593,650
930,704,239,726,549
1066,712,240,745,482
1066,712,431,746,440
1066,668,444,746,387
988,746,339,666,348
830,904,427,605,339
775,959,433,609,279
720,1014,417,526,273
732,1015,446,558,273
732,1015,446,558,293
777,1015,446,555,293
880,1015,446,555,273
999,1015,442,555,292
1016,1015,441,568,271
1042,1036,464,568,271
1206,1036,486,567,314
1294,1039,515,567,313
1328,914,522,565,313
1412,836,674,548,281
1412,738,674,553,230
1429,709,675,543,235
1499,697,687,544,241
1523,628,691,550,266
1519,622,762,554,266
1509,591,822,560,263
1499,601,832,560,228
1315,707,817,573,168
1308,706,805,594,255
1281,704,793,529,251
1146,801,793,484,251
1031,914,783,369,251
1008,930,783,236,251
870,1066,782,217,251
920,1066,591,216,251
955,1066,573,216,290
992,988,591,216,362
992,830,516,187,396
1207,775,510,190,443
1211,720,500,129,447
1219,732,634,106,447
1224,732,717,106,427
1179,777,721,162,427
1076,880,768,184,425
976,999,805,189,394
972,1016,875,227,393
954,1042,958,252,385
831,1206,950,252,329
740,1294,1056,252,329
706,1328,1104,252,415
621,1412,977,252,417
621,1412,977,263,453
604,1429,976,265,517
534,1499,964,318,526
510,1523,960,340,512
510,1519,889,342,529
475,1509,829,336,527
475,1499,818,336,523
475,1315,815,323,523
475,1308,823,302,436
475,1281,846,302,435
475,1146,856,302,435
475,1031,915,342,435
475,1008,922,383,435
469,870,922,383,443
419,920,922,406,472
384,955,922,470,515
347,992,877,476,446
347,992,906,476,412
132,1207,906,460,514
128,1211,906,463,510
107,1219,736,455,510
102,1224,653,564,510
102,1179,682,568,510
102,1076,635,545,542
83,976,598,551,563
136,972,528,500,569
107,954,520,475,569
66,831,517,475,571
66,740,382,475,571
66,706,327,545,523
90,621,302,568,538
92,621,317,559,503
92,604,317,565,502
198,534,317,607,694
