Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3
901,848,1119,444,989
1010,850,1106,436,657
1092,849,1050,383,610
1091,832,1049,290,580
1086,820,974,169,667
1314,821,919,99,588
1335,722,886,98,546
1203,754,802,98,497
1293,702,798,85,389
1287,612,706,84,367
1306,559,692,84,411
1325,410,691,84,430
1365,388,709,84,430
1364,306,709,88,434
1415,302,709,88,448
1384,332,774,88,534
1369,347,845,81,654
1359,377,845,263,683
1255,480,840,365,690
1248,495,833,356,694
1166,577,815,354,748
1026,717,645,381,803
919,809,634,750,803
844,883,602,750,815
868,884,549,750,815
898,882,549,750,793
896,883,519,750,792
900,887,535,750,790
928,889,468,750,722
928,852,417,750,746
928,851,351,736,780
878,901,357,736,991
770,1010,441,764,994
708,1092,604,771,978
705,1091,607,778,1049
705,1086,644,775,1086
476,1314,644,775,1304
428,1335,641,786,1243
428,1203,641,786,1240
309,1293,628,888,1200
311,1287,621,1042,1199
309,1306,622,1063,1145
347,1325,622,1083,1126
316,1365,601,1086,1126
321,1364,620,1077,1122
351,1415,627,1080,1108
359,1384,562,1148,1022
359,1369,517,1139,902
339,1359,556,951,873
339,1255,556,848,866
337,1248,556,837,884
337,1166,570,837,830
337,1026,574,835,775
337,919,708,485,775
367,844,708,485,763
342,868,749,485,776
391,898,778,485,835
399,896,804,489,835
388,900,982,489,914
358,928,935,508,1079
358,928,931,510,1071
358,928,910,510,1087
358,878,901,632,920
355,770,816,672,917
378,708,692,720,917
378,705,689,713,846
378,705,652,765,704
378,476,652,780,463
378,428,652,837,513
370,428,652,838,715
370,309,652,743,786
388,311,652,592,812
375,309,651,571,863
312,347,651,551,892
297,316,651,548,1008
296,321,632,548,1018
215,351,625,545,1018
219,359,628,477,1022
219,359,782,466,1055
219,339,820,466,1231
219,339,824,462,1254
211,337,824,534,1232
211,337,804,547,1251
211,337,797,571,1251
211,337,790,600,1256
181,367,807,622,1327
181,342,784,648,1358
102,391,816,654,1299
94,399,821,650,1306
124,388,645,650,1233
154,358,628,631,1068
197,358,688,629,1040
259,358,697,629,989
330,358,736,507,945
330,355,739,439,977
297,378,700,384,1094
297,378,700,388,1112
297,378,725,340,1112
297,378,725,326,1158
297,378,725,258,1108
297,370,725,257,917
317,370,731,250,852
297,388,735,247,888
292,375,735,247,930
292,312,735,247,927
287,297,735,290,811
295,296,735,492,801
295,215,735,578,803
283,219,732,578,857
283,219,552,578,825
283,219,475,578,696
283,219,471,578,673
288,211,471,505,685
314,211,471,492,674
314,211,500,448,674
314,211,373,471,669
314,181,311,451,598
352,181,289,479,716
360,102,228,473,724
390,94,198,473,730
360,124,190,473,747
330,154,275,473,747
287,197,276,473,747
225,259,267,473,747
154,330,228,475,747
154,330,486,475,715
144,297,507,475,598
144,297,507,476,579
186,297,533,540,579
186,297,533,683,532
186,297,632,721,532
186,297,632,776,521
179,317,626,776,515
187,297,627,935,453
187,292,627,983,360
187,292,627,983,392
218,287,693,945,418
255,295,693,743,423
364,295,693,662,437
425,283,693,662,379
425,283,693,703,378
433,283,693,703,331
433,283,693,703,331
428,288,693,703,326
402,314,765,703,321
402,314,866,709,330
402,314,871,639,367
402,314,893,648,386
364,352,972,594,291
356,360,1100,594,354
435,390,1106,594,341
435,360,1096,594,318
435,330,1008,594,330
488,287,947,594,345
488,225,947,594,345
528,154,947,592,567
630,154,940,650,653
633,144,919,685,658
648,144,1062,684,658
611,186,1073,661,658
674,186,1164,711,658
674,186,1100,757,658
711,186,1129,702,746
698,179,1129,702,746
690,187,1151,543,824
726,187,1151,879,841
741,187,1151,879,836
760,218,1151,874,810
754,255,1151,874,805
864,364,1158,869,846
811,425,1160,882,848
1097,425,1160,889,848
1101,433,1160,889,876
1102,433,1160,889,876
1104,428,1160,889,869
1104,402,1088,905,1109
1105,402,958,893,1100
1105,402,953,892,1063
1164,402,931,881,1044
1164,364,852,888,977
1164,356,724,888,906
1055,435,716,888,906
1055,435,716,888,1077
1055,435,716,888,1153
1002,488,716,888,1138
1002,488,716,888,1138
962,528,716,898,916
860,630,462,892,870
857,633,462,896,895
859,648,319,933,895
854,611,340,888,900
812,674,378,694,967
833,674,344,655,971
811,711,315,750,883
811,698,319,750,883
937,690,299,750,805
1032,726,304,366,808
1032,741,304,471,765
989,760,238,490,766
946,754,238,508,832
729,864,231,511,820
735,811,267,498,821
451,1097,272,508,821
458,1101,276,705,793
457,1102,276,727,793
467,1104,276,727,793
552,1104,317,711,622
590,1105,317,749,801
590,1105,447,749,854
531,1164,468,754,854
536,1164,468,747,854
536,1164,471,747,854
536,1055,471,747,869
542,1055,494,786,704
598,1055,494,786,690
729,1002,536,786,904
829,1002,597,786,904
832,962,597,776,904
971,860,597,743,864
1021,857,605,704,879
1004,859,605,663,879
1004,854,522,832,874
997,812,433,855,828
977,833,777,810,877
980,811,777,935,880
980,811,885,935,880
854,937,1024,935,888
725,1032,1110,935,869
710,1032,1225,830,865
705,989,1237,811,864
700,946,1237,793,839
728,729,1237,790,812
714,735,1199,793,809
712,451,1196,735,922
718,458,1302,538,922
753,457,1326,516,941
805,467,1326,533,943
