Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3
1883,95,851,1127,520
2057,116,901,1119,444
2057,167,1010,1106,436
1690,579,1092,1050,383
1871,589,1091,1049,290
1902,564,1086,974,169
1787,698,1314,919,99
1792,708,1335,886,98
1719,784,1203,802,98
1719,784,1293,798,85
1715,788,1287,706,84
1654,860,1306,692,84
1464,1055,1325,691,84
1311,1208,1365,709,84
1217,1302,1364,709,88
911,1608,1415,709,88
860,1659,1384,774,88
852,1671,1369,845,81
897,1669,1359,845,263
948,1690,1255,840,365
1015,1719,1248,833,356
1006,1737,1166,815,354
985,1758,1026,645,381
967,1776,919,634,750
964,1779,844,602,750
973,1779,868,549,750
973,1778,898,549,750
968,1783,896,519,750
925,1826,900,535,750
941,1841,928,468,750
904,1872,928,417,750
903,1883,928,351,736
708,2057,878,357,736
653,2057,770,441,764
597,1690,708,604,771
380,1871,705,607,778
341,1902,705,644,775
323,1787,476,644,775
308,1792,428,641,786
303,1719,428,641,786
303,1719,309,628,888
303,1715,311,621,1042
292,1654,309,622,1063
290,1464,347,622,1083
309,1311,316,601,1086
341,1217,321,620,1077
343,911,351,627,1080
344,860,359,562,1148
357,852,359,517,1139
357,897,339,556,951
283,948,339,556,848
187,1015,337,556,837
178,1006,337,570,837
181,985,337,574,835
186,967,337,708,485
192,964,367,708,485
183,973,342,749,485
183,973,391,778,485
183,968,399,804,489
183,925,388,982,489
154,941,358,935,508
155,904,358,931,510
174,903,358,910,510
202,708,358,901,632
202,653,355,816,672
221,597,378,692,720
221,380,378,689,713
221,341,378,652,765
224,323,378,652,780
226,308,378,652,837
226,303,370,652,838
226,303,370,652,743
227,303,388,652,592
227,292,375,651,571
224,290,312,651,551
221,309,297,651,548
272,341,296,632,548
271,343,215,625,545
270,344,219,628,477
253,357,219,782,466
208,357,219,820,466
208,283,219,824,462
208,187,211,824,534
208,178,211,804,547
205,181,211,797,571
200,186,211,790,600
194,192,181,807,622
194,183,181,784,648
194,183,102,816,654
194,183,94,821,650
194,183,124,645,650
192,154,154,628,631
198,155,197,688,629
161,174,259,697,629
133,202,330,736,507
133,202,330,739,439
119,221,297,700,384
119,221,297,700,388
174,221,297,725,340
218,224,297,725,326
238,226,297,725,258
317,226,297,725,257
317,226,317,731,250
316,227,297,735,247
316,227,292,735,247
316,224,292,735,247
312,221,287,735,290
252,272,295,735,492
318,271,295,735,578
358,270,283,732,578
402,253,283,552,578
423,208,283,475,578
517,208,283,471,578
612,208,288,471,505
690,208,314,471,492
