Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3
444,553,989,803,721
436,508,657,832,595
383,561,610,757,502
290,654,580,714,386
169,778,667,707,336
99,848,588,777,314
98,842,546,709,314
98,841,497,704,278
85,854,389,706,278
84,743,367,735,278
84,694,411,731,319
84,644,430,698,319
84,636,430,704,319
88,641,434,712,319
88,641,448,712,307
88,637,534,668,247
81,637,654,746,374
263,643,683,904,374
365,642,690,959,354
356,661,694,1014,380
354,657,748,1015,387
381,630,803,1015,387
750,567,803,1015,387
750,557,815,1015,387
750,541,815,1015,391
750,541,793,1015,384
750,541,792,1036,357
750,541,790,1036,346
750,541,722,1039,345
750,541,746,914,311
736,520,780,836,247
736,444,991,738,230
764,436,994,709,230
771,383,978,697,230
778,290,1049,628,230
775,169,1086,622,224
775,99,1304,591,224
786,98,1243,601,225
786,98,1240,707,246
888,85,1200,706,258
1042,84,1199,704,270
1063,84,1145,801,229
1083,84,1126,914,239
1086,84,1126,930,239
1077,88,1122,1066,240
1080,88,1108,1066,431
1148,88,1022,1066,444
1139,81,902,988,339
951,263,873,830,427
848,365,866,775,433
837,356,884,720,417
837,354,830,732,446
835,381,775,732,446
485,750,775,777,446
485,750,763,880,446
485,750,776,999,442
485,750,835,1016,441
489,750,835,1042,464
489,750,914,1206,486
508,750,1079,1294,515
510,750,1071,1328,522
510,736,1087,1412,674
632,736,920,1412,674
672,764,917,1429,675
720,771,917,1499,687
713,778,846,1523,691
765,775,704,1519,762
780,775,463,1509,822
837,786,513,1499,832
838,786,715,1315,817
743,888,786,1308,805
592,1042,812,1281,793
571,1063,863,1146,793
551,1083,892,1031,783
548,1086,1008,1008,783
548,1077,1018,870,782
545,1080,1018,920,591
477,1148,1022,955,573
466,1139,1055,992,591
466,951,1231,992,516
462,848,1254,1207,510
534,837,1232,1211,500
547,837,1251,1219,634
571,835,1251,1224,717
600,485,1256,1179,721
622,485,1327,1076,768
648,485,1358,976,805
654,485,1299,972,875
650,489,1306,954,958
650,489,1233,831,950
631,508,1068,740,1056
629,510,1040,706,1104
629,510,989,621,977
507,632,945,621,977
439,672,977,604,976
384,720,1094,534,964
388,713,1112,510,960
340,765,1112,510,889
326,780,1158,475,829
258,837,1108,475,818
257,838,917,475,815
250,743,852,475,823
247,592,888,475,846
247,571,930,475,856
247,551,927,475,915
290,548,811,475,922
492,548,801,469,922
578,545,803,419,922
578,477,857,384,922
578,466,825,347,877
578,466,696,347,906
578,462,673,132,906
505,534,685,128,906
492,547,674,107,736
448,571,674,102,653
471,600,669,102,682
451,622,598,102,635
479,648,716,83,598
473,654,724,136,528
473,650,730,107,520
473,650,747,66,517
473,631,747,66,382
473,629,747,66,327
473,629,747,90,302
475,507,747,92,317
475,439,715,92,317
475,384,598,198,317
476,388,579,279,427
540,340,579,370,432
683,326,532,370,432
721,258,532,398,432
776,257,521,413,557
776,250,515,433,571
935,247,453,444,548
983,247,360,479,538
983,247,392,638,876
945,290,418,724,869
743,492,423,724,908
662,578,437,762,959
662,578,379,902,1144
703,578,378,903,1191
703,578,331,903,1160
703,578,331,903,1173
703,505,326,903,1197
703,492,321,951,1247
709,448,330,1112,1385
639,471,367,1159,1384
648,451,386,1177,1384
594,479,291,1183,1487
594,473,354,1123,1512
594,473,341,1195,1428
594,473,318,1443,1468
594,473,330,1443,1468
594,473,345,1443,1468
594,473,345,1419,1470
592,475,567,1417,1456
650,475,653,1417,1456
685,475,658,1311,1456
684,476,658,1261,1346
661,540,658,1204,1341
711,683,658,1278,1341
757,721,658,1250,1341
702,776,746,1235,1213
702,776,746,1220,1191
543,935,824,1237,1288
879,983,841,1290,1338
879,983,836,1175,941
874,945,810,1213,941
874,743,805,1267,1017
869,662,846,1230,1114
882,662,848,1122,929
889,703,848,1173,898
889,703,876,1266,879
889,703,876,1383,866
889,703,869,1425,842
905,703,1109,1448,933
893,709,1100,1409,803
892,639,1063,1376,782
881,648,1044,1399,782
888,594,977,1401,681
888,594,906,1398,656
888,594,906,1374,642
888,594,1077,1320,591
888,594,1153,1495,591
888,594,1138,1529,591
888,594,1138,1589,608
898,592,916,1618,624
892,650,870,1618,625
896,685,895,1713,629
933,684,895,1689,629
888,661,900,1656,629
694,711,967,1583,629
655,757,971,1591,629
750,702,883,1593,629
750,702,883,1588,629
750,543,805,1560,532
366,879,808,1472,482
471,879,765,1428,482
490,874,766,1304,482
508,874,832,1307,367
511,869,820,1382,219
498,882,821,1417,219
508,889,821,1369,223
705,889,793,1313,223
727,889,793,1197,223
727,889,793,1155,223
711,905,622,1084,82
749,893,801,962,88
749,892,854,992,124
754,881,854,995,124
747,888,854,987,122
747,888,854,984,122
747,888,869,936,134
786,888,704,834,188
786,888,690,659,222
786,888,904,625,501
786,888,904,565,482
776,898,904,840,465
743,892,864,881,465
704,896,879,810,461
663,933,879,899,475
832,888,874,907,531
855,694,828,906,612
810,655,877,903,617
935,750,880,901,713
935,750,880,901,831
935,750,888,952,832
935,366,869,1009,834
830,471,865,1035,1012
811,490,864,1035,1021
793,508,839,1028,1044
790,511,812,963,1062
793,498,809,974,1132
735,508,922,1304,1113
538,705,922,1268,1113
516,727,941,1267,1363
533,727,943,1267,1469
533,711,871,1267,1553
495,749,692,1267,1539
495,749,639,1223,1666
490,754,639,1179,1748
490,747,639,1179,1748
490,747,639,1179,1748
591,747,627,1179,1736
552,786,685,1087,1682
626,786,687,1196,1670
816,786,473,1202,1391
819,786,683,1207,1391
819,776,741,912,1391
800,743,758,871,1390
800,704,713,847,1390
800,663,713,751,1376
631,832,713,771,1320
608,855,707,772,1239
608,810,1057,767,1234
389,935,1283,767,1138
482,935,1283,767,1020
482,935,1275,716,1022
482,935,1274,659,1020
