Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3
512,415,1049,509,547
543,316,1091,488,525
590,296,1168,457,524
633,274,1240,410,524
611,293,1339,403,524
611,293,1360,403,525
628,291,1391,403,522
665,291,1391,403,522
680,281,1382,403,531
675,255,1315,403,549
635,279,1184,403,549
589,330,1135,403,550
582,343,1141,350,550
588,355,1142,350,550
592,311,1169,350,550
590,295,1242,350,550
607,265,1123,295,550
582,290,1160,315,546
490,382,1229,389,546
487,384,1139,321,428
487,384,1021,319,357
486,385,1021,346,275
486,385,1019,244,78
486,390,962,248,52
530,393,867,248,52
526,482,823,250,73
473,516,815,253,73
536,523,814,253,73
536,523,785,247,73
536,513,785,211,68
536,512,772,209,63
536,512,763,209,63
505,543,622,209,123
458,590,540,179,124
438,633,468,185,124
468,611,369,228,124
519,611,348,228,123
549,628,320,228,117
514,665,320,228,122
466,680,320,228,113
466,675,320,246,121
467,635,320,259,124
462,589,320,380,297
456,582,313,538,304
437,588,308,627,308
434,592,281,636,308
439,590,208,636,353
426,607,204,643,378
457,582,114,790,534
511,490,18,709,569
581,487,11,717,723
640,487,20,731,723
720,486,44,692,723
733,486,44,703,724
743,486,40,847,719
696,530,38,1129,719
611,526,38,1244,733
565,473,38,1244,733
494,536,59,1244,735
546,536,60,1245,751
604,536,61,1245,751
683,536,80,1299,751
744,536,281,1321,751
761,505,322,1334,691
761,458,364,1334,690
745,438,496,1328,697
744,468,625,1268,697
707,519,625,1268,697
694,549,620,1268,697
692,514,625,1268,692
691,466,626,1268,692
691,466,628,1250,666
690,467,629,1253,663
690,462,631,1133,489
690,456,631,975,482
690,437,631,886,478
710,434,631,882,478
710,439,631,925,433
708,426,632,926,423
705,457,635,753,339
692,511,635,748,345
648,581,655,759,205
589,640,646,745,205
525,720,622,757,205
539,733,627,744,239
543,743,629,596,240
636,696,629,347,240
636,611,629,232,224
636,565,629,229,236
636,494,608,229,234
584,546,607,228,218
533,604,650,228,218
473,683,895,177,218
413,744,809,158,229
396,761,800,155,229
402,761,892,174,229
462,745,856,174,222
433,744,729,174,222
419,707,782,174,222
381,694,813,174,222
395,692,813,174,228
511,691,815,174,240
555,691,813,174,240
774,690,815,159,240
787,690,926,158,240
787,690,927,158,240
787,690,975,158,240
767,710,1042,153,240
762,710,1042,110,240
784,708,1119,102,225
789,705,1123,102,153
773,692,1123,102,112
773,648,1103,83,106
773,589,1105,83,110
757,525,1114,98,110
731,539,1245,195,73
712,543,1385,242,72
619,636,1423,220,80
619,636,1423,229,61
619,636,1423,229,49
685,636,1450,229,53
685,584,1519,229,160
678,533,1475,229,183
661,473,1211,227,183
663,413,1097,427,172
668,396,1069,517,177
693,402,937,516,207
626,462,841,517,207
626,433,839,587,207
675,419,786,617,207
681,381,755,638,207
673,395,750,653,201
595,511,747,653,189
551,555,747,653,189
332,774,744,678,190
319,787,631,710,212
327,787,630,710,329
368,787,582,849,430
369,767,515,851,495
367,762,515,927,495
343,784,437,1054,498
311,789,430,1054,528
286,773,430,1054,531
260,773,430,1054,523
260,773,448,1054,568
260,757,454,1027,641
259,731,369,930,713
293,712,460,883,713
293,619,430,872,705
316,619,431,861,705
316,619,553,861,705
250,685,526,861,840
285,685,513,861,749
396,678,513,861,726
443,661,513,860,726
487,663,512,657,726
488,668,512,557,721
517,693,620,731,691
540,626,620,866,691
540,626,628,796,691
491,675,628,766,691
485,681,644,885,691
492,673,676,870,691
822,595,680,1077,691
822,551,732,1116,691
822,332,756,1090,690
822,319,771,1092,668
814,327,775,1310,551
773,368,776,1171,450
770,369,776,1178,385
779,367,776,1144,480
813,343,776,1098,484
812,311,776,1180,464
812,286,776,1410,461
812,260,776,1516,466
812,260,764,1606,417
930,260,749,1747,344
1024,259,716,1843,272
991,293,485,1843,273
1016,293,477,1871,286
1053,316,514,1911,295
1053,316,410,1921,316
1053,250,410,1989,251
1018,285,354,2059,250
907,396,354,2314,295
858,443,354,2317,366
1022,487,354,2322,383
1062,488,410,2331,395
1003,517,301,2139,395
980,540,314,2003,419
