Accum_y-0,T-1,T-2,T-3,T-4,T-5,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
1119,1558,605,556,490,747,444,989,803,721,441
1106,1538,639,556,490,747,436,657,832,595,428
1050,1549,684,455,591,747,383,610,757,502,433
1049,1473,761,455,552,786,290,580,714,386,433
974,1367,942,381,626,786,169,667,707,336,485
919,1388,771,396,816,786,99,588,777,314,485
886,1416,740,432,819,786,98,546,709,314,486
802,1408,806,458,819,776,98,497,704,278,517
798,1425,788,476,800,743,85,389,706,278,517
706,1467,845,476,800,704,84,367,735,278,532
692,1437,797,568,800,663,84,411,731,319,538
691,1438,671,694,631,832,84,430,698,319,578
709,1438,628,740,608,855,84,430,704,319,578
709,1437,629,740,608,810,88,434,712,319,578
709,1427,639,739,389,935,88,448,712,307,578
774,1424,642,646,482,935,88,534,668,247,522
845,1262,802,648,482,935,81,654,746,374,515
845,1107,955,650,482,935,263,683,904,374,513
840,1112,955,650,482,830,365,690,959,354,506
833,1119,955,650,482,811,356,694,1014,380,650
815,1143,955,650,482,793,354,748,1015,387,650
645,1316,955,556,576,790,381,803,1015,387,635
634,1323,959,556,573,793,750,803,1015,387,608
602,1214,1143,558,573,735,750,815,1015,387,562
549,1217,1155,600,573,538,750,815,1015,391,545
549,1180,1187,605,573,516,750,793,1015,384,545
519,1209,1189,605,556,533,750,792,1036,357,545
535,1049,1349,605,556,533,750,790,1036,346,530
468,1079,1453,605,556,495,750,722,1039,345,528
417,1040,1547,605,556,495,750,746,914,311,530
351,1127,1547,605,556,490,736,780,836,247,525
357,1119,1558,605,556,490,736,991,738,230,500
441,1106,1538,639,556,490,764,994,709,230,516
604,1050,1549,684,455,591,771,978,697,230,513
607,1049,1473,761,455,552,778,1049,628,230,513
644,974,1367,942,381,626,775,1086,622,224,461
644,919,1388,771,396,816,775,1304,591,224,461
641,886,1416,740,432,819,786,1243,601,225,460
641,802,1408,806,458,819,786,1240,707,246,429
628,798,1425,788,476,800,888,1200,706,258,429
621,706,1467,845,476,800,1042,1199,704,270,479
622,692,1437,797,568,800,1063,1145,801,229,518
622,691,1438,671,694,631,1083,1126,914,239,593
601,709,1438,628,740,608,1086,1126,930,239,726
620,709,1437,629,740,608,1077,1122,1066,240,745
627,709,1427,639,739,389,1080,1108,1066,431,746
562,774,1424,642,646,482,1148,1022,1066,444,746
517,845,1262,802,648,482,1139,902,988,339,666
556,845,1107,955,650,482,951,873,830,427,605
556,840,1112,955,650,482,848,866,775,433,609
556,833,1119,955,650,482,837,884,720,417,526
570,815,1143,955,650,482,837,830,732,446,558
574,645,1316,955,556,576,835,775,732,446,558
708,634,1323,959,556,573,485,775,777,446,555
708,602,1214,1143,558,573,485,763,880,446,555
749,549,1217,1155,600,573,485,776,999,442,555
778,549,1180,1187,605,573,485,835,1016,441,568
804,519,1209,1189,605,556,489,835,1042,464,568
982,535,1049,1349,605,556,489,914,1206,486,567
935,468,1079,1453,605,556,508,1079,1294,515,567
931,417,1040,1547,605,556,510,1071,1328,522,565
910,351,1127,1547,605,556,510,1087,1412,674,548
901,357,1119,1558,605,556,632,920,1412,674,553
816,441,1106,1538,639,556,672,917,1429,675,543
692,604,1050,1549,684,455,720,917,1499,687,544
689,607,1049,1473,761,455,713,846,1523,691,550
652,644,974,1367,942,381,765,704,1519,762,554
652,644,919,1388,771,396,780,463,1509,822,560
652,641,886,1416,740,432,837,513,1499,832,560
652,641,802,1408,806,458,838,715,1315,817,573
652,628,798,1425,788,476,743,786,1308,805,594
652,621,706,1467,845,476,592,812,1281,793,529
651,622,692,1437,797,568,571,863,1146,793,484
651,622,691,1438,671,694,551,892,1031,783,369
651,601,709,1438,628,740,548,1008,1008,783,236
632,620,709,1437,629,740,548,1018,870,782,217
625,627,709,1427,639,739,545,1018,920,591,216
628,562,774,1424,642,646,477,1022,955,573,216
782,517,845,1262,802,648,466,1055,992,591,216
820,556,845,1107,955,650,466,1231,992,516,187
824,556,840,1112,955,650,462,1254,1207,510,190
824,556,833,1119,955,650,534,1232,1211,500,129
804,570,815,1143,955,650,547,1251,1219,634,106
797,574,645,1316,955,556,571,1251,1224,717,106
790,708,634,1323,959,556,600,1256,1179,721,162
807,708,602,1214,1143,558,622,1327,1076,768,184
784,749,549,1217,1155,600,648,1358,976,805,189
816,778,549,1180,1187,605,654,1299,972,875,227
821,804,519,1209,1189,605,650,1306,954,958,252
645,982,535,1049,1349,605,650,1233,831,950,252
628,935,468,1079,1453,605,631,1068,740,1056,252
688,931,417,1040,1547,605,629,1040,706,1104,252
697,910,351,1127,1547,605,629,989,621,977,252
736,901,357,1119,1558,605,507,945,621,977,263
739,816,441,1106,1538,639,439,977,604,976,265
700,692,604,1050,1549,684,384,1094,534,964,318
700,689,607,1049,1473,761,388,1112,510,960,340
725,652,644,974,1367,942,340,1112,510,889,342
725,652,644,919,1388,771,326,1158,475,829,336
725,652,641,886,1416,740,258,1108,475,818,336
725,652,641,802,1408,806,257,917,475,815,323
731,652,628,798,1425,788,250,852,475,823,302
735,652,621,706,1467,845,247,888,475,846,302
735,651,622,692,1437,797,247,930,475,856,302
735,651,622,691,1438,671,247,927,475,915,342
735,651,601,709,1438,628,290,811,475,922,383
735,632,620,709,1437,629,492,801,469,922,383
735,625,627,709,1427,639,578,803,419,922,406
732,628,562,774,1424,642,578,857,384,922,470
552,782,517,845,1262,802,578,825,347,877,476
475,820,556,845,1107,955,578,696,347,906,476
471,824,556,840,1112,955,578,673,132,906,460
471,824,556,833,1119,955,505,685,128,906,463
471,804,570,815,1143,955,492,674,107,736,455
500,797,574,645,1316,955,448,674,102,653,564
373,790,708,634,1323,959,471,669,102,682,568
311,807,708,602,1214,1143,451,598,102,635,545
289,784,749,549,1217,1155,479,716,83,598,551
228,816,778,549,1180,1187,473,724,136,528,500
198,821,804,519,1209,1189,473,730,107,520,475
190,645,982,535,1049,1349,473,747,66,517,475
275,628,935,468,1079,1453,473,747,66,382,475
276,688,931,417,1040,1547,473,747,66,327,545
267,697,910,351,1127,1547,473,747,90,302,568
228,736,901,357,1119,1558,475,747,92,317,559
486,739,816,441,1106,1538,475,715,92,317,565
507,700,692,604,1050,1549,475,598,198,317,607
507,700,689,607,1049,1473,476,579,279,427,590
533,725,652,644,974,1367,540,579,370,432,584
533,725,652,644,919,1388,683,532,370,432,584
632,725,652,641,886,1416,721,532,398,432,584
632,725,652,641,802,1408,776,521,413,557,584
626,731,652,628,798,1425,776,515,433,571,677
627,735,652,621,706,1467,935,453,444,548,766
627,735,651,622,692,1437,983,360,479,538,766
627,735,651,622,691,1438,983,392,638,876,726
693,735,651,601,709,1438,945,418,724,869,685
693,735,632,620,709,1437,743,423,724,908,685
