Accum_y-0,T-1,T-2,T-3,T-4,T-5,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
279,510,1523,628,714,1105,427,590,892,405,818
370,510,1519,622,707,1122,432,584,877,413,818
370,475,1509,591,777,1128,432,584,877,413,818
398,475,1499,601,709,1196,432,584,984,410,820
413,475,1315,707,704,1279,557,584,984,452,820
433,475,1308,706,706,1278,571,677,992,464,833
444,475,1281,704,735,1278,548,766,992,500,869
479,475,1146,801,731,1320,538,766,992,500,841
638,475,1031,914,698,1292,876,726,992,506,780
724,475,1008,930,704,1293,869,685,992,574,720
724,469,870,1066,712,1213,908,685,984,821,827
762,419,920,1066,712,1198,959,662,955,1091,771
902,384,955,1066,668,1242,1144,723,873,1091,711
903,347,992,988,746,1194,1191,721,870,1121,711
903,347,992,830,904,1186,1160,722,870,1158,727
903,132,1207,775,959,1127,1173,737,721,1157,739
903,128,1211,720,1014,1045,1197,734,721,1247,745
951,107,1219,732,1015,947,1247,733,721,1247,756
1112,102,1224,732,1015,918,1385,624,721,1244,767
1159,102,1179,777,1015,892,1384,563,721,1123,739
1177,102,1076,880,1015,633,1384,563,689,1111,711
1183,83,976,999,1015,606,1487,796,668,1179,646
1123,136,972,1016,1015,529,1512,796,675,1135,634
1195,107,954,1042,1036,527,1428,796,675,956,609
1443,66,831,1206,1036,527,1468,796,673,949,574
1443,66,740,1294,1039,502,1468,796,707,984,573
1443,66,706,1328,914,627,1468,772,669,1005,559
1419,90,621,1412,836,705,1470,749,710,1022,382
1417,92,621,1412,738,803,1456,740,709,1046,334
1417,92,604,1429,709,832,1456,758,640,1046,461
1311,198,534,1499,697,757,1456,660,433,1046,461
1261,279,510,1523,628,714,1346,649,224,1131,465
1204,370,510,1519,622,707,1341,649,222,1123,488
1278,370,475,1509,591,777,1341,649,295,1161,504
1250,398,475,1499,601,709,1341,649,208,1161,517
1235,413,475,1315,707,704,1213,649,299,1120,523
1220,433,475,1308,706,706,1191,556,291,1108,510
1237,444,475,1281,704,735,1288,468,291,1240,474
1290,479,475,1146,801,731,1338,468,291,1240,476
1175,638,475,1031,914,698,941,468,291,1234,476
1213,724,475,1008,930,704,941,468,291,1230,476
1267,724,469,870,1066,712,1017,468,305,983,367
1230,762,419,920,1066,712,1114,468,326,713,367
1122,902,384,955,1066,668,929,343,326,713,367
1173,903,347,992,988,746,898,339,327,683,367
1266,903,347,992,830,904,879,338,423,645,351
1383,903,132,1207,775,959,866,323,423,645,339
1425,903,128,1211,720,1014,842,323,444,555,333
1448,951,107,1219,732,1015,933,325,444,555,322
1409,1112,102,1224,732,1015,803,326,444,555,311
1376,1159,102,1179,777,1015,782,326,444,555,311
1399,1177,102,1076,880,1015,782,376,444,555,330
1401,1183,83,976,999,1015,681,334,444,458,330
1398,1123,136,972,1016,1015,656,392,431,484,330
1374,1195,107,954,1042,1036,642,456,484,523,340
1320,1443,66,831,1206,1036,591,505,587,549,408
1495,1443,66,740,1294,1039,591,505,568,537,492
1529,1443,66,706,1328,914,591,493,606,611,474
1589,1419,90,621,1412,836,608,507,548,594,415
1618,1417,92,621,1412,738,624,759,548,570,406
1618,1417,92,604,1429,709,625,772,623,570,270
1713,1311,198,534,1499,697,629,848,671,570,270
1689,1261,279,510,1523,628,629,848,695,481,274
1656,1204,370,510,1519,622,629,848,705,481,465
1583,1278,370,475,1509,591,629,848,634,443,449
1591,1250,398,475,1499,601,629,848,614,443,436
1593,1235,413,475,1315,707,629,848,523,442,524
1588,1220,433,475,1308,706,629,848,523,442,538
1560,1237,444,475,1281,704,532,847,523,274,541
1472,1290,479,475,1146,801,482,847,523,281,539
1428,1175,638,475,1031,914,482,847,525,281,561
1304,1213,724,475,1008,930,482,957,661,217,561
1307,1267,724,469,870,1066,367,957,715,217,561
1382,1230,762,419,920,1066,219,1024,724,232,561
1417,1122,902,384,955,1066,219,1024,776,392,561
1369,1173,903,347,992,988,223,1024,775,392,561
1313,1266,903,347,992,830,223,1027,679,392,564
1197,1383,903,132,1207,775,223,1076,679,396,569
1155,1425,903,128,1211,720,223,1093,681,398,571
1084,1448,951,107,1219,732,82,1091,689,471,571
962,1409,1112,102,1224,732,88,1134,689,493,571
992,1376,1159,102,1179,777,124,1273,689,493,571
995,1399,1177,102,1076,880,124,1657,689,493,547
987,1401,1183,83,976,999,122,1456,689,532,557
984,1398,1123,136,972,1016,122,1398,689,506,598
936,1374,1195,107,954,1042,134,1334,636,467,605
834,1320,1443,66,831,1206,188,1285,533,441,600
659,1495,1443,66,740,1294,222,1286,525,417,555
625,1529,1443,66,706,1328,501,1252,506,322,593
565,1589,1419,90,621,1412,482,1297,506,322,577
840,1618,1417,92,621,1412,465,1045,506,322,594
881,1618,1417,92,604,1429,465,1055,454,322,594
810,1713,1311,198,534,1499,461,1007,406,322,596
899,1689,1261,279,510,1523,475,1007,382,322,622
907,1656,1204,370,510,1519,531,1007,499,322,466
906,1583,1278,370,475,1509,612,1019,497,322,469
903,1591,1250,398,475,1499,617,1032,567,322,467
901,1593,1235,413,475,1315,713,1135,654,322,373
901,1588,1220,433,475,1308,831,1249,682,322,359
952,1560,1237,444,475,1281,832,1249,682,322,356
1009,1472,1290,479,475,1146,834,1249,863,315,356
1035,1428,1175,638,475,1031,1012,1249,900,494,334
1035,1304,1213,724,475,1008,1021,1139,995,623,334
1028,1307,1267,724,469,870,1044,1160,927,623,363
963,1382,1230,762,419,920,1062,1093,1010,608,371
