Accum_y-0,T-1,T-2,T-3,T-4,T-5,Accum_y-1
2057,116,295,458,817,536,901
2057,167,299,458,817,536,1010
1690,579,310,458,817,536,1092
1871,589,336,458,811,542,1091
1902,564,369,443,770,598,1086
1787,698,311,501,639,729,1314
1792,708,306,505,540,829,1335
1719,784,293,478,579,832,1203
1719,784,271,500,440,971,1293
1715,788,270,490,401,1021,1287
1654,860,269,490,402,1004,1306
1464,1055,268,237,656,1004,1325
1311,1208,266,239,642,997,1365
1217,1302,266,229,651,977,1364
911,1608,266,229,633,980,1415
860,1659,266,229,633,980,1384
852,1671,266,229,633,854,1369
897,1669,207,245,676,725,1359
948,1690,126,270,734,710,1255
1015,1719,124,251,753,705,1248
1006,1737,124,251,753,700,1166
985,1758,124,251,723,728,1026
967,1776,124,251,723,714,919
964,1779,120,255,723,712,844
973,1779,96,279,698,718,868
973,1778,97,279,663,753,898
968,1783,97,279,599,805,896
925,1826,97,279,458,861,900
941,1841,93,283,458,822,928
904,1872,87,295,458,822,928
903,1883,95,295,458,822,928
708,2057,116,295,458,817,878
653,2057,167,299,458,817,770
597,1690,579,310,458,817,708
380,1871,589,336,458,811,705
341,1902,564,369,443,770,705
323,1787,698,311,501,639,476
308,1792,708,306,505,540,428
303,1719,784,293,478,579,428
303,1719,784,271,500,440,309
303,1715,788,270,490,401,311
292,1654,860,269,490,402,309
290,1464,1055,268,237,656,347
309,1311,1208,266,239,642,316
341,1217,1302,266,229,651,321
343,911,1608,266,229,633,351
344,860,1659,266,229,633,359
357,852,1671,266,229,633,359
357,897,1669,207,245,676,339
283,948,1690,126,270,734,339
187,1015,1719,124,251,753,337
178,1006,1737,124,251,753,337
181,985,1758,124,251,723,337
186,967,1776,124,251,723,337
192,964,1779,120,255,723,367
183,973,1779,96,279,698,342
183,973,1778,97,279,663,391
183,968,1783,97,279,599,399
183,925,1826,97,279,458,388
154,941,1841,93,283,458,358
155,904,1872,87,295,458,358
174,903,1883,95,295,458,358
202,708,2057,116,295,458,358
202,653,2057,167,299,458,355
221,597,1690,579,310,458,378
221,380,1871,589,336,458,378
221,341,1902,564,369,443,378
224,323,1787,698,311,501,378
226,308,1792,708,306,505,378
226,303,1719,784,293,478,370
226,303,1719,784,271,500,370
227,303,1715,788,270,490,388
227,292,1654,860,269,490,375
224,290,1464,1055,268,237,312
221,309,1311,1208,266,239,297
272,341,1217,1302,266,229,296
271,343,911,1608,266,229,215
270,344,860,1659,266,229,219
253,357,852,1671,266,229,219
208,357,897,1669,207,245,219
208,283,948,1690,126,270,219
208,187,1015,1719,124,251,211
208,178,1006,1737,124,251,211
205,181,985,1758,124,251,211
200,186,967,1776,124,251,211
194,192,964,1779,120,255,181
194,183,973,1779,96,279,181
194,183,973,1778,97,279,102
194,183,968,1783,97,279,94
194,183,925,1826,97,279,124
192,154,941,1841,93,283,154
198,155,904,1872,87,295,197
161,174,903,1883,95,295,259
133,202,708,2057,116,295,330
133,202,653,2057,167,299,330
119,221,597,1690,579,310,297
119,221,380,1871,589,336,297
174,221,341,1902,564,369,297
218,224,323,1787,698,311,297
238,226,308,1792,708,306,297
317,226,303,1719,784,293,297
317,226,303,1719,784,271,317
316,227,303,1715,788,270,297
316,227,292,1654,860,269,292
316,224,290,1464,1055,268,292
312,221,309,1311,1208,266,287
252,272,341,1217,1302,266,295
318,271,343,911,1608,266,295
358,270,344,860,1659,266,283
402,253,357,852,1671,266,283
423,208,357,897,1669,207,283
517,208,283,948,1690,126,283
612,208,187,1015,1719,124,288
690,208,178,1006,1737,124,314
846,205,181,985,1758,124,314
915,200,186,967,1776,124,314
917,194,192,964,1779,120,314
917,194,183,973,1779,96,352
961,194,183,973,1778,97,360
961,194,183,968,1783,97,390
1193,194,183,925,1826,97,360
1193,192,154,941,1841,93,330
1186,198,155,904,1872,87,287
1264,161,174,903,1883,95,225
1330,133,202,708,2057,116,154
1330,133,202,653,2057,167,154
1327,119,221,597,1690,579,144
1358,119,221,380,1871,589,144
1303,174,221,341,1902,564,186
1297,218,224,323,1787,698,186
1275,238,226,308,1792,708,186
1196,317,226,303,1719,784,186
1196,317,226,303,1719,784,179
1238,316,227,303,1715,788,187
1262,316,227,292,1654,860,187
1265,316,224,290,1464,1055,187
1260,312,221,309,1311,1208,218
1238,252,272,341,1217,1302,255
1182,318,271,343,911,1608,364
1258,358,270,344,860,1659,425
1214,402,253,357,852,1671,425
1193,423,208,357,897,1669,433
1099,517,208,283,948,1690,433
1004,612,208,187,1015,1719,428
926,690,208,178,1006,1737,402
770,846,205,181,985,1758,402
701,915,200,186,967,1776,402
700,917,194,192,964,1779,402
700,917,194,183,973,1779,364
701,961,194,183,973,1778,356
704,961,194,183,968,1783,435
472,1193,194,183,925,1826,435
754,1193,192,154,941,1841,435
772,1186,198,155,904,1872,488
695,1264,161,174,903,1883,488
708,1330,133,202,708,2057,528
750,1330,133,202,653,2057,630
748,1327,119,221,597,1690,633
717,1358,119,221,380,1871,648
717,1303,174,221,341,1902,611
819,1297,218,224,323,1787,674
