Accum_y-0,T-1,T-2,T-3,T-4,T-5,Accum_y-1
1119,1558,605,556,490,747,444
1106,1538,639,556,490,747,436
1050,1549,684,455,591,747,383
1049,1473,761,455,552,786,290
974,1367,942,381,626,786,169
919,1388,771,396,816,786,99
886,1416,740,432,819,786,98
802,1408,806,458,819,776,98
798,1425,788,476,800,743,85
706,1467,845,476,800,704,84
692,1437,797,568,800,663,84
691,1438,671,694,631,832,84
709,1438,628,740,608,855,84
709,1437,629,740,608,810,88
709,1427,639,739,389,935,88
774,1424,642,646,482,935,88
845,1262,802,648,482,935,81
845,1107,955,650,482,935,263
840,1112,955,650,482,830,365
833,1119,955,650,482,811,356
815,1143,955,650,482,793,354
645,1316,955,556,576,790,381
634,1323,959,556,573,793,750
602,1214,1143,558,573,735,750
549,1217,1155,600,573,538,750
549,1180,1187,605,573,516,750
519,1209,1189,605,556,533,750
535,1049,1349,605,556,533,750
468,1079,1453,605,556,495,750
417,1040,1547,605,556,495,750
351,1127,1547,605,556,490,736
357,1119,1558,605,556,490,736
441,1106,1538,639,556,490,764
604,1050,1549,684,455,591,771
607,1049,1473,761,455,552,778
644,974,1367,942,381,626,775
644,919,1388,771,396,816,775
641,886,1416,740,432,819,786
641,802,1408,806,458,819,786
628,798,1425,788,476,800,888
621,706,1467,845,476,800,1042
622,692,1437,797,568,800,1063
622,691,1438,671,694,631,1083
601,709,1438,628,740,608,1086
620,709,1437,629,740,608,1077
627,709,1427,639,739,389,1080
562,774,1424,642,646,482,1148
517,845,1262,802,648,482,1139
556,845,1107,955,650,482,951
556,840,1112,955,650,482,848
556,833,1119,955,650,482,837
570,815,1143,955,650,482,837
574,645,1316,955,556,576,835
708,634,1323,959,556,573,485
708,602,1214,1143,558,573,485
749,549,1217,1155,600,573,485
778,549,1180,1187,605,573,485
804,519,1209,1189,605,556,489
982,535,1049,1349,605,556,489
935,468,1079,1453,605,556,508
931,417,1040,1547,605,556,510
910,351,1127,1547,605,556,510
901,357,1119,1558,605,556,632
816,441,1106,1538,639,556,672
692,604,1050,1549,684,455,720
689,607,1049,1473,761,455,713
652,644,974,1367,942,381,765
652,644,919,1388,771,396,780
652,641,886,1416,740,432,837
652,641,802,1408,806,458,838
652,628,798,1425,788,476,743
652,621,706,1467,845,476,592
651,622,692,1437,797,568,571
651,622,691,1438,671,694,551
651,601,709,1438,628,740,548
632,620,709,1437,629,740,548
625,627,709,1427,639,739,545
628,562,774,1424,642,646,477
782,517,845,1262,802,648,466
820,556,845,1107,955,650,466
824,556,840,1112,955,650,462
824,556,833,1119,955,650,534
804,570,815,1143,955,650,547
797,574,645,1316,955,556,571
790,708,634,1323,959,556,600
807,708,602,1214,1143,558,622
784,749,549,1217,1155,600,648
816,778,549,1180,1187,605,654
821,804,519,1209,1189,605,650
645,982,535,1049,1349,605,650
628,935,468,1079,1453,605,631
688,931,417,1040,1547,605,629
697,910,351,1127,1547,605,629
736,901,357,1119,1558,605,507
739,816,441,1106,1538,639,439
700,692,604,1050,1549,684,384
700,689,607,1049,1473,761,388
725,652,644,974,1367,942,340
725,652,644,919,1388,771,326
725,652,641,886,1416,740,258
725,652,641,802,1408,806,257
731,652,628,798,1425,788,250
735,652,621,706,1467,845,247
735,651,622,692,1437,797,247
735,651,622,691,1438,671,247
735,651,601,709,1438,628,290
735,632,620,709,1437,629,492
735,625,627,709,1427,639,578
732,628,562,774,1424,642,578
552,782,517,845,1262,802,578
475,820,556,845,1107,955,578
471,824,556,840,1112,955,578
471,824,556,833,1119,955,505
471,804,570,815,1143,955,492
500,797,574,645,1316,955,448
373,790,708,634,1323,959,471
311,807,708,602,1214,1143,451
289,784,749,549,1217,1155,479
228,816,778,549,1180,1187,473
198,821,804,519,1209,1189,473
190,645,982,535,1049,1349,473
275,628,935,468,1079,1453,473
276,688,931,417,1040,1547,473
267,697,910,351,1127,1547,473
228,736,901,357,1119,1558,475
486,739,816,441,1106,1538,475
507,700,692,604,1050,1549,475
507,700,689,607,1049,1473,476
533,725,652,644,974,1367,540
533,725,652,644,919,1388,683
632,725,652,641,886,1416,721
632,725,652,641,802,1408,776
626,731,652,628,798,1425,776
627,735,652,621,706,1467,935
627,735,651,622,692,1437,983
627,735,651,622,691,1438,983
693,735,651,601,709,1438,945
693,735,632,620,709,1437,743
693,735,625,627,709,1427,662
693,732,628,562,774,1424,662
693,552,782,517,845,1262,703
693,475,820,556,845,1107,703
693,471,824,556,840,1112,703
693,471,824,556,833,1119,703
765,471,804,570,815,1143,703
866,500,797,574,645,1316,709
871,373,790,708,634,1323,639
893,311,807,708,602,1214,648
972,289,784,749,549,1217,594
1100,228,816,778,549,1180,594
1106,198,821,804,519,1209,594
1096,190,645,982,535,1049,594
1008,275,628,935,468,1079,594
947,276,688,931,417,1040,594
947,267,697,910,351,1127,594
947,228,736,901,357,1119,592
940,486,739,816,441,1106,650
919,507,700,692,604,1050,685
1062,507,700,689,607,1049,684
1073,533,725,652,644,974,661
1164,533,725,652,644,919,711
1100,632,725,652,641,886,757
1129,632,725,652,641,802,702
1129,626,731,652,628,798,702
1151,627,735,652,621,706,543
1151,627,735,651,622,692,879
1151,627,735,651,622,691,879
1151,693,735,651,601,709,874
1151,693,735,632,620,709,874
1158,693,735,625,627,709,869
1160,693,732,628,562,774,882
1160,693,552,782,517,845,889
1160,693,475,820,556,845,889
1160,693,471,824,556,840,889
1160,693,471,824,556,833,889
1088,765,471,804,570,815,905
958,866,500,797,574,645,893
953,871,373,790,708,634,892
931,893,311,807,708,602,881
852,972,289,784,749,549,888
724,1100,228,816,778,549,888
716,1106,198,821,804,519,888
716,1096,190,645,982,535,888
716,1008,275,628,935,468,888
716,947,276,688,931,417,888
716,947,267,697,910,351,888
716,947,228,736,901,357,898
462,940,486,739,816,441,892
462,919,507,700,692,604,896
319,1062,507,700,689,607,933
340,1073,533,725,652,644,888
378,1164,533,725,652,644,694
344,1100,632,725,652,641,655
315,1129,632,725,652,641,750
319,1129,626,731,652,628,750
299,1151,627,735,652,621,750
304,1151,627,735,651,622,366
304,1151,627,735,651,622,471
238,1151,693,735,651,601,490
238,1151,693,735,632,620,508
231,1158,693,735,625,627,511
267,1160,693,732,628,562,498
272,1160,693,552,782,517,508
276,1160,693,475,820,556,705
276,1160,693,471,824,556,727
276,1160,693,471,824,556,727
317,1088,765,471,804,570,711
317,958,866,500,797,574,749
447,953,871,373,790,708,749
468,931,893,311,807,708,754
468,852,972,289,784,749,747
471,724,1100,228,816,778,747
471,716,1106,198,821,804,747
494,716,1096,190,645,982,786
494,716,1008,275,628,935,786
536,716,947,276,688,931,786
597,716,947,267,697,910,786
597,716,947,228,736,901,776
597,462,940,486,739,816,743
605,462,919,507,700,692,704
605,319,1062,507,700,689,663
522,340,1073,533,725,652,832
433,378,1164,533,725,652,855
777,344,1100,632,725,652,810
777,315,1129,632,725,652,935
885,319,1129,626,731,652,935
1024,299,1151,627,735,652,935
1110,304,1151,627,735,651,935
1225,304,1151,627,735,651,830
1237,238,1151,693,735,651,811
1237,238,1151,693,735,632,793
1237,231,1158,693,735,625,790
1199,267,1160,693,732,628,793
1196,272,1160,693,552,782,735
1302,276,1160,693,475,820,538
1326,276,1160,693,471,824,516
1326,276,1160,693,471,824,533
1474,317,1088,765,471,804,533
1829,317,958,866,500,797,495
1722,447,953,871,373,790,495
1777,468,931,893,311,807,490
1787,468,852,972,289,784,490
1784,471,724,1100,228,816,490
1784,471,716,1106,198,821,591
1761,494,716,1096,190,645,552
1761,494,716,1008,275,628,626
1719,536,716,947,276,688,816
1658,597,716,947,267,697,819
1696,597,716,947,228,736,819
1877,597,462,940,486,739,800
1921,605,462,919,507,700,800
1922,605,319,1062,507,700,800
1922,522,340,1073,533,725,631
1882,433,378,1164,533,725,608
1565,777,344,1100,632,725,608
1565,777,315,1129,632,725,389
1453,885,319,1129,626,731,482
1379,1024,299,1151,627,735,482
1376,1110,304,1151,627,735,482
1261,1225,304,1151,627,735,482
1249,1237,238,1151,693,735,482
1249,1237,238,1151,693,735,482
1249,1237,231,1158,693,735,576
1249,1199,267,1160,693,732,573
1247,1196,272,1160,693,552,573
1206,1302,276,1160,693,475,573
1386,1326,276,1160,693,471,573
1387,1326,276,1160,693,471,556
1212,1474,317,1088,765,471,556
858,1829,317,958,866,500,556
839,1722,447,953,871,373,556
763,1777,468,931,893,311,556
812,1787,468,852,972,289,556
825,1784,471,724,1100,228,556
959,1784,471,716,1106,198,455
959,1761,494,716,1096,190,455
959,1761,494,716,1008,275,381
988,1719,536,716,947,276,396
989,1658,597,716,947,267,432
951,1696,597,716,947,228,458
770,1877,597,462,940,486,476
718,1921,605,462,919,507,476
717,1922,605,319,1062,507,568
717,1922,522,340,1073,533,694
717,1882,433,378,1164,533,740
689,1565,777,344,1100,632,740
689,1565,777,315,1129,632,739
720,1453,885,319,1129,626,646
722,1379,1024,299,1151,627,648
634,1376,1110,304,1151,627,650
634,1261,1225,304,1151,627,650
727,1249,1237,238,1151,693,650
762,1249,1237,238,1151,693,650
762,1249,1237,231,1158,693,556
762,1249,1199,267,1160,693,556
799,1247,1196,272,1160,693,558
730,1206,1302,276,1160,693,600
526,1386,1326,276,1160,693,605
525,1387,1326,276,1160,693,605
512,1212,1474,317,1088,765,605
511,858,1829,317,958,866,605
507,839,1722,447,953,871,605
523,763,1777,468,931,893,605
531,812,1787,468,852,972,605
518,825,1784,471,724,1100,639
385,959,1784,471,716,1106,684
406,959,1761,494,716,1096,761
423,959,1761,494,716,1008,942
394,988,1719,536,716,947,771
519,989,1658,597,716,947,740
627,951,1696,597,716,947,806
708,770,1877,597,462,940,788
804,718,1921,605,462,919,845
858,717,1922,605,319,1062,797
1013,717,1922,522,340,1073,671
1046,717,1882,433,378,1164,628
1134,689,1565,777,344,1100,629
1138,689,1565,777,315,1129,639
1108,720,1453,885,319,1129,642
1034,722,1379,1024,299,1151,802
1034,634,1376,1110,304,1151,955
1035,634,1261,1225,304,1151,955
944,727,1249,1237,238,1151,955
909,762,1249,1237,238,1151,955
909,762,1249,1237,231,1158,955
924,762,1249,1199,267,1160,959
888,799,1247,1196,272,1160,1143
888,730,1206,1302,276,1160,1155
890,526,1386,1326,276,1160,1187
891,525,1387,1326,276,1160,1189
893,512,1212,1474,317,1088,1349
893,511,858,1829,317,958,1453
930,507,839,1722,447,953,1547
915,523,763,1777,468,931,1547
848,531,812,1787,468,852,1558
850,518,825,1784,471,724,1538
849,385,959,1784,471,716,1549
832,406,959,1761,494,716,1473
820,423,959,1761,494,716,1367
821,394,988,1719,536,716,1388
722,519,989,1658,597,716,1416
754,627,951,1696,597,716,1408
702,708,770,1877,597,462,1425
612,804,718,1921,605,462,1467
559,858,717,1922,605,319,1437
410,1013,717,1922,522,340,1438
388,1046,717,1882,433,378,1438
306,1134,689,1565,777,344,1437
302,1138,689,1565,777,315,1427
332,1108,720,1453,885,319,1424
347,1034,722,1379,1024,299,1262
377,1034,634,1376,1110,304,1107
480,1035,634,1261,1225,304,1112
495,944,727,1249,1237,238,1119
577,909,762,1249,1237,238,1143
717,909,762,1249,1237,231,1316
809,924,762,1249,1199,267,1323
883,888,799,1247,1196,272,1214
884,888,730,1206,1302,276,1217
882,890,526,1386,1326,276,1180
883,891,525,1387,1326,276,1209
887,893,512,1212,1474,317,1049
889,893,511,858,1829,317,1079
852,930,507,839,1722,447,1040
851,915,523,763,1777,468,1127
901,848,531,812,1787,468,1119
1010,850,518,825,1784,471,1106
1092,849,385,959,1784,471,1050
1091,832,406,959,1761,494,1049
1086,820,423,959,1761,494,974
1314,821,394,988,1719,536,919
1335,722,519,989,1658,597,886
1203,754,627,951,1696,597,802
1293,702,708,770,1877,597,798
1287,612,804,718,1921,605,706
1306,559,858,717,1922,605,692
1325,410,1013,717,1922,522,691
1365,388,1046,717,1882,433,709
1364,306,1134,689,1565,777,709
1415,302,1138,689,1565,777,709
1384,332,1108,720,1453,885,774
1369,347,1034,722,1379,1024,845
1359,377,1034,634,1376,1110,845
1255,480,1035,634,1261,1225,840
1248,495,944,727,1249,1237,833
1166,577,909,762,1249,1237,815
1026,717,909,762,1249,1237,645
919,809,924,762,1249,1199,634
844,883,888,799,1247,1196,602
868,884,888,730,1206,1302,549
898,882,890,526,1386,1326,549
896,883,891,525,1387,1326,519
900,887,893,512,1212,1474,535
928,889,893,511,858,1829,468
928,852,930,507,839,1722,417
928,851,915,523,763,1777,351
878,901,848,531,812,1787,357
770,1010,850,518,825,1784,441
708,1092,849,385,959,1784,604
705,1091,832,406,959,1761,607
705,1086,820,423,959,1761,644
476,1314,821,394,988,1719,644
428,1335,722,519,989,1658,641
428,1203,754,627,951,1696,641
309,1293,702,708,770,1877,628
311,1287,612,804,718,1921,621
