Accum_y-0,T-1,T-2,T-3,T-4,T-5,Accum_y-1
721,499,493,652,469,1456,441
595,607,338,825,469,1398,428
502,619,402,842,469,1334,433
386,666,471,842,469,1285,433
336,671,522,842,468,1286,485
314,668,547,842,468,1252,485
314,668,547,842,409,1297,486
278,699,552,842,409,1045,517
278,699,552,842,354,1055,517
278,689,561,843,326,1007,532
319,689,561,842,327,1007,538
319,687,563,511,658,1007,578
319,677,573,398,759,1019,578
319,677,573,368,776,1032,578
307,689,573,368,673,1135,578
247,680,647,367,560,1249,522
374,667,665,317,610,1249,515
374,660,680,275,652,1249,513
354,680,675,280,652,1249,506
380,680,632,323,652,1139,650
387,680,572,383,631,1160,650
387,672,539,424,631,1093,635
387,672,486,477,631,1093,608
387,672,482,481,631,1093,562
391,634,520,481,629,1092,545
384,642,518,483,628,1044,545
357,645,542,476,575,1087,545
346,629,569,476,575,1087,530
345,606,593,465,586,1043,528
311,640,593,455,596,904,530
247,704,593,438,613,470,525
230,721,499,493,652,469,500
230,595,607,338,825,469,516
230,502,619,402,842,469,513
230,386,666,471,842,469,513
224,336,671,522,842,468,461
224,314,668,547,842,468,461
225,314,668,547,842,409,460
246,278,699,552,842,409,429
258,278,699,552,842,354,429
270,278,689,561,843,326,479
229,319,689,561,842,327,518
239,319,687,563,511,658,593
239,319,677,573,398,759,726
240,319,677,573,368,776,745
431,307,689,573,368,673,746
444,247,680,647,367,560,746
339,374,667,665,317,610,666
427,374,660,680,275,652,605
433,354,680,675,280,652,609
417,380,680,632,323,652,526
446,387,680,572,383,631,558
446,387,672,539,424,631,558
446,387,672,486,477,631,555
446,387,672,482,481,631,555
442,391,634,520,481,629,555
441,384,642,518,483,628,568
464,357,645,542,476,575,568
486,346,629,569,476,575,567
515,345,606,593,465,586,567
522,311,640,593,455,596,565
674,247,704,593,438,613,548
674,230,721,499,493,652,553
675,230,595,607,338,825,543
687,230,502,619,402,842,544
691,230,386,666,471,842,550
762,224,336,671,522,842,554
822,224,314,668,547,842,560
832,225,314,668,547,842,560
817,246,278,699,552,842,573
805,258,278,699,552,842,594
793,270,278,689,561,843,529
793,229,319,689,561,842,484
783,239,319,687,563,511,369
783,239,319,677,573,398,236
782,240,319,677,573,368,217
591,431,307,689,573,368,216
573,444,247,680,647,367,216
591,339,374,667,665,317,216
516,427,374,660,680,275,187
510,433,354,680,675,280,190
500,417,380,680,632,323,129
634,446,387,680,572,383,106
717,446,387,672,539,424,106
721,446,387,672,486,477,162
768,446,387,672,482,481,184
805,442,391,634,520,481,189
875,441,384,642,518,483,227
958,464,357,645,542,476,252
