Accum_y-0,T-1,T-2,T-3,T-4,T-5,Accum_y-1
75,805,329,983,298,681,510
75,805,329,921,360,626,494
75,805,329,914,366,586,488
77,772,362,897,383,531,640
77,765,369,854,426,531,682
77,670,464,754,526,531,707
77,557,577,754,526,531,568
77,551,583,698,582,531,568
132,436,698,686,594,507,568
132,416,718,681,599,501,608
132,416,655,723,620,501,626
132,391,672,682,638,528,763
142,388,674,679,626,513,900
142,388,660,693,601,532,900
185,388,660,680,614,482,1112
276,388,660,679,615,423,1139
352,388,660,679,613,320,1139
352,388,660,600,644,351,1139
352,254,794,499,743,350,1139
352,223,825,460,734,390,1139
352,59,926,523,683,441,1135
352,37,938,453,763,434,1135
406,65,898,482,785,362,1135
395,96,900,477,787,266,1135
394,97,840,534,788,253,1190
508,97,840,506,786,283,1140
569,78,859,371,921,266,1140
632,73,864,361,931,266,1086
632,73,863,297,996,263,1083
630,75,857,297,992,269,955
630,75,805,329,983,298,1028
630,75,805,329,983,298,1015
647,75,805,329,921,360,1015
647,75,805,329,914,366,1014
852,77,772,362,897,383,862
853,77,765,369,854,426,820
853,77,670,464,754,526,795
853,77,557,577,754,526,795
864,77,551,583,698,582,796
809,132,436,698,686,594,796
830,132,416,718,681,599,756
832,132,416,655,723,620,738
833,132,391,672,682,638,601
829,142,388,674,679,626,457
829,142,388,660,693,601,457
786,185,388,660,680,614,245
695,276,388,660,679,615,218
619,352,388,660,679,613,218
619,352,388,660,600,644,218
619,352,254,794,499,743,242
619,352,223,825,460,734,242
630,352,59,926,523,683,245
709,352,37,938,453,763,245
689,406,65,898,482,785,269
793,395,96,900,477,787,376
825,394,97,840,534,788,330
877,508,97,840,506,786,418
816,569,78,859,371,921,535
832,632,73,864,361,931,546
832,632,73,863,297,996,787
953,630,75,857,297,992,801
964,630,75,805,329,983,996
968,630,75,805,329,983,1001
965,647,75,805,329,921,1001
1015,647,75,805,329,914,1001
900,852,77,772,362,897,1001
950,853,77,765,369,854,1001
951,853,77,670,464,754,1040
951,853,77,557,577,754,1204
940,864,77,551,583,698,1288
1086,809,132,436,698,686,1378
1067,830,132,416,718,681,1442
1065,832,132,416,655,723,1442
1064,833,132,391,672,682,1442
1058,829,142,388,674,679,1442
1058,829,142,388,660,693,1442
1058,786,185,388,660,680,1457
1058,695,276,388,660,679,1509
1058,619,352,388,660,679,1509
1071,619,352,388,660,600,1512
1078,619,352,254,794,499,1513
1078,619,352,223,825,460,1933
1067,630,352,59,926,523,1967
988,709,352,37,938,453,1972
915,689,406,65,898,482,1958
789,793,395,96,900,477,1923
757,825,394,97,840,534,1917
591,877,508,97,840,506,1823
591,816,569,78,859,371,1741
512,832,632,73,864,361,1793
512,832,632,73,863,297,1664
391,953,630,75,857,297,1588
380,964,630,75,805,329,1315
376,968,630,75,805,329,1310
362,965,647,75,805,329,1310
312,1015,647,75,805,329,1310
220,900,852,77,772,362,1310
169,950,853,77,765,369,1349
239,951,853,77,670,464,1310
333,951,853,77,557,577,1153
416,940,864,77,551,583,1069
310,1086,809,132,436,698,979
320,1067,830,132,416,718,915
377,1065,832,132,416,655,915
387,1064,833,132,391,672,915
452,1058,829,142,388,674,915
580,1058,829,142,388,660,915
637,1058,786,185,388,660,900
637,1058,695,276,388,660,848
637,1058,619,352,388,660,848
624,1071,619,352,388,660,845
617,1078,619,352,254,794,820
617,1078,619,352,223,825,400
622,1067,630,352,59,926,364
681,988,709,352,37,938,384
681,915,689,406,65,898,383
716,789,793,395,96,900,311
790,757,825,394,97,840,319
790,591,877,508,97,840,328
790,591,816,569,78,859,294
803,512,832,632,73,864,231
815,512,832,632,73,863,186
885,391,953,630,75,857,219
889,380,964,630,75,805,219
892,376,968,630,75,805,219
931,362,965,647,75,805,219
958,312,1015,647,75,805,219
963,220,900,852,77,772,219
963,169,950,853,77,765,181
1002,239,951,853,77,670,183
908,333,951,853,77,557,176
825,416,940,864,77,551,175
785,310,1086,809,132,436,175
788,320,1067,830,132,416,175
731,377,1065,832,132,416,176
721,387,1064,833,132,391,176
656,452,1058,829,142,388,176
528,580,1058,829,142,388,176
471,637,1058,786,185,388,191
471,637,1058,695,276,388,197
492,637,1058,619,352,388,201
553,624,1071,619,352,388,243
587,617,1078,619,352,254,243
631,617,1078,619,352,223,243
651,622,1067,630,352,59,299
622,681,988,709,352,37,406
681,681,915,689,406,65,456
648,716,789,793,395,96,649
576,790,757,825,394,97,689
576,790,591,877,508,97,750
603,790,591,816,569,78,886
609,803,512,832,632,73,916
597,815,512,832,632,73,887
530,885,391,953,630,75,926
526,889,380,964,630,75,989
529,892,376,968,630,75,995
491,931,362,965,647,75,1215
471,958,312,1015,647,75,1646
466,963,220,900,852,77,1738
466,963,169,950,853,77,1845
356,1002,239,951,853,77,1900
356,908,333,951,853,77,1975
357,825,416,940,864,77,1975
366,785,310,1086,809,132,1988
546,788,320,1067,830,132,1993
618,731,377,1065,832,132,2009
710,721,387,1064,833,132,2080
753,656,452,1058,829,142,2144
801,528,580,1058,829,142,2322
809,471,637,1058,786,185,2307
820,471,637,1058,695,276,2337
800,492,637,1058,619,352,2432
739,553,624,1071,619,352,2431
705,587,617,1078,619,352,2560
665,631,617,1078,619,352,2721
640,651,622,1067,630,352,2685
657,622,681,988,709,352,2553
614,681,681,915,689,406,2494
682,648,716,789,793,395,2301
711,576,790,757,825,394,2250
747,576,790,591,877,508,2230
720,603,790,591,816,569,2134
711,609,803,512,832,632,2158
712,597,815,512,832,632,2120
709,530,885,391,953,630,2038
709,526,889,380,964,630,1975
808,529,892,376,968,630,1969
807,491,931,362,965,647,1773
823,471,958,312,1015,647,1348
853,466,963,220,900,852,1256
1387,466,963,169,950,853,1152
1509,356,1002,239,951,853,1126
1525,356,908,333,951,853,1057
1816,357,825,416,940,864,1107
1921,366,785,310,1086,809,1153
1762,546,788,320,1067,830,1253
1930,618,731,377,1065,832,1253
2053,710,721,387,1064,833,1185
2024,753,656,452,1058,829,1129
1976,801,528,580,1058,829,951
1983,809,471,637,1058,786,958
2023,820,471,637,1058,695,994
2022,800,492,637,1058,619,994
2035,739,553,624,1071,619,968
2035,705,587,617,1078,619,839
2036,665,631,617,1078,619,695
2036,640,651,622,1067,630,674
2008,657,622,681,988,709,677
1997,614,681,681,915,689,681
1967,682,648,716,789,793,681
1992,711,576,790,757,825,681
1991,747,576,790,591,877,626
2022,720,603,790,591,816,586
2019,711,609,803,512,832,531
2226,712,597,815,512,832,531
2271,709,530,885,391,953,531
2320,709,526,889,380,964,531
2221,808,529,892,376,968,531
2298,807,491,931,362,965,507
2325,823,471,958,312,1015,501
2312,853,466,963,220,900,501
1778,1387,466,963,169,950,528
1715,1509,356,1002,239,951,513
1732,1525,356,908,333,951,532
1464,1816,357,825,416,940,482
1356,1921,366,785,310,1086,423
1320,1762,546,788,320,1067,320
1080,1930,618,731,377,1065,351
874,2053,710,721,387,1064,350
935,2024,753,656,452,1058,390
978,1976,801,528,580,1058,441
963,1983,809,471,637,1058,434
970,2023,820,471,637,1058,362
994,2022,800,492,637,1058,266
981,2035,739,553,624,1071,253
1003,2035,705,587,617,1078,283
998,2036,665,631,617,1078,266
998,2036,640,651,622,1067,266
979,2008,657,622,681,988,263
974,1997,614,681,681,915,269
934,1967,682,648,716,789,298
878,1992,711,576,790,757,298
888,1991,747,576,790,591,360
884,2022,720,603,790,591,366
1047,2019,711,609,803,512,383
952,2226,712,597,815,512,426
1012,2271,709,530,885,391,526
969,2320,709,526,889,380,526
967,2221,808,529,892,376,582
890,2298,807,491,931,362,594
840,2325,823,471,958,312,599
823,2312,853,466,963,220,620
854,1778,1387,466,963,169,638
806,1715,1509,356,1002,239,626
834,1732,1525,356,908,333,601
834,1464,1816,357,825,416,614
859,1356,1921,366,785,310,615
859,1320,1762,546,788,320,613
918,1080,1930,618,731,377,644
910,874,2053,710,721,387,743
835,935,2024,753,656,452,734
792,978,1976,801,528,580,683
792,963,1983,809,471,637,763
734,970,2023,820,471,637,785
711,994,2022,800,492,637,787
711,981,2035,739,553,624,788
689,1003,2035,705,587,617,786
689,998,2036,665,631,617,921
731,998,2036,640,651,622,931
731,979,2008,657,622,681,996
731,974,1997,614,681,681,992
731,934,1967,682,648,716,983
731,878,1992,711,576,790,983
724,888,1991,747,576,790,921
700,884,2022,720,603,790,914
609,1047,2019,711,609,803,897
683,952,2226,712,597,815,854
679,1012,2271,709,530,885,754
719,969,2320,709,526,889,754
716,967,2221,808,529,892,698
716,890,2298,807,491,931,686
716,840,2325,823,471,958,681
716,823,2312,853,466,963,723
745,854,1778,1387,466,963,682
772,806,1715,1509,356,1002,679
711,834,1732,1525,356,908,693
687,834,1464,1816,357,825,680
708,859,1356,1921,366,785,679
726,859,1320,1762,546,788,679
667,918,1080,1930,618,731,600
666,910,874,2053,710,721,499
666,835,935,2024,753,656,460
666,792,978,1976,801,528,523
666,792,963,1983,809,471,453
666,734,970,2023,820,471,482
665,711,994,2022,800,492,477
665,711,981,2035,739,553,534
665,689,1003,2035,705,587,506
665,689,998,2036,665,631,371
623,731,998,2036,640,651,361
623,731,979,2008,657,622,297
623,731,974,1997,614,681,297
623,731,934,1967,682,648,329
623,731,878,1992,711,576,329
653,724,888,1991,747,576,329
757,700,884,2022,720,603,329
806,609,1047,2019,711,609,362
621,683,952,2226,712,597,369
520,679,1012,2271,709,530,464
474,719,969,2320,709,526,577
473,716,967,2221,808,529,583
473,716,890,2298,807,491,698
473,716,840,2325,823,471,718
509,716,823,2312,853,466,655
449,745,854,1778,1387,466,672
421,772,806,1715,1509,356,674
438,711,834,1732,1525,356,660
470,687,834,1464,1816,357,660
448,708,859,1356,1921,366,660
449,726,859,1320,1762,546,660
472,667,918,1080,1930,618,660
512,666,910,874,2053,710,794
552,666,835,935,2024,753,825
599,666,792,978,1976,801,926
610,666,792,963,1983,809,938
610,666,734,970,2023,820,898
645,665,711,994,2022,800,900
645,665,711,981,2035,739,840
645,665,689,1003,2035,705,840
646,665,689,998,2036,665,859
646,623,731,998,2036,640,864
658,623,731,979,2008,657,863
689,623,731,974,1997,614,857
689,623,731,934,1967,682,805
705,623,731,878,1992,711,805
649,653,724,888,1991,747,805
577,757,700,884,2022,720,805
508,806,609,1047,2019,711,772
506,621,683,952,2226,712,765
506,520,679,1012,2271,709,670
533,474,719,969,2320,709,557
533,473,716,967,2221,808,551
533,473,716,890,2298,807,436
533,473,716,840,2325,823,416
497,509,716,823,2312,853,416
497,449,745,854,1778,1387,391
487,421,772,806,1715,1509,388
470,438,711,834,1732,1525,388
438,470,687,834,1464,1816,388
408,448,708,859,1356,1921,388
389,449,726,859,1320,1762,388
400,472,667,918,1080,1930,388
384,512,666,910,874,2053,254
359,552,666,835,935,2024,223
312,599,666,792,978,1976,59
301,610,666,792,963,1983,37
301,610,666,734,970,2023,65
266,645,665,711,994,2022,96
266,645,665,711,981,2035,97
266,645,665,689,1003,2035,97
272,646,665,689,998,2036,78
273,646,623,731,998,2036,73
261,658,623,731,979,2008,73
230,689,623,731,974,1997,75
268,689,623,731,934,1967,75
252,705,623,731,878,1992,75
252,649,653,724,888,1991,75
217,577,757,700,884,2022,75
158,508,806,609,1047,2019,77
158,506,621,683,952,2226,77
158,506,520,679,1012,2271,77
209,533,474,719,969,2320,77
209,533,473,716,967,2221,77
209,533,473,716,890,2298,132
209,533,473,716,840,2325,132
293,497,509,716,823,2312,132
350,497,449,745,854,1778,132
358,487,421,772,806,1715,142
358,470,438,711,834,1732,142
358,438,470,687,834,1464,185
358,408,448,708,859,1356,276
358,389,449,726,859,1320,352
324,400,472,667,918,1080,352
300,384,512,666,910,874,352
285,359,552,666,835,935,352
