Accum_y-0,T-1,T-2,T-3,T-4,T-5,Accum_y-1
989,826,352,530,1179,987,803
657,1158,352,530,1179,984,832
610,1221,338,544,1179,936,757
580,1252,333,549,1087,834,714
667,1270,333,440,1196,659,707
588,1373,333,434,1202,625,777
546,1403,406,429,1207,565,709
497,1452,409,420,912,840,704
389,1500,509,420,871,881,706
367,1412,615,425,847,810,735
411,1394,592,476,751,899,731
430,1362,624,447,771,907,698
430,1362,624,446,772,906,704
434,1306,680,446,767,903,712
448,1296,690,446,767,901,712
534,1296,690,446,767,901,668
654,1296,690,446,716,952,746
683,1296,680,456,659,1009,904
690,1296,680,379,710,1035,959
694,1150,826,360,729,1035,1014
748,1144,832,360,679,1028,1015
803,1106,856,374,668,963,1015
803,1106,855,375,590,974,1015
815,1088,873,375,256,1304,1015
815,1088,873,375,255,1268,1015
793,1090,893,318,312,1267,1015
792,1047,937,318,312,1267,1036
790,1040,946,318,312,1267,1036
722,1108,946,151,479,1267,1039
746,1111,716,380,489,1223,914
780,1108,707,352,530,1179,836
991,989,826,352,530,1179,738
994,657,1158,352,530,1179,709
978,610,1221,338,544,1179,697
1049,580,1252,333,549,1087,628
1086,667,1270,333,440,1196,622
1304,588,1373,333,434,1202,591
1243,546,1403,406,429,1207,601
1240,497,1452,409,420,912,707
1200,389,1500,509,420,871,706
1199,367,1412,615,425,847,704
1145,411,1394,592,476,751,801
1126,430,1362,624,447,771,914
1126,430,1362,624,446,772,930
1122,434,1306,680,446,767,1066
1108,448,1296,690,446,767,1066
1022,534,1296,690,446,767,1066
902,654,1296,690,446,716,988
873,683,1296,680,456,659,830
866,690,1296,680,379,710,775
884,694,1150,826,360,729,720
830,748,1144,832,360,679,732
775,803,1106,856,374,668,732
775,803,1106,855,375,590,777
763,815,1088,873,375,256,880
776,815,1088,873,375,255,999
835,793,1090,893,318,312,1016
835,792,1047,937,318,312,1042
914,790,1040,946,318,312,1206
1079,722,1108,946,151,479,1294
1071,746,1111,716,380,489,1328
1087,780,1108,707,352,530,1412
920,991,989,826,352,530,1412
917,994,657,1158,352,530,1429
917,978,610,1221,338,544,1499
846,1049,580,1252,333,549,1523
704,1086,667,1270,333,440,1519
463,1304,588,1373,333,434,1509
513,1243,546,1403,406,429,1499
715,1240,497,1452,409,420,1315
786,1200,389,1500,509,420,1308
812,1199,367,1412,615,425,1281
863,1145,411,1394,592,476,1146
892,1126,430,1362,624,447,1031
1008,1126,430,1362,624,446,1008
1018,1122,434,1306,680,446,870
1018,1108,448,1296,690,446,920
1022,1022,534,1296,690,446,955
1055,902,654,1296,690,446,992
1231,873,683,1296,680,456,992
1254,866,690,1296,680,379,1207
1232,884,694,1150,826,360,1211
1251,830,748,1144,832,360,1219
1251,775,803,1106,856,374,1224
1256,775,803,1106,855,375,1179
1327,763,815,1088,873,375,1076
1358,776,815,1088,873,375,976
1299,835,793,1090,893,318,972
1306,835,792,1047,937,318,954
1233,914,790,1040,946,318,831
1068,1079,722,1108,946,151,740
1040,1071,746,1111,716,380,706
989,1087,780,1108,707,352,621
945,920,991,989,826,352,621
977,917,994,657,1158,352,604
1094,917,978,610,1221,338,534
1112,846,1049,580,1252,333,510
1112,704,1086,667,1270,333,510
1158,463,1304,588,1373,333,475
1108,513,1243,546,1403,406,475
917,715,1240,497,1452,409,475
852,786,1200,389,1500,509,475
888,812,1199,367,1412,615,475
930,863,1145,411,1394,592,475
927,892,1126,430,1362,624,475
811,1008,1126,430,1362,624,475
801,1018,1122,434,1306,680,469
803,1018,1108,448,1296,690,419
857,1022,1022,534,1296,690,384
825,1055,902,654,1296,690,347
696,1231,873,683,1296,680,347
673,1254,866,690,1296,680,132
685,1232,884,694,1150,826,128
674,1251,830,748,1144,832,107
674,1251,775,803,1106,856,102
669,1256,775,803,1106,855,102
598,1327,763,815,1088,873,102
716,1358,776,815,1088,873,83
724,1299,835,793,1090,893,136
730,1306,835,792,1047,937,107
747,1233,914,790,1040,946,66
747,1068,1079,722,1108,946,66
747,1040,1071,746,1111,716,66
747,989,1087,780,1108,707,90
747,945,920,991,989,826,92
715,977,917,994,657,1158,92
598,1094,917,978,610,1221,198
579,1112,846,1049,580,1252,279
579,1112,704,1086,667,1270,370
532,1158,463,1304,588,1373,370
532,1108,513,1243,546,1403,398
521,917,715,1240,497,1452,413
515,852,786,1200,389,1500,433
453,888,812,1199,367,1412,444
360,930,863,1145,411,1394,479
392,927,892,1126,430,1362,638
418,811,1008,1126,430,1362,724
423,801,1018,1122,434,1306,724
437,803,1018,1108,448,1296,762
379,857,1022,1022,534,1296,902
378,825,1055,902,654,1296,903
331,696,1231,873,683,1296,903
331,673,1254,866,690,1296,903
326,685,1232,884,694,1150,903
321,674,1251,830,748,1144,951
330,674,1251,775,803,1106,1112
367,669,1256,775,803,1106,1159
386,598,1327,763,815,1088,1177
291,716,1358,776,815,1088,1183
354,724,1299,835,793,1090,1123
341,730,1306,835,792,1047,1195
318,747,1233,914,790,1040,1443
330,747,1068,1079,722,1108,1443
345,747,1040,1071,746,1111,1443
345,747,989,1087,780,1108,1419
567,747,945,920,991,989,1417
653,715,977,917,994,657,1417
658,598,1094,917,978,610,1311
658,579,1112,846,1049,580,1261
658,579,1112,704,1086,667,1204
658,532,1158,463,1304,588,1278
658,532,1108,513,1243,546,1250
746,521,917,715,1240,497,1235
746,515,852,786,1200,389,1220
824,453,888,812,1199,367,1237
841,360,930,863,1145,411,1290
836,392,927,892,1126,430,1175
810,418,811,1008,1126,430,1213
805,423,801,1018,1122,434,1267
846,437,803,1018,1108,448,1230
848,379,857,1022,1022,534,1122
848,378,825,1055,902,654,1173
876,331,696,1231,873,683,1266
876,331,673,1254,866,690,1383
869,326,685,1232,884,694,1425
1109,321,674,1251,830,748,1448
1100,330,674,1251,775,803,1409
1063,367,669,1256,775,803,1376
1044,386,598,1327,763,815,1399
977,291,716,1358,776,815,1401
906,354,724,1299,835,793,1398
906,341,730,1306,835,792,1374
1077,318,747,1233,914,790,1320
1153,330,747,1068,1079,722,1495
1138,345,747,1040,1071,746,1529
1138,345,747,989,1087,780,1589
916,567,747,945,920,991,1618
870,653,715,977,917,994,1618
895,658,598,1094,917,978,1713
895,658,579,1112,846,1049,1689
900,658,579,1112,704,1086,1656
967,658,532,1158,463,1304,1583
971,658,532,1108,513,1243,1591
883,746,521,917,715,1240,1593
883,746,515,852,786,1200,1588
805,824,453,888,812,1199,1560
808,841,360,930,863,1145,1472
765,836,392,927,892,1126,1428
766,810,418,811,1008,1126,1304
832,805,423,801,1018,1122,1307
820,846,437,803,1018,1108,1382
821,848,379,857,1022,1022,1417
821,848,378,825,1055,902,1369
793,876,331,696,1231,873,1313
793,876,331,673,1254,866,1197
793,869,326,685,1232,884,1155
622,1109,321,674,1251,830,1084
801,1100,330,674,1251,775,962
854,1063,367,669,1256,775,992
854,1044,386,598,1327,763,995
854,977,291,716,1358,776,987
854,906,354,724,1299,835,984
869,906,341,730,1306,835,936
704,1077,318,747,1233,914,834
690,1153,330,747,1068,1079,659
904,1138,345,747,1040,1071,625
904,1138,345,747,989,1087,565
904,916,567,747,945,920,840
864,870,653,715,977,917,881
879,895,658,598,1094,917,810
879,895,658,579,1112,846,899
874,900,658,579,1112,704,907
828,967,658,532,1158,463,906
877,971,658,532,1108,513,903
880,883,746,521,917,715,901
880,883,746,515,852,786,901
888,805,824,453,888,812,952
869,808,841,360,930,863,1009
865,765,836,392,927,892,1035
864,766,810,418,811,1008,1035
839,832,805,423,801,1018,1028
812,820,846,437,803,1018,963
809,821,848,379,857,1022,974
922,821,848,378,825,1055,1304
922,793,876,331,696,1231,1268
941,793,876,331,673,1254,1267
943,793,869,326,685,1232,1267
871,622,1109,321,674,1251,1267
692,801,1100,330,674,1251,1267
639,854,1063,367,669,1256,1223
639,854,1044,386,598,1327,1179
639,854,977,291,716,1358,1179
639,854,906,354,724,1299,1179
627,869,906,341,730,1306,1179
685,704,1077,318,747,1233,1087
687,690,1153,330,747,1068,1196
473,904,1138,345,747,1040,1202
