Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
441,457,695,456,1278,689,444,521,1048,582,946,1633
428,452,713,456,1278,689,431,522,1354,569,939,1622
433,399,766,456,1278,636,484,522,1398,558,948,1600
433,326,839,456,1278,533,587,522,1532,514,1147,1671
485,317,848,456,1271,525,568,538,1532,472,1391,1671
485,317,795,509,1252,506,606,576,1532,472,1343,1691
486,275,834,512,1252,506,548,577,1532,472,1240,1641
517,275,828,518,1252,506,548,660,1532,472,1221,1668
517,274,810,537,1229,454,623,683,1532,472,1222,1615
532,228,842,551,1229,406,671,703,1532,472,1104,1602
538,218,852,551,1229,382,695,901,1532,472,1070,1451
578,218,852,420,1233,499,705,1050,1527,472,1056,1158
578,216,854,414,1239,497,634,1017,1528,472,1020,1037
578,216,843,425,1167,567,614,985,1521,472,898,1006
578,216,811,456,1081,654,523,1026,1493,507,881,1001
522,272,789,478,1053,682,523,1079,1489,517,868,1001
515,356,715,552,1056,682,523,1118,1489,517,871,982
513,440,651,624,875,863,523,1127,1489,517,851,865
506,344,742,645,836,900,525,1179,1517,563,863,705
650,344,733,618,641,995,661,1086,1506,586,868,705
650,344,594,757,641,927,715,1073,1500,573,954,719
635,346,607,746,539,1010,724,1073,1372,572,1036,727
608,365,619,743,518,982,776,1050,1371,650,1124,719
562,402,629,724,537,982,775,1072,1332,701,1188,691
545,419,592,643,654,983,679,1080,1318,650,1172,510
545,419,592,638,620,1022,679,1102,1241,767,1200,341
545,395,616,598,562,1097,681,1026,1213,777,1205,260
530,411,499,715,539,1112,689,1016,1279,642,1197,199
528,411,481,713,549,1124,689,1017,1151,487,1182,284
530,411,440,753,453,1221,689,1017,1058,487,1182,293
525,433,438,753,427,1249,689,1049,1020,490,1181,286
500,441,457,695,456,1278,689,1091,782,491,1051,279
516,428,452,713,456,1278,689,1091,550,491,1036,295
513,433,399,766,456,1278,636,1091,564,491,1092,295
513,433,326,839,456,1278,533,1091,437,495,999,219
461,485,317,848,456,1271,525,1075,438,541,839,219
461,485,317,795,509,1252,506,1042,438,546,907,220
460,486,275,834,512,1252,506,1082,443,592,956,248
429,517,275,828,518,1252,506,1059,445,607,985,301
429,517,274,810,537,1229,454,1036,445,870,987,302
479,532,228,842,551,1229,406,1021,445,925,952,389
518,538,218,852,551,1229,382,817,445,980,952,389
593,578,218,852,420,1233,499,650,445,1012,1144,411
726,578,216,854,414,1239,497,549,443,1212,1147,433
745,578,216,843,425,1167,567,482,443,1216,1147,443
746,578,216,811,456,1081,654,440,434,1181,1147,511
746,522,272,789,478,1053,682,387,434,1171,1157,582
666,515,356,715,552,1056,682,348,434,1171,1154,584
605,513,440,651,624,875,863,339,434,1211,1141,700
609,506,344,742,645,836,900,279,406,1275,1128,710
526,650,344,733,618,641,995,273,361,1382,1123,710
558,650,344,594,757,641,927,273,342,1380,1051,696
558,635,346,607,746,539,1010,293,314,1419,980,688
555,608,365,619,743,518,982,293,312,1435,924,686
555,562,402,629,724,537,982,273,312,1402,859,726
555,545,419,592,643,654,983,292,312,1469,817,754
568,545,419,592,638,620,1022,271,286,1491,744,754
568,545,395,616,598,562,1097,271,267,1457,707,754
567,530,411,499,715,539,1112,314,198,1448,729,844
567,528,411,481,713,549,1124,313,324,1448,769,807
565,530,411,440,753,453,1221,313,366,1448,769,794
548,525,433,438,753,427,1249,281,367,1445,820,934
553,500,441,457,695,456,1278,230,364,1444,897,937
543,516,428,452,713,456,1278,235,262,1444,874,921
544,513,433,399,766,456,1278,241,329,1469,823,921
550,513,433,326,839,456,1278,266,322,1479,753,920
554,461,485,317,848,456,1271,266,321,1433,727,938
560,461,485,317,795,509,1252,263,321,1428,670,916
560,460,486,275,834,512,1252,228,316,1382,668,890
573,429,517,275,828,518,1252,168,317,1367,708,797
594,429,517,274,810,537,1229,255,317,1105,758,793
529,479,532,228,842,551,1229,251,317,1050,780,706
484,518,538,218,852,551,1229,251,317,1091,851,728
369,593,578,218,852,420,1233,251,317,1059,717,706
236,726,578,216,854,414,1239,251,317,859,723,684
217,745,578,216,843,425,1167,251,317,855,794,675
216,746,578,216,811,456,1081,251,317,1089,819,610
216,746,522,272,789,478,1053,290,317,1246,815,539
216,666,515,356,715,552,1056,362,317,1349,923,537
187,605,513,440,651,624,875,396,317,1368,1135,420
190,609,506,344,742,645,836,443,317,1260,1167,409
129,526,650,344,733,618,641,447,317,1130,1219,410
106,558,650,344,594,757,641,447,317,1130,1280,485
106,558,635,346,607,746,539,427,402,1080,1305,563
162,555,608,365,619,743,518,427,438,986,1272,572
184,555,562,402,629,724,537,425,438,960,1285,555
189,555,545,419,592,643,654,394,440,857,1404,527
227,568,545,419,592,638,620,393,440,718,1400,655
252,568,545,395,616,598,562,385,471,694,1400,719
252,567,530,411,499,715,539,329,469,693,1378,645
252,567,528,411,481,713,549,329,422,693,1338,598
252,565,530,411,440,753,453,415,409,693,1355,597
252,548,525,433,438,753,427,417,409,693,1322,493
263,553,500,441,457,695,456,453,409,693,1341,503
265,543,516,428,452,713,456,517,410,693,1375,525
318,544,513,433,399,766,456,526,282,668,1426,525
340,550,513,433,326,839,456,512,282,654,1424,525
342,554,461,485,317,848,456,529,282,654,1374,507
336,560,461,485,317,795,509,527,282,654,1441,506
336,560,460,486,275,834,512,523,285,654,1452,504
323,573,429,517,275,828,518,523,282,654,1384,565
302,594,429,517,274,810,537,436,282,653,1331,595
302,529,479,532,228,842,551,435,282,653,1309,651
302,484,518,538,218,852,551,435,282,585,1336,673
342,369,593,578,218,852,420,435,282,646,1330,710
383,236,726,578,216,854,414,435,282,706,1334,780
383,217,745,578,216,843,425,443,282,708,1263,781
406,216,746,578,216,811,456,472,282,530,1263,778
470,216,746,522,272,789,478,515,282,433,1267,781
476,216,666,515,356,715,552,446,282,330,1161,781
476,187,605,513,440,651,624,412,283,271,952,782
460,190,609,506,344,742,645,514,284,267,920,782
463,129,526,650,344,733,618,510,284,267,868,860
455,106,558,650,344,594,757,510,284,267,1064,785
564,106,558,635,346,607,746,510,202,267,1087,707
568,162,555,608,365,619,743,510,287,295,1117,698
545,184,555,562,402,629,724,542,299,328,1123,675
551,189,555,545,419,592,643,563,326,393,1057,675
500,227,568,545,419,592,638,569,370,405,1209,561
475,252,568,545,395,616,598,569,518,430,1209,497
475,252,567,530,411,499,715,571,525,465,1209,472
475,252,567,528,411,481,713,571,432,466,1288,468
545,252,565,530,411,440,753,523,403,498,1271,518
568,252,548,525,433,438,753,538,402,750,1253,482
559,263,553,500,441,457,695,503,402,809,1157,506
565,265,543,516,428,452,713,502,401,818,1123,542
607,318,544,513,433,399,766,694,401,818,1058,546
590,340,550,513,433,326,839,892,405,818,1021,551
584,342,554,461,485,317,848,877,413,818,1013,551
584,336,560,461,485,317,795,877,413,818,929,551
584,336,560,460,486,275,834,984,410,820,871,554
584,323,573,429,517,275,828,984,452,820,870,579
677,302,594,429,517,274,810,992,464,833,870,550
766,302,529,479,532,228,842,992,500,869,881,494
766,302,484,518,538,218,852,992,500,841,787,450
726,342,369,593,578,218,852,992,506,780,779,438
685,383,236,726,578,216,854,992,574,720,769,389
685,383,217,745,578,216,843,984,821,827,785,409
662,406,216,746,578,216,811,955,1091,771,760,473
723,470,216,746,522,272,789,873,1091,711,750,470
721,476,216,666,515,356,715,870,1121,711,748,591
722,476,187,605,513,440,651,870,1158,727,745,594
737,460,190,609,506,344,742,721,1157,739,745,594
734,463,129,526,650,344,733,721,1247,745,745,523
733,455,106,558,650,344,594,721,1247,756,474,557
624,564,106,558,635,346,607,721,1244,767,415,590
563,568,162,555,608,365,619,721,1123,739,385,591
563,545,184,555,562,402,629,689,1111,711,366,607
796,551,189,555,545,419,592,668,1179,646,312,624
796,500,227,568,545,419,592,675,1135,634,157,756
796,475,252,568,545,395,616,675,956,609,157,756
796,475,252,567,530,411,499,673,949,574,159,756
796,475,252,567,528,411,481,707,984,573,90,756
772,545,252,565,530,411,440,669,1005,559,117,769
749,568,252,548,525,433,438,710,1022,382,117,809
740,559,263,553,500,441,457,709,1046,334,117,997
758,565,265,543,516,428,452,640,1046,461,117,940
660,607,318,544,513,433,399,433,1046,461,208,936
649,590,340,550,513,433,326,224,1131,465,222,931
649,584,342,554,461,485,317,222,1123,488,222,938
649,584,336,560,461,485,317,295,1161,504,356,947
649,584,336,560,460,486,275,208,1161,517,364,944
649,584,323,573,429,517,275,299,1120,523,364,858
556,677,302,594,429,517,274,291,1108,510,364,857
468,766,302,529,479,532,228,291,1240,474,353,857
468,766,302,484,518,538,218,291,1240,476,666,857
468,726,342,369,593,578,218,291,1234,476,678,832
468,685,383,236,726,578,216,291,1230,476,748,811
468,685,383,217,745,578,216,305,983,367,733,789
468,662,406,216,746,578,216,326,713,367,733,725
343,723,470,216,746,522,272,326,713,367,733,725
339,721,476,216,666,515,356,327,683,367,733,607
338,722,476,187,605,513,440,423,645,351,733,603
323,737,460,190,609,506,344,423,645,339,733,609
323,734,463,129,526,650,344,444,555,333,733,610
325,733,455,106,558,650,344,444,555,322,733,618
326,624,564,106,558,635,346,444,555,311,757,585
326,563,568,162,555,608,365,444,555,311,791,584
376,563,545,184,555,562,402,444,555,330,791,568
334,796,551,189,555,545,419,444,458,330,791,551
392,796,500,227,568,545,419,431,484,330,793,405
456,796,475,252,568,545,395,484,523,340,793,486
505,796,475,252,567,530,411,587,549,408,791,717
505,796,475,252,567,528,411,568,537,492,781,717
493,772,545,252,565,530,411,606,611,474,754,896
507,749,568,252,548,525,433,548,594,415,772,883
759,740,559,263,553,500,441,548,570,406,929,667
772,758,565,265,543,516,428,623,570,270,937,887
848,660,607,318,544,513,433,671,570,270,846,920
848,649,590,340,550,513,433,695,481,274,832,1176
848,649,584,342,554,461,485,705,481,465,854,1208
848,649,584,336,560,461,485,634,443,449,721,1211
848,649,584,336,560,460,486,614,443,436,759,1219
848,649,584,323,573,429,517,523,442,524,1039,1328
848,556,677,302,594,429,517,523,442,538,1156,1364
847,468,766,302,529,479,532,523,274,541,1165,1402
847,468,766,302,484,518,538,523,281,539,848,1415
847,468,726,342,369,593,578,525,281,561,834,1415
957,468,685,383,236,726,578,661,217,561,820,1415
957,468,685,383,217,745,578,715,217,561,890,1415
1024,468,662,406,216,746,578,724,232,561,893,1415
1024,343,723,470,216,746,522,776,392,561,893,1415
1024,339,721,476,216,666,515,775,392,561,893,1412
1027,338,722,476,187,605,513,679,392,564,909,1562
1076,323,737,460,190,609,506,679,396,569,909,1588
1093,323,734,463,129,526,650,681,398,571,909,1596
1091,325,733,455,106,558,650,689,471,571,909,1758
1134,326,624,564,106,558,635,689,493,571,885,1816
1273,326,563,568,162,555,608,689,493,571,851,1837
1657,376,563,545,184,555,562,689,493,547,851,1971
1456,334,796,551,189,555,545,689,532,557,851,1971
1398,392,796,500,227,568,545,689,506,598,849,1971
1334,456,796,475,252,568,545,636,467,605,849,1934
1285,505,796,475,252,567,530,533,441,600,853,1703
1286,505,796,475,252,567,528,525,417,555,902,1703
1252,493,772,545,252,565,530,506,322,593,930,1461
1297,507,749,568,252,548,525,506,322,577,947,1434
1045,759,740,559,263,553,500,506,322,594,856,1425
1055,772,758,565,265,543,516,454,322,594,1001,1209
1007,848,660,607,318,544,513,406,322,596,1002,1205
1007,848,649,590,340,550,513,382,322,622,1003,949
1007,848,649,584,342,554,461,499,322,466,993,910
1019,848,649,584,336,560,461,497,322,469,992,898
1032,848,649,584,336,560,460,567,322,467,946,890
1135,848,649,584,323,573,429,654,322,373,666,781
1249,848,556,677,302,594,429,682,322,359,549,745
1249,847,468,766,302,529,479,682,322,356,540,707
1249,847,468,766,302,484,518,863,315,356,589,694
1249,847,468,726,342,369,593,900,494,334,551,694
1139,957,468,685,383,236,726,995,623,334,525,807
1160,957,468,685,383,217,745,927,623,363,458,967
