Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
198,821,804,519,1209,1189,605,473,730,107,520,475
190,645,982,535,1049,1349,605,473,747,66,517,475
275,628,935,468,1079,1453,605,473,747,66,382,475
276,688,931,417,1040,1547,605,473,747,66,327,545
267,697,910,351,1127,1547,605,473,747,90,302,568
228,736,901,357,1119,1558,605,475,747,92,317,559
486,739,816,441,1106,1538,639,475,715,92,317,565
507,700,692,604,1050,1549,684,475,598,198,317,607
507,700,689,607,1049,1473,761,476,579,279,427,590
533,725,652,644,974,1367,942,540,579,370,432,584
533,725,652,644,919,1388,771,683,532,370,432,584
632,725,652,641,886,1416,740,721,532,398,432,584
632,725,652,641,802,1408,806,776,521,413,557,584
626,731,652,628,798,1425,788,776,515,433,571,677
627,735,652,621,706,1467,845,935,453,444,548,766
627,735,651,622,692,1437,797,983,360,479,538,766
627,735,651,622,691,1438,671,983,392,638,876,726
693,735,651,601,709,1438,628,945,418,724,869,685
693,735,632,620,709,1437,629,743,423,724,908,685
693,735,625,627,709,1427,639,662,437,762,959,662
693,732,628,562,774,1424,642,662,379,902,1144,723
693,552,782,517,845,1262,802,703,378,903,1191,721
693,475,820,556,845,1107,955,703,331,903,1160,722
693,471,824,556,840,1112,955,703,331,903,1173,737
693,471,824,556,833,1119,955,703,326,903,1197,734
765,471,804,570,815,1143,955,703,321,951,1247,733
866,500,797,574,645,1316,955,709,330,1112,1385,624
871,373,790,708,634,1323,959,639,367,1159,1384,563
893,311,807,708,602,1214,1143,648,386,1177,1384,563
972,289,784,749,549,1217,1155,594,291,1183,1487,796
1100,228,816,778,549,1180,1187,594,354,1123,1512,796
1106,198,821,804,519,1209,1189,594,341,1195,1428,796
1096,190,645,982,535,1049,1349,594,318,1443,1468,796
1008,275,628,935,468,1079,1453,594,330,1443,1468,796
947,276,688,931,417,1040,1547,594,345,1443,1468,772
947,267,697,910,351,1127,1547,594,345,1419,1470,749
947,228,736,901,357,1119,1558,592,567,1417,1456,740
940,486,739,816,441,1106,1538,650,653,1417,1456,758
919,507,700,692,604,1050,1549,685,658,1311,1456,660
1062,507,700,689,607,1049,1473,684,658,1261,1346,649
1073,533,725,652,644,974,1367,661,658,1204,1341,649
1164,533,725,652,644,919,1388,711,658,1278,1341,649
1100,632,725,652,641,886,1416,757,658,1250,1341,649
1129,632,725,652,641,802,1408,702,746,1235,1213,649
1129,626,731,652,628,798,1425,702,746,1220,1191,556
1151,627,735,652,621,706,1467,543,824,1237,1288,468
1151,627,735,651,622,692,1437,879,841,1290,1338,468
1151,627,735,651,622,691,1438,879,836,1175,941,468
1151,693,735,651,601,709,1438,874,810,1213,941,468
1151,693,735,632,620,709,1437,874,805,1267,1017,468
1158,693,735,625,627,709,1427,869,846,1230,1114,468
1160,693,732,628,562,774,1424,882,848,1122,929,343
1160,693,552,782,517,845,1262,889,848,1173,898,339
1160,693,475,820,556,845,1107,889,876,1266,879,338
1160,693,471,824,556,840,1112,889,876,1383,866,323
1160,693,471,824,556,833,1119,889,869,1425,842,323
1088,765,471,804,570,815,1143,905,1109,1448,933,325
958,866,500,797,574,645,1316,893,1100,1409,803,326
953,871,373,790,708,634,1323,892,1063,1376,782,326
931,893,311,807,708,602,1214,881,1044,1399,782,376
852,972,289,784,749,549,1217,888,977,1401,681,334
724,1100,228,816,778,549,1180,888,906,1398,656,392
716,1106,198,821,804,519,1209,888,906,1374,642,456
716,1096,190,645,982,535,1049,888,1077,1320,591,505
716,1008,275,628,935,468,1079,888,1153,1495,591,505
716,947,276,688,931,417,1040,888,1138,1529,591,493
716,947,267,697,910,351,1127,888,1138,1589,608,507
716,947,228,736,901,357,1119,898,916,1618,624,759
462,940,486,739,816,441,1106,892,870,1618,625,772
462,919,507,700,692,604,1050,896,895,1713,629,848
319,1062,507,700,689,607,1049,933,895,1689,629,848
340,1073,533,725,652,644,974,888,900,1656,629,848
378,1164,533,725,652,644,919,694,967,1583,629,848
344,1100,632,725,652,641,886,655,971,1591,629,848
315,1129,632,725,652,641,802,750,883,1593,629,848
319,1129,626,731,652,628,798,750,883,1588,629,848
299,1151,627,735,652,621,706,750,805,1560,532,847
304,1151,627,735,651,622,692,366,808,1472,482,847
304,1151,627,735,651,622,691,471,765,1428,482,847
238,1151,693,735,651,601,709,490,766,1304,482,957
238,1151,693,735,632,620,709,508,832,1307,367,957
231,1158,693,735,625,627,709,511,820,1382,219,1024
267,1160,693,732,628,562,774,498,821,1417,219,1024
272,1160,693,552,782,517,845,508,821,1369,223,1024
276,1160,693,475,820,556,845,705,793,1313,223,1027
276,1160,693,471,824,556,840,727,793,1197,223,1076
276,1160,693,471,824,556,833,727,793,1155,223,1093
317,1088,765,471,804,570,815,711,622,1084,82,1091
317,958,866,500,797,574,645,749,801,962,88,1134
447,953,871,373,790,708,634,749,854,992,124,1273
468,931,893,311,807,708,602,754,854,995,124,1657
468,852,972,289,784,749,549,747,854,987,122,1456
471,724,1100,228,816,778,549,747,854,984,122,1398
471,716,1106,198,821,804,519,747,869,936,134,1334
494,716,1096,190,645,982,535,786,704,834,188,1285
494,716,1008,275,628,935,468,786,690,659,222,1286
536,716,947,276,688,931,417,786,904,625,501,1252
597,716,947,267,697,910,351,786,904,565,482,1297
597,716,947,228,736,901,357,776,904,840,465,1045
597,462,940,486,739,816,441,743,864,881,465,1055
605,462,919,507,700,692,604,704,879,810,461,1007
605,319,1062,507,700,689,607,663,879,899,475,1007
522,340,1073,533,725,652,644,832,874,907,531,1007
433,378,1164,533,725,652,644,855,828,906,612,1019
777,344,1100,632,725,652,641,810,877,903,617,1032
777,315,1129,632,725,652,641,935,880,901,713,1135
885,319,1129,626,731,652,628,935,880,901,831,1249
1024,299,1151,627,735,652,621,935,888,952,832,1249
1110,304,1151,627,735,651,622,935,869,1009,834,1249
1225,304,1151,627,735,651,622,830,865,1035,1012,1249
1237,238,1151,693,735,651,601,811,864,1035,1021,1139
1237,238,1151,693,735,632,620,793,839,1028,1044,1160
1237,231,1158,693,735,625,627,790,812,963,1062,1093
1199,267,1160,693,732,628,562,793,809,974,1132,1093
1196,272,1160,693,552,782,517,735,922,1304,1113,1093
1302,276,1160,693,475,820,556,538,922,1268,1113,1092
1326,276,1160,693,471,824,556,516,941,1267,1363,1044
1326,276,1160,693,471,824,556,533,943,1267,1469,1087
1474,317,1088,765,471,804,570,533,871,1267,1553,1087
1829,317,958,866,500,797,574,495,692,1267,1539,1043
1722,447,953,871,373,790,708,495,639,1223,1666,904
1777,468,931,893,311,807,708,490,639,1179,1748,470
1787,468,852,972,289,784,749,490,639,1179,1748,469
1784,471,724,1100,228,816,778,490,639,1179,1748,469
1784,471,716,1106,198,821,804,591,627,1179,1736,469
1761,494,716,1096,190,645,982,552,685,1087,1682,469
1761,494,716,1008,275,628,935,626,687,1196,1670,468
1719,536,716,947,276,688,931,816,473,1202,1391,468
1658,597,716,947,267,697,910,819,683,1207,1391,409
1696,597,716,947,228,736,901,819,741,912,1391,409
1877,597,462,940,486,739,816,800,758,871,1390,354
1921,605,462,919,507,700,692,800,713,847,1390,326
1922,605,319,1062,507,700,689,800,713,751,1376,327
1922,522,340,1073,533,725,652,631,713,771,1320,658
1882,433,378,1164,533,725,652,608,707,772,1239,759
1565,777,344,1100,632,725,652,608,1057,767,1234,776
1565,777,315,1129,632,725,652,389,1283,767,1138,673
1453,885,319,1129,626,731,652,482,1283,767,1020,560
1379,1024,299,1151,627,735,652,482,1275,716,1022,610
1376,1110,304,1151,627,735,651,482,1274,659,1020,652
1261,1225,304,1151,627,735,651,482,1268,710,867,652
1249,1237,238,1151,693,735,651,482,1268,729,878,652
1249,1237,238,1151,693,735,632,482,1227,679,860,631
1249,1237,231,1158,693,735,625,576,1209,668,842,631
1249,1199,267,1160,693,732,628,573,1209,590,772,631
1247,1196,272,1160,693,552,782,573,1096,256,771,631
1206,1302,276,1160,693,475,820,573,1100,255,771,629
1386,1326,276,1160,693,471,824,573,1081,312,527,628
1387,1326,276,1160,693,471,824,556,1079,312,434,575
1212,1474,317,1088,765,471,804,556,1079,312,358,575
858,1829,317,958,866,500,797,556,1079,479,358,586
839,1722,447,953,871,373,790,556,1079,489,184,596
