Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6
704,593,438,613,470,1657,376,563,433,521,875,598,870,1632
721,499,493,652,469,1456,334,796,441,521,1048,582,946,1633
595,607,338,825,469,1398,392,796,428,522,1354,569,939,1622
502,619,402,842,469,1334,456,796,433,522,1398,558,948,1600
386,666,471,842,469,1285,505,796,433,522,1532,514,1147,1671
336,671,522,842,468,1286,505,796,485,538,1532,472,1391,1671
314,668,547,842,468,1252,493,772,485,576,1532,472,1343,1691
314,668,547,842,409,1297,507,749,486,577,1532,472,1240,1641
278,699,552,842,409,1045,759,740,517,660,1532,472,1221,1668
278,699,552,842,354,1055,772,758,517,683,1532,472,1222,1615
278,689,561,843,326,1007,848,660,532,703,1532,472,1104,1602
319,689,561,842,327,1007,848,649,538,901,1532,472,1070,1451
319,687,563,511,658,1007,848,649,578,1050,1527,472,1056,1158
319,677,573,398,759,1019,848,649,578,1017,1528,472,1020,1037
319,677,573,368,776,1032,848,649,578,985,1521,472,898,1006
307,689,573,368,673,1135,848,649,578,1026,1493,507,881,1001
247,680,647,367,560,1249,848,556,522,1079,1489,517,868,1001
374,667,665,317,610,1249,847,468,515,1118,1489,517,871,982
374,660,680,275,652,1249,847,468,513,1127,1489,517,851,865
354,680,675,280,652,1249,847,468,506,1179,1517,563,863,705
380,680,632,323,652,1139,957,468,650,1086,1506,586,868,705
387,680,572,383,631,1160,957,468,650,1073,1500,573,954,719
387,672,539,424,631,1093,1024,468,635,1073,1372,572,1036,727
387,672,486,477,631,1093,1024,343,608,1050,1371,650,1124,719
387,672,482,481,631,1093,1024,339,562,1072,1332,701,1188,691
391,634,520,481,629,1092,1027,338,545,1080,1318,650,1172,510
384,642,518,483,628,1044,1076,323,545,1102,1241,767,1200,341
357,645,542,476,575,1087,1093,323,545,1026,1213,777,1205,260
346,629,569,476,575,1087,1091,325,530,1016,1279,642,1197,199
