Average Fitness 	  Best Individual
NaN	 0.758042041328875
NaN	 0.7356289670829163
NaN	 0.7350981313744682
7.456422621218314E45	 0.7097136222242288
5229.270185549876	 0.7092646530943627
NaN	 0.6431397364361865
7122.039635700433	 0.6431397364361865
3016.3312572992836	 0.6431397364361865
1841.199064760486	 0.6431397364361865
10851.450433436672	 0.6431397364361865
12240.864231030126	 0.6431397364361865
8722.284133415971	 0.6431397364361865
1981.3307139324033	 0.6431397364361865
4481.616034775032	 0.6411598242690969
977.9039185958521	 0.6379088493188649
1190.3922572279964	 0.6379088493188649
29.507959971112115	 0.6379088493188649
40.92429354291057	 0.6370123223878635
45.38780407823432	 0.6357862683997125
44.97910267114966	 0.6283552058956094
70.42781168726808	 0.6283552058956094
48.077686909421814	 0.6283552058956094
45.679769081443204	 0.6283552058956094
40.768068863242775	 0.6275212313804104
36.31152746713437	 0.6267236007073513
30.939643484946014	 0.6261460240075422
45.67411889194755	 0.6261460240075422
33.38763331610932	 0.6261460240075422
54.2049817596122	 0.626146024007542
37.405470953106516	 0.626146024007542
1030.8332736955886	 0.626146024007542
1056.0455273420628	 0.626146024007542
46.98667100545819	 0.626146024007542
46.6620609690642	 0.6254028880565827
40.905370304635376	 0.6254028880565827
33.62642689922637	 0.6254028880565827
60.453395595629495	 0.6254028880565827
44.686605781064465	 0.6254028880565827
44.20483398634471	 0.6254028880565827
44.008233988285674	 0.6254028880565827
40.876245539904204	 0.6254028880565827
45.44854170389266	 0.6254028880565827
48.966177653618864	 0.6254028880565827
33.56803018091663	 0.6160083741553218
35.77496597645833	 0.6160083741553218
36.25231036522252	 0.6160083741553218
41.22867629815131	 0.6160083741553218
53.303517070552644	 0.6160083741553218
73.59660119419675	 0.6160083741553218
32.284839463708934	 0.6160083741553218
