Accum_y-0,T-1,T-2,T-3,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4
647,1016,774,493,575,1184,1363,947
437,1226,760,369,575,1431,1363,947
363,1238,822,311,575,1586,1363,947
232,1330,855,161,595,1732,1363,339
233,1330,855,148,620,1900,1363,284
276,1331,855,110,620,1910,1363,318
283,1381,758,207,620,1955,1363,318
292,1381,751,214,629,2013,1363,318
319,1363,769,212,656,2096,1363,265
465,1362,770,212,720,2086,1363,266
756,1291,861,212,720,2177,1363,266
941,1187,989,216,720,2124,1293,246
1001,1168,1016,201,720,2111,1150,246
1011,1164,1020,201,720,2111,993,254
1011,1164,1020,201,720,2101,863,251
1006,1081,1049,218,699,2101,786,251
1010,1014,1116,206,611,2101,639,256
1052,995,1135,206,501,2101,612,259
1038,990,1166,206,378,2116,594,172
1022,989,1183,205,339,2103,307,164
985,1025,1158,235,224,2068,297,239
996,1024,1138,288,194,2068,174,239
1000,989,1174,289,172,2068,264,219
1061,989,1123,332,172,2068,419,209
1068,989,972,483,172,2008,647,209
1076,878,968,598,171,1840,657,209
1085,852,971,621,162,1747,670,206
1096,839,948,657,162,1737,715,206
1126,800,876,768,162,1462,715,206
1126,663,1000,774,162,1349,715,206
1126,660,1003,774,162,1331,715,206
1126,647,1016,774,162,1248,715,206
1126,437,1226,760,162,993,800,206
1126,363,1238,822,163,838,855,206
1126,232,1330,855,178,692,855,201
1125,233,1330,855,172,524,855,166
1087,276,1331,855,172,527,855,129
1031,283,1381,758,172,482,858,129
1022,292,1381,751,163,429,858,129
995,319,1363,769,187,359,858,129
849,465,1362,770,137,201,971,126
538,756,1291,861,223,142,1018,126
325,941,1187,989,242,142,1101,109
257,1001,1168,1016,314,142,1148,132
247,1011,1164,1020,314,150,1248,136
247,1011,1164,1020,373,175,1453,144
244,1006,1081,1049,397,175,1453,186
256,1010,1014,1116,406,175,1460,181
214,1052,995,1135,406,175,1460,255
223,1038,990,1166,396,160,1460,288
236,1022,989,1183,389,160,1457,298
274,985,1025,1158,389,147,1457,223
240,996,1024,1138,389,124,1457,223
240,1000,989,1174,389,124,1252,241
179,1061,989,1123,389,124,1087,251
172,1068,989,972,389,124,867,391
174,1076,878,968,389,124,1080,439
189,1085,852,971,389,124,1354,472
178,1096,839,948,389,164,1427,492
148,1126,800,876,389,164,1452,577
148,1126,663,1000,407,284,1485,769
148,1126,660,1003,407,284,1485,831
148,1126,647,1016,407,284,1485,831
148,1126,437,1226,413,284,1400,831
149,1126,363,1238,417,287,1345,831
149,1126,232,1330,382,287,1345,841
149,1125,233,1330,363,282,1345,978
143,1087,276,1331,363,269,1345,978
142,1031,283,1381,378,279,1342,978
142,1022,292,1381,383,274,1342,978
142,995,319,1363,430,261,1342,981
142,849,465,1362,527,246,1239,989
142,538,756,1291,445,211,1192,989
142,325,941,1187,522,211,1109,1046
142,257,1001,1168,450,211,1057,1266
152,247,1011,1164,450,206,949,1269
152,247,1011,1164,391,181,719,1261
152,244,1006,1081,367,456,719,1219
136,256,1010,1014,360,475,734,1219
147,214,1052,995,361,720,734,1160
161,223,1038,990,455,753,772,1160
