Accum_y-0,T-1,T-2,T-3,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4
946,1503,952,1092,1633,512,1049,509
939,1409,1081,1102,1622,543,1091,488
948,1355,1073,1062,1600,590,1168,457
1147,1303,1128,947,1671,633,1240,410
1391,1297,1134,946,1671,611,1339,403
1343,1228,1205,993,1691,611,1360,403
1240,1244,1292,993,1641,628,1391,403
1221,1164,1391,805,1668,665,1391,403
1222,1110,1271,979,1615,680,1382,403
1104,1242,1161,1110,1602,675,1315,403
1070,1276,1055,1216,1451,635,1184,403
1056,1290,1050,1221,1158,589,1135,403
1020,1181,1195,1221,1037,582,1141,350
898,1251,1247,1211,1006,588,1142,350
881,1263,1252,1211,1001,592,1169,350
868,1249,1231,1259,1001,590,1242,350
871,1247,1226,1263,982,607,1123,295
851,1271,1235,1079,865,582,1160,315
863,1272,1142,1160,705,490,1229,389
868,1240,1159,1174,705,487,1139,321
954,1227,1172,1147,719,487,1021,319
1036,1157,1242,1108,727,486,1021,346
1124,1046,1354,1108,719,486,1019,244
1188,903,1467,1137,691,486,962,248
1172,962,1467,1137,510,530,867,248
1200,918,1550,1147,341,526,823,250
1205,884,1616,1147,260,473,815,253
1197,854,1650,1133,199,536,814,253
1182,869,1643,1138,284,536,785,247
1182,869,1642,941,293,536,785,211
1181,870,1483,1098,286,536,772,209
1051,946,1503,952,279,536,763,209
1036,939,1409,1081,295,505,622,209
1092,948,1355,1073,295,458,540,179
999,1147,1303,1128,219,438,468,185
839,1391,1297,1134,219,468,369,228
907,1343,1228,1205,220,519,348,228
956,1240,1244,1292,248,549,320,228
985,1221,1164,1391,301,514,320,228
987,1222,1110,1271,302,466,320,228
952,1104,1242,1161,389,466,320,246
952,1070,1276,1055,389,467,320,259
1144,1056,1290,1050,411,462,320,380
1147,1020,1181,1195,433,456,313,538
1147,898,1251,1247,443,437,308,627
1147,881,1263,1252,511,434,281,636
1157,868,1249,1231,582,439,208,636
1154,871,1247,1226,584,426,204,643
1141,851,1271,1235,700,457,114,790
1128,863,1272,1142,710,511,18,709
1123,868,1240,1159,710,581,11,717
1051,954,1227,1172,696,640,20,731
980,1036,1157,1242,688,720,44,692
924,1124,1046,1354,686,733,44,703
859,1188,903,1467,726,743,40,847
817,1172,962,1467,754,696,38,1129
744,1200,918,1550,754,611,38,1244
707,1205,884,1616,754,565,38,1244
729,1197,854,1650,844,494,59,1244
769,1182,869,1643,807,546,60,1245
769,1182,869,1642,794,604,61,1245
820,1181,870,1483,934,683,80,1299
897,1051,946,1503,937,744,281,1321
874,1036,939,1409,921,761,322,1334
823,1092,948,1355,921,761,364,1334
753,999,1147,1303,920,745,496,1328
727,839,1391,1297,938,744,625,1268
670,907,1343,1228,916,707,625,1268
668,956,1240,1244,890,694,620,1268
708,985,1221,1164,797,692,625,1268
758,987,1222,1110,793,691,626,1268
780,952,1104,1242,706,691,628,1250
851,952,1070,1276,728,690,629,1253
717,1144,1056,1290,706,690,631,1133
723,1147,1020,1181,684,690,631,975
794,1147,898,1251,675,690,631,886
819,1147,881,1263,610,710,631,882
815,1157,868,1249,539,710,631,925
923,1154,871,1247,537,708,632,926
1135,1141,851,1271,420,705,635,753
1167,1128,863,1272,409,692,635,748
1219,1123,868,1240,410,648,655,759
1280,1051,954,1227,485,589,646,745
1305,980,1036,1157,563,525,622,757
1272,924,1124,1046,572,539,627,744
1285,859,1188,903,555,543,629,596
1404,817,1172,962,527,636,629,347
1400,744,1200,918,655,636,629,232
1400,707,1205,884,719,636,629,229
1378,729,1197,854,645,636,608,229
1338,769,1182,869,598,584,607,228
1355,769,1182,869,597,533,650,228
1322,820,1181,870,493,473,895,177
1341,897,1051,946,503,413,809,158
1375,874,1036,939,525,396,800,155
1426,823,1092,948,525,402,892,174
1424,753,999,1147,525,462,856,174
1374,727,839,1391,507,433,729,174
1441,670,907,1343,506,419,782,174
1452,668,956,1240,504,381,813,174
1384,708,985,1221,565,395,813,174
1331,758,987,1222,595,511,815,174
1309,780,952,1104,651,555,813,174
1336,851,952,1070,673,774,815,159
1330,717,1144,1056,710,787,926,158
1334,723,1147,1020,780,787,927,158
1263,794,1147,898,781,787,975,158
1263,819,1147,881,778,767,1042,153
1267,815,1157,868,781,762,1042,110
1161,923,1154,871,781,784,1119,102
952,1135,1141,851,782,789,1123,102
920,1167,1128,863,782,773,1123,102
868,1219,1123,868,860,773,1103,83
1064,1280,1051,954,785,773,1105,83
1087,1305,980,1036,707,757,1114,98
1117,1272,924,1124,698,731,1245,195
1123,1285,859,1188,675,712,1385,242
1057,1404,817,1172,675,619,1423,220
1209,1400,744,1200,561,619,1423,229
1209,1400,707,1205,497,619,1423,229
1209,1378,729,1197,472,685,1450,229
1288,1338,769,1182,468,685,1519,229
1271,1355,769,1182,518,678,1475,229
1253,1322,820,1181,482,661,1211,227
1157,1341,897,1051,506,663,1097,427
1123,1375,874,1036,542,668,1069,517
1058,1426,823,1092,546,693,937,516
1021,1424,753,999,551,626,841,517
1013,1374,727,839,551,626,839,587
929,1441,670,907,551,675,786,617
871,1452,668,956,554,681,755,638
870,1384,708,985,579,673,750,653
870,1331,758,987,550,595,747,653
881,1309,780,952,494,551,747,653
787,1336,851,952,450,332,744,678
779,1330,717,1144,438,319,631,710
769,1334,723,1147,389,327,630,710
785,1263,794,1147,409,368,582,849
760,1263,819,1147,473,369,515,851
750,1267,815,1157,470,367,515,927
748,1161,923,1154,591,343,437,1054
745,952,1135,1141,594,311,430,1054
745,920,1167,1128,594,286,430,1054
745,868,1219,1123,523,260,430,1054
474,1064,1280,1051,557,260,448,1054
415,1087,1305,980,590,260,454,1027
385,1117,1272,924,591,259,369,930
366,1123,1285,859,607,293,460,883
312,1057,1404,817,624,293,430,872
157,1209,1400,744,756,316,431,861
157,1209,1400,707,756,316,553,861
159,1209,1378,729,756,250,526,861
90,1288,1338,769,756,285,513,861
117,1271,1355,769,769,396,513,861
117,1253,1322,820,809,443,513,860
117,1157,1341,897,997,487,512,657
117,1123,1375,874,940,488,512,557
208,1058,1426,823,936,517,620,731
222,1021,1424,753,931,540,620,866
222,1013,1374,727,938,540,628,796
356,929,1441,670,947,491,628,766
364,871,1452,668,944,485,644,885
364,870,1384,708,858,492,676,870
364,870,1331,758,857,822,680,1077
353,881,1309,780,857,822,732,1116
666,787,1336,851,857,822,756,1090
678,779,1330,717,832,822,771,1092
748,769,1334,723,811,814,775,1310
733,785,1263,794,789,773,776,1171
733,760,1263,819,725,770,776,1178
733,750,1267,815,725,779,776,1144
733,748,1161,923,607,813,776,1098
733,745,952,1135,603,812,776,1180
733,745,920,1167,609,812,776,1410
733,745,868,1219,610,812,776,1516
733,474,1064,1280,618,812,764,1606
757,415,1087,1305,585,930,749,1747
791,385,1117,1272,584,1024,716,1843
791,366,1123,1285,568,991,485,1843
791,312,1057,1404,551,1016,477,1871
793,157,1209,1400,405,1053,514,1911
793,157,1209,1400,486,1053,410,1921
791,159,1209,1378,717,1053,410,1989
781,90,1288,1338,717,1018,354,2059
754,117,1271,1355,896,907,354,2314
772,117,1253,1322,883,858,354,2317
929,117,1157,1341,667,1022,354,2322
937,117,1123,1375,887,1062,410,2331
846,208,1058,1426,920,1003,301,2139
832,222,1021,1424,1176,980,314,2003
854,222,1013,1374,1208,980,339,2003
721,356,929,1441,1211,980,356,2003
759,364,871,1452,1219,1190,360,1868
1039,364,870,1384,1328,1177,424,1868
1156,364,870,1331,1364,809,421,1766
1165,353,881,1309,1402,824,391,1727
848,666,787,1336,1415,824,454,1727
834,678,779,1330,1415,824,543,1821
820,748,769,1334,1415,824,540,1628
890,733,785,1263,1415,824,539,1679
893,733,760,1263,1415,824,539,1701
893,733,750,1267,1415,826,539,1659
893,733,748,1161,1412,792,539,1578
909,733,745,952,1562,792,552,1496
909,733,745,920,1588,792,552,1283
909,733,745,868,1596,792,552,1189
909,733,474,1064,1758,792,544,1099
885,757,415,1087,1816,674,544,959
851,791,385,1117,1837,580,526,863
851,791,366,1123,1971,579,587,863
851,791,312,1057,1971,554,587,848
849,793,157,1209,1971,494,549,866
849,793,157,1209,1934,494,560,866
853,791,159,1209,1703,494,603,870
902,781,90,1288,1703,510,604,801
930,754,117,1271,1461,523,605,546
947,772,117,1253,1434,561,605,543
856,929,117,1157,1425,354,605,538
1001,937,117,1123,1209,323,545,529
1002,846,208,1058,1205,332,544,529
1003,832,222,1021,949,392,531,529
993,854,222,1013,910,400,498,529
992,721,356,929,898,400,481,529
946,759,364,871,890,190,461,524
666,1039,364,870,781,190,365,524
549,1156,364,870,745,265,364,419
540,1165,353,881,707,254,342,419
589,848,666,787,694,326,255,419
551,834,678,779,694,326,151,292
525,820,748,769,807,384,150,288
458,890,733,785,967,384,150,237
455,893,733,760,1123,384,150,206
455,893,733,750,1123,373,228,206
455,893,733,748,1123,373,258,206
439,909,733,745,973,373,246,207
