Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,Accum_y-1,Accum_y-2
521,678,517,250,506,493,555,1111,299,438,875,598
521,501,703,244,473,532,458,1179,326,440,1048,582
522,492,671,285,473,506,484,1135,370,440,1354,569
522,432,647,369,473,467,523,956,518,471,1398,558
522,409,640,399,473,441,549,949,525,469,1532,514
538,409,640,399,473,417,537,984,432,422,1532,472
576,409,629,410,473,322,611,1005,403,409,1532,472
577,409,558,481,473,322,594,1022,402,409,1532,472
660,409,403,627,482,322,570,1046,402,409,1532,472
683,409,366,517,629,322,570,1046,401,410,1532,472
703,409,366,517,629,322,570,1046,401,282,1532,472
901,415,365,518,629,322,481,1131,405,282,1532,472
1050,433,363,491,658,322,481,1123,413,282,1527,472
1017,549,381,491,658,322,443,1161,413,282,1528,472
985,648,381,491,658,322,443,1161,410,285,1521,472
1026,612,418,491,658,322,442,1120,452,282,1493,507
1079,612,418,491,658,322,442,1108,464,282,1489,517
1118,534,496,491,658,322,274,1240,500,282,1489,517
1127,475,555,491,658,315,281,1240,500,282,1489,517
1179,477,561,491,479,494,281,1234,506,282,1517,563
1086,574,563,491,350,623,217,1230,574,282,1506,586
1073,587,563,491,350,623,217,983,821,282,1500,573
1073,587,563,491,350,608,232,713,1091,282,1372,572
1050,608,565,491,350,448,392,713,1091,282,1371,650
1072,581,592,459,382,448,392,683,1121,282,1332,701
1080,585,592,453,388,448,392,645,1158,283,1318,650
1102,553,624,453,388,444,396,645,1157,284,1241,767
1026,588,673,453,388,442,398,555,1247,284,1213,777
1016,567,717,453,388,369,471,555,1247,284,1279,642
1017,567,695,473,390,347,493,555,1244,202,1151,487
1017,565,680,471,400,356,493,555,1123,287,1058,487
1049,521,678,517,250,506,493,555,1111,299,1020,490
1091,521,501,703,244,473,532,458,1179,326,782,491
1091,522,492,671,285,473,506,484,1135,370,550,491
1091,522,432,647,369,473,467,523,956,518,564,491
1091,522,409,640,399,473,441,549,949,525,437,495
1075,538,409,640,399,473,417,537,984,432,438,541
1042,576,409,629,410,473,322,611,1005,403,438,546
1082,577,409,558,481,473,322,594,1022,402,443,592
1059,660,409,403,627,482,322,570,1046,402,445,607
1036,683,409,366,517,629,322,570,1046,401,445,870
1021,703,409,366,517,629,322,570,1046,401,445,925
817,901,415,365,518,629,322,481,1131,405,445,980
650,1050,433,363,491,658,322,481,1123,413,445,1012
549,1017,549,381,491,658,322,443,1161,413,443,1212
482,985,648,381,491,658,322,443,1161,410,443,1216
440,1026,612,418,491,658,322,442,1120,452,434,1181
387,1079,612,418,491,658,322,442,1108,464,434,1171
348,1118,534,496,491,658,322,274,1240,500,434,1171
339,1127,475,555,491,658,315,281,1240,500,434,1211
