Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,Accum_y-1,Accum_y-2
102,1179,777,1015,892,776,784,772,1132,219,682,568
102,1076,880,1015,633,885,934,771,1113,223,635,545
83,976,999,1015,606,851,995,771,1113,223,598,551
136,972,1016,1015,529,927,990,527,1363,223,528,500
107,954,1042,1036,527,929,977,434,1469,223,520,475
66,831,1206,1036,527,929,969,358,1553,82,517,475
66,740,1294,1039,502,947,976,358,1539,88,382,475
66,706,1328,914,627,946,977,184,1666,124,327,545
90,621,1412,836,705,947,961,118,1748,124,302,568
92,621,1412,738,803,924,928,174,1748,122,317,559
92,604,1429,709,832,906,927,193,1748,122,317,565
198,534,1499,697,757,993,739,381,1736,134,317,607
279,510,1523,628,714,1105,490,630,1682,188,427,590
370,510,1519,622,707,1122,489,609,1670,222,432,584
370,475,1509,591,777,1128,485,613,1391,501,432,584
398,475,1499,601,709,1196,421,677,1391,482,432,584
413,475,1315,707,704,1279,416,682,1391,465,557,584
433,475,1308,706,706,1278,423,682,1390,465,571,677
444,475,1281,704,735,1278,422,683,1390,461,548,766
479,475,1146,801,731,1320,422,683,1376,475,538,766
638,475,1031,914,698,1292,485,683,1320,531,876,726
724,475,1008,930,704,1293,485,683,1239,612,869,685
724,469,870,1066,712,1213,565,683,1234,617,908,685
762,419,920,1066,712,1198,580,683,1138,713,959,662
902,384,955,1066,668,1242,580,683,1020,831,1144,723
903,347,992,988,746,1194,628,680,1022,832,1191,721
903,347,992,830,904,1186,636,680,1020,834,1160,722
903,132,1207,775,959,1127,695,655,867,1012,1173,737
903,128,1211,720,1014,1045,697,715,878,1021,1197,734
951,107,1219,732,1015,947,758,747,860,1044,1247,733
1112,102,1224,732,1015,918,782,752,842,1062,1385,624
1159,102,1179,777,1015,892,776,784,772,1132,1384,563
1177,102,1076,880,1015,633,885,934,771,1113,1384,563
1183,83,976,999,1015,606,851,995,771,1113,1487,796
1123,136,972,1016,1015,529,927,990,527,1363,1512,796
1195,107,954,1042,1036,527,929,977,434,1469,1428,796
1443,66,831,1206,1036,527,929,969,358,1553,1468,796
1443,66,740,1294,1039,502,947,976,358,1539,1468,796
1443,66,706,1328,914,627,946,977,184,1666,1468,772
1419,90,621,1412,836,705,947,961,118,1748,1470,749
1417,92,621,1412,738,803,924,928,174,1748,1456,740
1417,92,604,1429,709,832,906,927,193,1748,1456,758
1311,198,534,1499,697,757,993,739,381,1736,1456,660
1261,279,510,1523,628,714,1105,490,630,1682,1346,649
1204,370,510,1519,622,707,1122,489,609,1670,1341,649
1278,370,475,1509,591,777,1128,485,613,1391,1341,649
1250,398,475,1499,601,709,1196,421,677,1391,1341,649
1235,413,475,1315,707,704,1279,416,682,1391,1213,649
1220,433,475,1308,706,706,1278,423,682,1390,1191,556
1237,444,475,1281,704,735,1278,422,683,1390,1288,468
1290,479,475,1146,801,731,1320,422,683,1376,1338,468
1175,638,475,1031,914,698,1292,485,683,1320,941,468
1213,724,475,1008,930,704,1293,485,683,1239,941,468
1267,724,469,870,1066,712,1213,565,683,1234,1017,468
1230,762,419,920,1066,712,1198,580,683,1138,1114,468
1122,902,384,955,1066,668,1242,580,683,1020,929,343
1173,903,347,992,988,746,1194,628,680,1022,898,339
1266,903,347,992,830,904,1186,636,680,1020,879,338
1383,903,132,1207,775,959,1127,695,655,867,866,323
1425,903,128,1211,720,1014,1045,697,715,878,842,323
1448,951,107,1219,732,1015,947,758,747,860,933,325
1409,1112,102,1224,732,1015,918,782,752,842,803,326
1376,1159,102,1179,777,1015,892,776,784,772,782,326
1399,1177,102,1076,880,1015,633,885,934,771,782,376
1401,1183,83,976,999,1015,606,851,995,771,681,334
1398,1123,136,972,1016,1015,529,927,990,527,656,392
1374,1195,107,954,1042,1036,527,929,977,434,642,456
1320,1443,66,831,1206,1036,527,929,969,358,591,505
1495,1443,66,740,1294,1039,502,947,976,358,591,505
1529,1443,66,706,1328,914,627,946,977,184,591,493
1589,1419,90,621,1412,836,705,947,961,118,608,507
1618,1417,92,621,1412,738,803,924,928,174,624,759
1618,1417,92,604,1429,709,832,906,927,193,625,772
1713,1311,198,534,1499,697,757,993,739,381,629,848
1689,1261,279,510,1523,628,714,1105,490,630,629,848
1656,1204,370,510,1519,622,707,1122,489,609,629,848
1583,1278,370,475,1509,591,777,1128,485,613,629,848
1591,1250,398,475,1499,601,709,1196,421,677,629,848
1593,1235,413,475,1315,707,704,1279,416,682,629,848
1588,1220,433,475,1308,706,706,1278,423,682,629,848
1560,1237,444,475,1281,704,735,1278,422,683,532,847
1472,1290,479,475,1146,801,731,1320,422,683,482,847
1428,1175,638,475,1031,914,698,1292,485,683,482,847
1304,1213,724,475,1008,930,704,1293,485,683,482,957
1307,1267,724,469,870,1066,712,1213,565,683,367,957
1382,1230,762,419,920,1066,712,1198,580,683,219,1024
1417,1122,902,384,955,1066,668,1242,580,683,219,1024
1369,1173,903,347,992,988,746,1194,628,680,223,1024
1313,1266,903,347,992,830,904,1186,636,680,223,1027
1197,1383,903,132,1207,775,959,1127,695,655,223,1076
1155,1425,903,128,1211,720,1014,1045,697,715,223,1093
1084,1448,951,107,1219,732,1015,947,758,747,82,1091
962,1409,1112,102,1224,732,1015,918,782,752,88,1134
992,1376,1159,102,1179,777,1015,892,776,784,124,1273
995,1399,1177,102,1076,880,1015,633,885,934,124,1657
987,1401,1183,83,976,999,1015,606,851,995,122,1456
984,1398,1123,136,972,1016,1015,529,927,990,122,1398
936,1374,1195,107,954,1042,1036,527,929,977,134,1334
834,1320,1443,66,831,1206,1036,527,929,969,188,1285
659,1495,1443,66,740,1294,1039,502,947,976,222,1286
625,1529,1443,66,706,1328,914,627,946,977,501,1252
565,1589,1419,90,621,1412,836,705,947,961,482,1297
840,1618,1417,92,621,1412,738,803,924,928,465,1045
881,1618,1417,92,604,1429,709,832,906,927,465,1055
810,1713,1311,198,534,1499,697,757,993,739,461,1007
899,1689,1261,279,510,1523,628,714,1105,490,475,1007
907,1656,1204,370,510,1519,622,707,1122,489,531,1007
906,1583,1278,370,475,1509,591,777,1128,485,612,1019
903,1591,1250,398,475,1499,601,709,1196,421,617,1032
901,1593,1235,413,475,1315,707,704,1279,416,713,1135
901,1588,1220,433,475,1308,706,706,1278,423,831,1249
952,1560,1237,444,475,1281,704,735,1278,422,832,1249
1009,1472,1290,479,475,1146,801,731,1320,422,834,1249
1035,1428,1175,638,475,1031,914,698,1292,485,1012,1249
1035,1304,1213,724,475,1008,930,704,1293,485,1021,1139
1028,1307,1267,724,469,870,1066,712,1213,565,1044,1160
963,1382,1230,762,419,920,1066,712,1198,580,1062,1093
974,1417,1122,902,384,955,1066,668,1242,580,1132,1093
1304,1369,1173,903,347,992,988,746,1194,628,1113,1093
1268,1313,1266,903,347,992,830,904,1186,636,1113,1092
1267,1197,1383,903,132,1207,775,959,1127,695,1363,1044
