Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,Accum_y-1,Accum_y-2,Accum_y-3
2057,116,295,458,817,536,1164,364,352,181,342,901,1119,444
2057,167,299,458,817,536,1164,356,360,102,391,1010,1106,436
1690,579,310,458,817,536,1055,435,390,94,399,1092,1050,383
1871,589,336,458,811,542,1055,435,360,124,388,1091,1049,290
1902,564,369,443,770,598,1055,435,330,154,358,1086,974,169
1787,698,311,501,639,729,1002,488,287,197,358,1314,919,99
1792,708,306,505,540,829,1002,488,225,259,358,1335,886,98
1719,784,293,478,579,832,962,528,154,330,358,1203,802,98
1719,784,271,500,440,971,860,630,154,330,355,1293,798,85
1715,788,270,490,401,1021,857,633,144,297,378,1287,706,84
1654,860,269,490,402,1004,859,648,144,297,378,1306,692,84
1464,1055,268,237,656,1004,854,611,186,297,378,1325,691,84
1311,1208,266,239,642,997,812,674,186,297,378,1365,709,84
1217,1302,266,229,651,977,833,674,186,297,378,1364,709,88
911,1608,266,229,633,980,811,711,186,297,370,1415,709,88
860,1659,266,229,633,980,811,698,179,317,370,1384,774,88
852,1671,266,229,633,854,937,690,187,297,388,1369,845,81
897,1669,207,245,676,725,1032,726,187,292,375,1359,845,263
948,1690,126,270,734,710,1032,741,187,292,312,1255,840,365
1015,1719,124,251,753,705,989,760,218,287,297,1248,833,356
1006,1737,124,251,753,700,946,754,255,295,296,1166,815,354
985,1758,124,251,723,728,729,864,364,295,215,1026,645,381
967,1776,124,251,723,714,735,811,425,283,219,919,634,750
964,1779,120,255,723,712,451,1097,425,283,219,844,602,750
973,1779,96,279,698,718,458,1101,433,283,219,868,549,750
973,1778,97,279,663,753,457,1102,433,283,219,898,549,750
968,1783,97,279,599,805,467,1104,428,288,211,896,519,750
925,1826,97,279,458,861,552,1104,402,314,211,900,535,750
941,1841,93,283,458,822,590,1105,402,314,211,928,468,750
904,1872,87,295,458,822,590,1105,402,314,211,928,417,750
903,1883,95,295,458,822,531,1164,402,314,181,928,351,736
708,2057,116,295,458,817,536,1164,364,352,181,878,357,736
653,2057,167,299,458,817,536,1164,356,360,102,770,441,764
597,1690,579,310,458,817,536,1055,435,390,94,708,604,771
380,1871,589,336,458,811,542,1055,435,360,124,705,607,778
341,1902,564,369,443,770,598,1055,435,330,154,705,644,775
323,1787,698,311,501,639,729,1002,488,287,197,476,644,775
308,1792,708,306,505,540,829,1002,488,225,259,428,641,786
303,1719,784,293,478,579,832,962,528,154,330,428,641,786
303,1719,784,271,500,440,971,860,630,154,330,309,628,888
303,1715,788,270,490,401,1021,857,633,144,297,311,621,1042
292,1654,860,269,490,402,1004,859,648,144,297,309,622,1063
290,1464,1055,268,237,656,1004,854,611,186,297,347,622,1083
309,1311,1208,266,239,642,997,812,674,186,297,316,601,1086
341,1217,1302,266,229,651,977,833,674,186,297,321,620,1077
343,911,1608,266,229,633,980,811,711,186,297,351,627,1080
344,860,1659,266,229,633,980,811,698,179,317,359,562,1148
357,852,1671,266,229,633,854,937,690,187,297,359,517,1139
357,897,1669,207,245,676,725,1032,726,187,292,339,556,951
283,948,1690,126,270,734,710,1032,741,187,292,339,556,848
187,1015,1719,124,251,753,705,989,760,218,287,337,556,837
178,1006,1737,124,251,753,700,946,754,255,295,337,570,837
181,985,1758,124,251,723,728,729,864,364,295,337,574,835
186,967,1776,124,251,723,714,735,811,425,283,337,708,485
192,964,1779,120,255,723,712,451,1097,425,283,367,708,485
183,973,1779,96,279,698,718,458,1101,433,283,342,749,485
183,973,1778,97,279,663,753,457,1102,433,283,391,778,485
183,968,1783,97,279,599,805,467,1104,428,288,399,804,489
183,925,1826,97,279,458,861,552,1104,402,314,388,982,489
154,941,1841,93,283,458,822,590,1105,402,314,358,935,508
155,904,1872,87,295,458,822,590,1105,402,314,358,931,510
174,903,1883,95,295,458,822,531,1164,402,314,358,910,510
202,708,2057,116,295,458,817,536,1164,364,352,358,901,632
202,653,2057,167,299,458,817,536,1164,356,360,355,816,672
221,597,1690,579,310,458,817,536,1055,435,390,378,692,720
221,380,1871,589,336,458,811,542,1055,435,360,378,689,713
221,341,1902,564,369,443,770,598,1055,435,330,378,652,765
224,323,1787,698,311,501,639,729,1002,488,287,378,652,780
226,308,1792,708,306,505,540,829,1002,488,225,378,652,837
226,303,1719,784,293,478,579,832,962,528,154,370,652,838
226,303,1719,784,271,500,440,971,860,630,154,370,652,743
227,303,1715,788,270,490,401,1021,857,633,144,388,652,592
227,292,1654,860,269,490,402,1004,859,648,144,375,651,571
224,290,1464,1055,268,237,656,1004,854,611,186,312,651,551
221,309,1311,1208,266,239,642,997,812,674,186,297,651,548
272,341,1217,1302,266,229,651,977,833,674,186,296,632,548
271,343,911,1608,266,229,633,980,811,711,186,215,625,545
270,344,860,1659,266,229,633,980,811,698,179,219,628,477
253,357,852,1671,266,229,633,854,937,690,187,219,782,466
208,357,897,1669,207,245,676,725,1032,726,187,219,820,466
208,283,948,1690,126,270,734,710,1032,741,187,219,824,462
208,187,1015,1719,124,251,753,705,989,760,218,211,824,534
208,178,1006,1737,124,251,753,700,946,754,255,211,804,547
205,181,985,1758,124,251,723,728,729,864,364,211,797,571
200,186,967,1776,124,251,723,714,735,811,425,211,790,600
194,192,964,1779,120,255,723,712,451,1097,425,181,807,622
194,183,973,1779,96,279,698,718,458,1101,433,181,784,648
194,183,973,1778,97,279,663,753,457,1102,433,102,816,654
194,183,968,1783,97,279,599,805,467,1104,428,94,821,650
194,183,925,1826,97,279,458,861,552,1104,402,124,645,650
