Accum_y-0,T-1,T-2,T-3,T-4,Accum_y-1
2307,191,900,1457,245,647
2337,197,848,1509,218,437
2432,201,848,1509,218,363
2431,243,845,1512,218,232
2560,243,820,1513,242,233
2721,243,400,1933,242,276
2685,299,364,1967,245,283
2553,406,384,1972,245,292
2494,456,383,1958,269,319
2301,649,311,1923,376,465
2250,689,319,1917,330,756
2230,750,328,1823,418,941
2134,886,294,1741,535,1001
2158,916,231,1793,546,1011
2120,887,186,1664,787,1011
2038,926,219,1588,801,1006
1975,989,219,1315,996,1010
1969,995,219,1310,1001,1052
1773,1215,219,1310,1001,1038
1348,1646,219,1310,1001,1022
1256,1738,219,1310,1001,985
1152,1845,181,1349,1001,996
1126,1900,183,1310,1040,1000
1057,1975,176,1153,1204,1061
1107,1975,175,1069,1288,1068
1153,1988,175,979,1378,1076
1253,1993,175,915,1442,1085
1253,2009,176,915,1442,1096
1185,2080,176,915,1442,1126
1129,2144,176,915,1442,1126
951,2322,176,915,1442,1126
958,2307,191,900,1457,1126
994,2337,197,848,1509,1126
994,2432,201,848,1509,1126
968,2431,243,845,1512,1126
839,2560,243,820,1513,1125
695,2721,243,400,1933,1087
674,2685,299,364,1967,1031
677,2553,406,384,1972,1022
681,2494,456,383,1958,995
681,2301,649,311,1923,849
681,2250,689,319,1917,538
626,2230,750,328,1823,325
586,2134,886,294,1741,257
531,2158,916,231,1793,247
531,2120,887,186,1664,247
531,2038,926,219,1588,244
531,1975,989,219,1315,256
531,1969,995,219,1310,214
507,1773,1215,219,1310,223
501,1348,1646,219,1310,236
501,1256,1738,219,1310,274
528,1152,1845,181,1349,240
513,1126,1900,183,1310,240
532,1057,1975,176,1153,179
482,1107,1975,175,1069,172
423,1153,1988,175,979,174
320,1253,1993,175,915,189
351,1253,2009,176,915,178
350,1185,2080,176,915,148
390,1129,2144,176,915,148
441,951,2322,176,915,148
434,958,2307,191,900,148
362,994,2337,197,848,148
266,994,2432,201,848,149
253,968,2431,243,845,149
283,839,2560,243,820,149
266,695,2721,243,400,143
266,674,2685,299,364,142
263,677,2553,406,384,142
269,681,2494,456,383,142
298,681,2301,649,311,142
298,681,2250,689,319,142
360,626,2230,750,328,142
366,586,2134,886,294,142
383,531,2158,916,231,152
426,531,2120,887,186,152
526,531,2038,926,219,152
526,531,1975,989,219,136
582,531,1969,995,219,147
594,507,1773,1215,219,161
599,501,1348,1646,219,155
620,501,1256,1738,219,113
638,528,1152,1845,181,104
626,513,1126,1900,183,107
601,532,1057,1975,176,107
614,482,1107,1975,175,107
615,423,1153,1988,175,97
613,320,1253,1993,175,73
644,351,1253,2009,176,73
743,350,1185,2080,176,104
734,390,1129,2144,176,104
683,441,951,2322,176,104
763,434,958,2307,191,167
785,362,994,2337,197,212
787,266,994,2432,201,225
788,253,968,2431,243,225
786,283,839,2560,243,225
921,266,695,2721,243,227
931,266,674,2685,299,227
996,263,677,2553,406,283
992,269,681,2494,456,350
983,298,681,2301,649,355
983,298,681,2250,689,366
921,360,626,2230,750,366
914,366,586,2134,886,366
897,383,531,2158,916,356
854,426,531,2120,887,358
754,526,531,2038,926,358
754,526,531,1975,989,358
698,582,531,1969,995,347
686,594,507,1773,1215,317
681,599,501,1348,1646,310
723,620,501,1256,1738,310
682,638,528,1152,1845,310
679,626,513,1126,1900,301
693,601,532,1057,1975,301
680,614,482,1107,1975,301
679,615,423,1153,1988,301
679,613,320,1253,1993,315
600,644,351,1253,2009,319
499,743,350,1185,2080,288
460,734,390,1129,2144,288
523,683,441,951,2322,288
453,763,434,958,2307,225
482,785,362,994,2337,197
477,787,266,994,2432,276
534,788,253,968,2431,298
506,786,283,839,2560,323
371,921,266,695,2721,321
361,931,266,674,2685,335
297,996,263,677,2553,601
297,992,269,681,2494,910
329,983,298,681,2301,921
329,983,298,681,2250,917
329,921,360,626,2230,917
329,914,366,586,2134,917
362,897,383,531,2158,957
369,854,426,531,2120,955
464,754,526,531,2038,1044
577,754,526,531,1975,1046
583,698,582,531,1969,1046
698,686,594,507,1773,1041
718,681,599,501,1348,1041
655,723,620,501,1256,1041
672,682,638,528,1152,1130
674,679,626,513,1126,1193
660,693,601,532,1057,1256
660,680,614,482,1107,1256
660,679,615,423,1153,1294
660,679,613,320,1253,1280
660,600,644,351,1253,1276
794,499,743,350,1185,1365
825,460,734,390,1129,1391
926,523,683,441,951,1391
938,453,763,434,958,1391
898,482,785,362,994,1374
900,477,787,266,994,1281
840,534,788,253,968,1259
840,506,786,283,839,1234
859,371,921,266,695,1293
864,361,931,266,674,1282
863,297,996,263,677,986
857,297,992,269,681,620
805,329,983,298,681,638
805,329,983,298,681,646
805,329,921,360,626,662
805,329,914,366,586,669
772,362,897,383,531,629
765,369,854,426,531,629
670,464,754,526,531,540
557,577,754,526,531,677
551,583,698,582,531,677
436,698,686,594,507,677
416,718,681,599,501,677
416,655,723,620,501,677
391,672,682,638,528,588
388,674,679,626,513,532
388,660,693,601,532,469
388,660,680,614,482,469
388,660,679,615,423,431
388,660,679,613,320,431
388,660,600,644,351,431
254,794,499,743,350,342
223,825,460,734,390,316
59,926,523,683,441,320
37,938,453,763,434,320
65,898,482,785,362,320
96,900,477,787,266,320
97,840,534,788,253,320
97,840,506,786,283,381
78,859,371,921,266,322
73,864,361,931,266,374
73,863,297,996,263,351
75,857,297,992,269,541
75,805,329,983,298,512
75,805,329,983,298,510
75,805,329,921,360,494
75,805,329,914,366,488
77,772,362,897,383,640
77,765,369,854,426,682
77,670,464,754,526,707
77,557,577,754,526,568
77,551,583,698,582,568
132,436,698,686,594,568
132,416,718,681,599,608
132,416,655,723,620,626
132,391,672,682,638,763
142,388,674,679,626,900
142,388,660,693,601,900
185,388,660,680,614,1112
276,388,660,679,615,1139
352,388,660,679,613,1139
352,388,660,600,644,1139
352,254,794,499,743,1139
352,223,825,460,734,1139
352,59,926,523,683,1135
352,37,938,453,763,1135
406,65,898,482,785,1135
395,96,900,477,787,1135
394,97,840,534,788,1190
508,97,840,506,786,1140
569,78,859,371,921,1140
632,73,864,361,931,1086
632,73,863,297,996,1083
630,75,857,297,992,955
630,75,805,329,983,1028
630,75,805,329,983,1015
647,75,805,329,921,1015
647,75,805,329,914,1014
852,77,772,362,897,862
853,77,765,369,854,820
853,77,670,464,754,795
853,77,557,577,754,795
864,77,551,583,698,796
809,132,436,698,686,796
830,132,416,718,681,756
832,132,416,655,723,738
833,132,391,672,682,601
829,142,388,674,679,457
829,142,388,660,693,457
786,185,388,660,680,245
695,276,388,660,679,218
619,352,388,660,679,218
619,352,388,660,600,218
619,352,254,794,499,242
619,352,223,825,460,242
630,352,59,926,523,245
709,352,37,938,453,245
