Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,Accum_y-1
2057,116,295,458,817,536,1164,364,352,181,342,868,901
2057,167,299,458,817,536,1164,356,360,102,391,898,1010
1690,579,310,458,817,536,1055,435,390,94,399,896,1092
1871,589,336,458,811,542,1055,435,360,124,388,900,1091
1902,564,369,443,770,598,1055,435,330,154,358,928,1086
1787,698,311,501,639,729,1002,488,287,197,358,928,1314
1792,708,306,505,540,829,1002,488,225,259,358,928,1335
1719,784,293,478,579,832,962,528,154,330,358,878,1203
1719,784,271,500,440,971,860,630,154,330,355,770,1293
1715,788,270,490,401,1021,857,633,144,297,378,708,1287
1654,860,269,490,402,1004,859,648,144,297,378,705,1306
1464,1055,268,237,656,1004,854,611,186,297,378,705,1325
1311,1208,266,239,642,997,812,674,186,297,378,476,1365
1217,1302,266,229,651,977,833,674,186,297,378,428,1364
911,1608,266,229,633,980,811,711,186,297,370,428,1415
860,1659,266,229,633,980,811,698,179,317,370,309,1384
852,1671,266,229,633,854,937,690,187,297,388,311,1369
897,1669,207,245,676,725,1032,726,187,292,375,309,1359
948,1690,126,270,734,710,1032,741,187,292,312,347,1255
1015,1719,124,251,753,705,989,760,218,287,297,316,1248
1006,1737,124,251,753,700,946,754,255,295,296,321,1166
985,1758,124,251,723,728,729,864,364,295,215,351,1026
967,1776,124,251,723,714,735,811,425,283,219,359,919
964,1779,120,255,723,712,451,1097,425,283,219,359,844
973,1779,96,279,698,718,458,1101,433,283,219,339,868
973,1778,97,279,663,753,457,1102,433,283,219,339,898
968,1783,97,279,599,805,467,1104,428,288,211,337,896
925,1826,97,279,458,861,552,1104,402,314,211,337,900
941,1841,93,283,458,822,590,1105,402,314,211,337,928
904,1872,87,295,458,822,590,1105,402,314,211,337,928
903,1883,95,295,458,822,531,1164,402,314,181,367,928
708,2057,116,295,458,817,536,1164,364,352,181,342,878
653,2057,167,299,458,817,536,1164,356,360,102,391,770
597,1690,579,310,458,817,536,1055,435,390,94,399,708
380,1871,589,336,458,811,542,1055,435,360,124,388,705
341,1902,564,369,443,770,598,1055,435,330,154,358,705
323,1787,698,311,501,639,729,1002,488,287,197,358,476
308,1792,708,306,505,540,829,1002,488,225,259,358,428
303,1719,784,293,478,579,832,962,528,154,330,358,428
303,1719,784,271,500,440,971,860,630,154,330,355,309
303,1715,788,270,490,401,1021,857,633,144,297,378,311
292,1654,860,269,490,402,1004,859,648,144,297,378,309
290,1464,1055,268,237,656,1004,854,611,186,297,378,347
309,1311,1208,266,239,642,997,812,674,186,297,378,316
341,1217,1302,266,229,651,977,833,674,186,297,378,321
343,911,1608,266,229,633,980,811,711,186,297,370,351
344,860,1659,266,229,633,980,811,698,179,317,370,359
357,852,1671,266,229,633,854,937,690,187,297,388,359
357,897,1669,207,245,676,725,1032,726,187,292,375,339
283,948,1690,126,270,734,710,1032,741,187,292,312,339
187,1015,1719,124,251,753,705,989,760,218,287,297,337
178,1006,1737,124,251,753,700,946,754,255,295,296,337
181,985,1758,124,251,723,728,729,864,364,295,215,337
186,967,1776,124,251,723,714,735,811,425,283,219,337
192,964,1779,120,255,723,712,451,1097,425,283,219,367
183,973,1779,96,279,698,718,458,1101,433,283,219,342
183,973,1778,97,279,663,753,457,1102,433,283,219,391
183,968,1783,97,279,599,805,467,1104,428,288,211,399
183,925,1826,97,279,458,861,552,1104,402,314,211,388
154,941,1841,93,283,458,822,590,1105,402,314,211,358
155,904,1872,87,295,458,822,590,1105,402,314,211,358
174,903,1883,95,295,458,822,531,1164,402,314,181,358
202,708,2057,116,295,458,817,536,1164,364,352,181,358
202,653,2057,167,299,458,817,536,1164,356,360,102,355
221,597,1690,579,310,458,817,536,1055,435,390,94,378
221,380,1871,589,336,458,811,542,1055,435,360,124,378
221,341,1902,564,369,443,770,598,1055,435,330,154,378
224,323,1787,698,311,501,639,729,1002,488,287,197,378
226,308,1792,708,306,505,540,829,1002,488,225,259,378
226,303,1719,784,293,478,579,832,962,528,154,330,370
226,303,1719,784,271,500,440,971,860,630,154,330,370
227,303,1715,788,270,490,401,1021,857,633,144,297,388
227,292,1654,860,269,490,402,1004,859,648,144,297,375
224,290,1464,1055,268,237,656,1004,854,611,186,297,312
221,309,1311,1208,266,239,642,997,812,674,186,297,297
272,341,1217,1302,266,229,651,977,833,674,186,297,296
271,343,911,1608,266,229,633,980,811,711,186,297,215
270,344,860,1659,266,229,633,980,811,698,179,317,219
253,357,852,1671,266,229,633,854,937,690,187,297,219
208,357,897,1669,207,245,676,725,1032,726,187,292,219
208,283,948,1690,126,270,734,710,1032,741,187,292,219
208,187,1015,1719,124,251,753,705,989,760,218,287,211
208,178,1006,1737,124,251,753,700,946,754,255,295,211
205,181,985,1758,124,251,723,728,729,864,364,295,211
200,186,967,1776,124,251,723,714,735,811,425,283,211
