Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,Accum_y-1
1119,1558,605,556,490,747,888,594,479,648,485,750,444
1106,1538,639,556,490,747,888,594,473,654,485,750,436
1050,1549,684,455,591,747,888,594,473,650,489,750,383
1049,1473,761,455,552,786,888,594,473,650,489,750,290
974,1367,942,381,626,786,888,594,473,631,508,750,169
919,1388,771,396,816,786,888,594,473,629,510,750,99
886,1416,740,432,819,786,888,594,473,629,510,736,98
802,1408,806,458,819,776,898,592,475,507,632,736,98
798,1425,788,476,800,743,892,650,475,439,672,764,85
706,1467,845,476,800,704,896,685,475,384,720,771,84
692,1437,797,568,800,663,933,684,476,388,713,778,84
691,1438,671,694,631,832,888,661,540,340,765,775,84
709,1438,628,740,608,855,694,711,683,326,780,775,84
709,1437,629,740,608,810,655,757,721,258,837,786,88
709,1427,639,739,389,935,750,702,776,257,838,786,88
774,1424,642,646,482,935,750,702,776,250,743,888,88
845,1262,802,648,482,935,750,543,935,247,592,1042,81
845,1107,955,650,482,935,366,879,983,247,571,1063,263
840,1112,955,650,482,830,471,879,983,247,551,1083,365
833,1119,955,650,482,811,490,874,945,290,548,1086,356
815,1143,955,650,482,793,508,874,743,492,548,1077,354
645,1316,955,556,576,790,511,869,662,578,545,1080,381
634,1323,959,556,573,793,498,882,662,578,477,1148,750
602,1214,1143,558,573,735,508,889,703,578,466,1139,750
549,1217,1155,600,573,538,705,889,703,578,466,951,750
549,1180,1187,605,573,516,727,889,703,578,462,848,750
519,1209,1189,605,556,533,727,889,703,505,534,837,750
535,1049,1349,605,556,533,711,905,703,492,547,837,750
468,1079,1453,605,556,495,749,893,709,448,571,835,750
417,1040,1547,605,556,495,749,892,639,471,600,485,750
351,1127,1547,605,556,490,754,881,648,451,622,485,736
357,1119,1558,605,556,490,747,888,594,479,648,485,736
441,1106,1538,639,556,490,747,888,594,473,654,485,764
604,1050,1549,684,455,591,747,888,594,473,650,489,771
607,1049,1473,761,455,552,786,888,594,473,650,489,778
644,974,1367,942,381,626,786,888,594,473,631,508,775
644,919,1388,771,396,816,786,888,594,473,629,510,775
641,886,1416,740,432,819,786,888,594,473,629,510,786
641,802,1408,806,458,819,776,898,592,475,507,632,786
628,798,1425,788,476,800,743,892,650,475,439,672,888
621,706,1467,845,476,800,704,896,685,475,384,720,1042
622,692,1437,797,568,800,663,933,684,476,388,713,1063
622,691,1438,671,694,631,832,888,661,540,340,765,1083
601,709,1438,628,740,608,855,694,711,683,326,780,1086
620,709,1437,629,740,608,810,655,757,721,258,837,1077
627,709,1427,639,739,389,935,750,702,776,257,838,1080
562,774,1424,642,646,482,935,750,702,776,250,743,1148
517,845,1262,802,648,482,935,750,543,935,247,592,1139
556,845,1107,955,650,482,935,366,879,983,247,571,951
556,840,1112,955,650,482,830,471,879,983,247,551,848
556,833,1119,955,650,482,811,490,874,945,290,548,837
570,815,1143,955,650,482,793,508,874,743,492,548,837
574,645,1316,955,556,576,790,511,869,662,578,545,835
708,634,1323,959,556,573,793,498,882,662,578,477,485
708,602,1214,1143,558,573,735,508,889,703,578,466,485
749,549,1217,1155,600,573,538,705,889,703,578,466,485
778,549,1180,1187,605,573,516,727,889,703,578,462,485
804,519,1209,1189,605,556,533,727,889,703,505,534,489
982,535,1049,1349,605,556,533,711,905,703,492,547,489
935,468,1079,1453,605,556,495,749,893,709,448,571,508
931,417,1040,1547,605,556,495,749,892,639,471,600,510
910,351,1127,1547,605,556,490,754,881,648,451,622,510
901,357,1119,1558,605,556,490,747,888,594,479,648,632
816,441,1106,1538,639,556,490,747,888,594,473,654,672
692,604,1050,1549,684,455,591,747,888,594,473,650,720
689,607,1049,1473,761,455,552,786,888,594,473,650,713
652,644,974,1367,942,381,626,786,888,594,473,631,765
652,644,919,1388,771,396,816,786,888,594,473,629,780
652,641,886,1416,740,432,819,786,888,594,473,629,837
652,641,802,1408,806,458,819,776,898,592,475,507,838
652,628,798,1425,788,476,800,743,892,650,475,439,743
652,621,706,1467,845,476,800,704,896,685,475,384,592
651,622,692,1437,797,568,800,663,933,684,476,388,571
651,622,691,1438,671,694,631,832,888,661,540,340,551
651,601,709,1438,628,740,608,855,694,711,683,326,548
632,620,709,1437,629,740,608,810,655,757,721,258,548
625,627,709,1427,639,739,389,935,750,702,776,257,545
628,562,774,1424,642,646,482,935,750,702,776,250,477
782,517,845,1262,802,648,482,935,750,543,935,247,466
820,556,845,1107,955,650,482,935,366,879,983,247,466
824,556,840,1112,955,650,482,830,471,879,983,247,462
824,556,833,1119,955,650,482,811,490,874,945,290,534
804,570,815,1143,955,650,482,793,508,874,743,492,547
797,574,645,1316,955,556,576,790,511,869,662,578,571
790,708,634,1323,959,556,573,793,498,882,662,578,600
807,708,602,1214,1143,558,573,735,508,889,703,578,622
784,749,549,1217,1155,600,573,538,705,889,703,578,648
816,778,549,1180,1187,605,573,516,727,889,703,578,654
821,804,519,1209,1189,605,556,533,727,889,703,505,650
645,982,535,1049,1349,605,556,533,711,905,703,492,650
628,935,468,1079,1453,605,556,495,749,893,709,448,631
688,931,417,1040,1547,605,556,495,749,892,639,471,629
697,910,351,1127,1547,605,556,490,754,881,648,451,629
736,901,357,1119,1558,605,556,490,747,888,594,479,507
739,816,441,1106,1538,639,556,490,747,888,594,473,439
700,692,604,1050,1549,684,455,591,747,888,594,473,384
700,689,607,1049,1473,761,455,552,786,888,594,473,388
725,652,644,974,1367,942,381,626,786,888,594,473,340
725,652,644,919,1388,771,396,816,786,888,594,473,326
725,652,641,886,1416,740,432,819,786,888,594,473,258
725,652,641,802,1408,806,458,819,776,898,592,475,257
731,652,628,798,1425,788,476,800,743,892,650,475,250
735,652,621,706,1467,845,476,800,704,896,685,475,247
735,651,622,692,1437,797,568,800,663,933,684,476,247
735,651,622,691,1438,671,694,631,832,888,661,540,247
735,651,601,709,1438,628,740,608,855,694,711,683,290
735,632,620,709,1437,629,740,608,810,655,757,721,492
735,625,627,709,1427,639,739,389,935,750,702,776,578
732,628,562,774,1424,642,646,482,935,750,702,776,578
552,782,517,845,1262,802,648,482,935,750,543,935,578
475,820,556,845,1107,955,650,482,935,366,879,983,578
471,824,556,840,1112,955,650,482,830,471,879,983,578
471,824,556,833,1119,955,650,482,811,490,874,945,505
471,804,570,815,1143,955,650,482,793,508,874,743,492
500,797,574,645,1316,955,556,576,790,511,869,662,448
373,790,708,634,1323,959,556,573,793,498,882,662,471
311,807,708,602,1214,1143,558,573,735,508,889,703,451
289,784,749,549,1217,1155,600,573,538,705,889,703,479
228,816,778,549,1180,1187,605,573,516,727,889,703,473
198,821,804,519,1209,1189,605,556,533,727,889,703,473
190,645,982,535,1049,1349,605,556,533,711,905,703,473
275,628,935,468,1079,1453,605,556,495,749,893,709,473
276,688,931,417,1040,1547,605,556,495,749,892,639,473
267,697,910,351,1127,1547,605,556,490,754,881,648,473
228,736,901,357,1119,1558,605,556,490,747,888,594,475
486,739,816,441,1106,1538,639,556,490,747,888,594,475
507,700,692,604,1050,1549,684,455,591,747,888,594,475
507,700,689,607,1049,1473,761,455,552,786,888,594,476
533,725,652,644,974,1367,942,381,626,786,888,594,540
533,725,652,644,919,1388,771,396,816,786,888,594,683
632,725,652,641,886,1416,740,432,819,786,888,594,721
632,725,652,641,802,1408,806,458,819,776,898,592,776
626,731,652,628,798,1425,788,476,800,743,892,650,776
627,735,652,621,706,1467,845,476,800,704,896,685,935
627,735,651,622,692,1437,797,568,800,663,933,684,983
627,735,651,622,691,1438,671,694,631,832,888,661,983
693,735,651,601,709,1438,628,740,608,855,694,711,945
693,735,632,620,709,1437,629,740,608,810,655,757,743
693,735,625,627,709,1427,639,739,389,935,750,702,662
693,732,628,562,774,1424,642,646,482,935,750,702,662
693,552,782,517,845,1262,802,648,482,935,750,543,703
693,475,820,556,845,1107,955,650,482,935,366,879,703
