Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,Accum_y-1
803,924,928,174,1748,122,681,1487,598,805,442,391,721
832,906,927,193,1748,122,656,1512,528,875,441,384,595
757,993,739,381,1736,134,642,1428,520,958,464,357,502
714,1105,490,630,1682,188,591,1468,517,950,486,346,386
707,1122,489,609,1670,222,591,1468,382,1056,515,345,336
777,1128,485,613,1391,501,591,1468,327,1104,522,311,314
709,1196,421,677,1391,482,608,1470,302,977,674,247,314
704,1279,416,682,1391,465,624,1456,317,977,674,230,278
706,1278,423,682,1390,465,625,1456,317,976,675,230,278
735,1278,422,683,1390,461,629,1456,317,964,687,230,278
731,1320,422,683,1376,475,629,1346,427,960,691,230,319
698,1292,485,683,1320,531,629,1341,432,889,762,224,319
704,1293,485,683,1239,612,629,1341,432,829,822,224,319
712,1213,565,683,1234,617,629,1341,432,818,832,225,319
712,1198,580,683,1138,713,629,1213,557,815,817,246,307
668,1242,580,683,1020,831,629,1191,571,823,805,258,247
746,1194,628,680,1022,832,532,1288,548,846,793,270,374
904,1186,636,680,1020,834,482,1338,538,856,793,229,374
959,1127,695,655,867,1012,482,941,876,915,783,239,354
1014,1045,697,715,878,1021,482,941,869,922,783,239,380
1015,947,758,747,860,1044,367,1017,908,922,782,240,387
1015,918,782,752,842,1062,219,1114,959,922,591,431,387
1015,892,776,784,772,1132,219,929,1144,922,573,444,387
1015,633,885,934,771,1113,223,898,1191,877,591,339,387
1015,606,851,995,771,1113,223,879,1160,906,516,427,391
1015,529,927,990,527,1363,223,866,1173,906,510,433,384
1036,527,929,977,434,1469,223,842,1197,906,500,417,357
1036,527,929,969,358,1553,82,933,1247,736,634,446,346
1039,502,947,976,358,1539,88,803,1385,653,717,446,345
914,627,946,977,184,1666,124,782,1384,682,721,446,311
836,705,947,961,118,1748,124,782,1384,635,768,446,247
738,803,924,928,174,1748,122,681,1487,598,805,442,230
709,832,906,927,193,1748,122,656,1512,528,875,441,230
697,757,993,739,381,1736,134,642,1428,520,958,464,230
628,714,1105,490,630,1682,188,591,1468,517,950,486,230
622,707,1122,489,609,1670,222,591,1468,382,1056,515,224
591,777,1128,485,613,1391,501,591,1468,327,1104,522,224
601,709,1196,421,677,1391,482,608,1470,302,977,674,225
707,704,1279,416,682,1391,465,624,1456,317,977,674,246
706,706,1278,423,682,1390,465,625,1456,317,976,675,258
