Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6
724,1100,888,906,1398,656,392,431
716,1106,888,906,1374,642,456,484
716,1096,888,1077,1320,591,505,587
716,1008,888,1153,1495,591,505,568
716,947,888,1138,1529,591,493,606
716,947,888,1138,1589,608,507,548
716,947,898,916,1618,624,759,548
462,940,892,870,1618,625,772,623
462,919,896,895,1713,629,848,671
319,1062,933,895,1689,629,848,695
340,1073,888,900,1656,629,848,705
378,1164,694,967,1583,629,848,634
344,1100,655,971,1591,629,848,614
315,1129,750,883,1593,629,848,523
319,1129,750,883,1588,629,848,523
299,1151,750,805,1560,532,847,523
304,1151,366,808,1472,482,847,523
304,1151,471,765,1428,482,847,525
238,1151,490,766,1304,482,957,661
238,1151,508,832,1307,367,957,715
231,1158,511,820,1382,219,1024,724
267,1160,498,821,1417,219,1024,776
272,1160,508,821,1369,223,1024,775
276,1160,705,793,1313,223,1027,679
276,1160,727,793,1197,223,1076,679
276,1160,727,793,1155,223,1093,681
317,1088,711,622,1084,82,1091,689
317,958,749,801,962,88,1134,689
447,953,749,854,992,124,1273,689
468,931,754,854,995,124,1657,689
468,852,747,854,987,122,1456,689
471,724,747,854,984,122,1398,689
471,716,747,869,936,134,1334,636
494,716,786,704,834,188,1285,533
494,716,786,690,659,222,1286,525
536,716,786,904,625,501,1252,506
597,716,786,904,565,482,1297,506
597,716,776,904,840,465,1045,506
597,462,743,864,881,465,1055,454
605,462,704,879,810,461,1007,406
605,319,663,879,899,475,1007,382
522,340,832,874,907,531,1007,499
433,378,855,828,906,612,1019,497
777,344,810,877,903,617,1032,567
777,315,935,880,901,713,1135,654
885,319,935,880,901,831,1249,682
1024,299,935,888,952,832,1249,682
1110,304,935,869,1009,834,1249,863
1225,304,830,865,1035,1012,1249,900
1237,238,811,864,1035,1021,1139,995
1237,238,793,839,1028,1044,1160,927
1237,231,790,812,963,1062,1093,1010
1199,267,793,809,974,1132,1093,982
1196,272,735,922,1304,1113,1093,982
1302,276,538,922,1268,1113,1092,983
1326,276,516,941,1267,1363,1044,1022
1326,276,533,943,1267,1469,1087,1097
1474,317,533,871,1267,1553,1087,1112
1829,317,495,692,1267,1539,1043,1124
1722,447,495,639,1223,1666,904,1221
1777,468,490,639,1179,1748,470,1249
1787,468,490,639,1179,1748,469,1278
1784,471,490,639,1179,1748,469,1278
1784,471,591,627,1179,1736,469,1278
1761,494,552,685,1087,1682,469,1278
1761,494,626,687,1196,1670,468,1271
1719,536,816,473,1202,1391,468,1252
1658,597,819,683,1207,1391,409,1252
1696,597,819,741,912,1391,409,1252
1877,597,800,758,871,1390,354,1229
1921,605,800,713,847,1390,326,1229
1922,605,800,713,751,1376,327,1229
1922,522,631,713,771,1320,658,1233
1882,433,608,707,772,1239,759,1239
1565,777,608,1057,767,1234,776,1167
1565,777,389,1283,767,1138,673,1081
1453,885,482,1283,767,1020,560,1053
1379,1024,482,1275,716,1022,610,1056
1376,1110,482,1274,659,1020,652,875
1261,1225,482,1268,710,867,652,836
1249,1237,482,1268,729,878,652,641
1249,1237,482,1227,679,860,631,641
1249,1237,576,1209,668,842,631,539
1249,1199,573,1209,590,772,631,518
1247,1196,573,1096,256,771,631,537
1206,1302,573,1100,255,771,629,654
1386,1326,573,1081,312,527,628,620
1387,1326,556,1079,312,434,575,562
1212,1474,556,1079,312,358,575,539
858,1829,556,1079,479,358,586,549
839,1722,556,1079,489,184,596,453
763,1777,556,1079,530,118,613,427
812,1787,556,1155,530,174,652,456
825,1784,556,1253,530,193,825,456
959,1784,455,1302,544,381,842,456
959,1761,455,1264,549,630,842,456
959,1761,381,1190,440,609,842,456
988,1719,396,1257,434,613,842,509
989,1658,432,1091,429,677,842,512
951,1696,458,1033,420,682,842,518
770,1877,476,1065,420,682,842,537
718,1921,476,1065,425,683,843,551
717,1922,568,1065,476,683,842,551
717,1922,694,1065,447,683,511,420
717,1882,740,1052,446,683,398,414
689,1565,740,649,446,683,368,425
689,1565,739,420,446,683,368,456
720,1453,646,428,446,683,367,478
722,1379,648,491,446,680,317,552
634,1376,650,491,456,680,275,624
634,1261,650,491,379,655,280,645
727,1249,650,491,360,715,323,618
762,1249,650,491,360,747,383,757
762,1249,556,510,374,752,424,746
762,1249,556,510,375,784,477,743
799,1247,558,511,375,934,481,724
730,1206,600,515,375,995,481,643
526,1386,605,515,318,990,483,638
525,1387,605,515,318,977,476,598
512,1212,605,679,318,969,476,715
511,858,605,682,151,976,465,713
507,839,605,702,380,977,455,753
523,763,605,760,352,961,438,753
531,812,605,734,352,928,493,695
518,825,639,689,352,927,338,713
385,959,684,637,338,739,402,766
406,959,761,611,333,490,471,839
423,959,942,609,333,489,522,848
394,988,771,542,333,485,547,795
519,989,740,505,406,421,547,834
627,951,806,506,409,416,552,828
708,770,788,457,509,423,552,810
804,718,845,569,615,422,561,842
858,717,797,618,592,422,561,852
1013,717,671,668,624,485,563,852
1046,717,628,674,624,485,573,854
1134,689,629,674,680,565,573,843
1138,689,639,674,690,580,573,811
1108,720,642,670,690,580,647,789
1034,722,802,634,690,628,665,715
1034,634,955,634,680,636,680,651
1035,634,955,640,680,695,675,742
944,727,955,642,826,697,632,733
909,762,955,648,832,758,572,594
909,762,955,657,856,782,539,607
924,762,959,720,855,776,486,619
888,799,1143,729,873,885,482,629
888,730,1155,737,873,851,520,592
890,526,1187,737,893,927,518,592
891,525,1189,737,937,929,542,616
893,512,1349,573,946,929,569,499
893,511,1453,570,946,947,593,481
930,507,1547,550,716,946,593,440
915,523,1547,527,707,947,593,438
848,531,1558,553,826,924,499,457
850,518,1538,508,1158,906,607,452
849,385,1549,561,1221,993,619,399
832,406,1473,654,1252,1105,666,326
820,423,1367,778,1270,1122,671,317
821,394,1388,848,1373,1128,668,317
722,519,1416,842,1403,1196,668,275
754,627,1408,841,1452,1279,699,275
702,708,1425,854,1500,1278,699,274
612,804,1467,743,1412,1278,689,228
559,858,1437,694,1394,1320,689,218
410,1013,1438,644,1362,1292,687,218
388,1046,1438,636,1362,1293,677,216
306,1134,1437,641,1306,1213,677,216
302,1138,1427,641,1296,1198,689,216
332,1108,1424,637,1296,1242,680,272
347,1034,1262,637,1296,1194,667,356
377,1034,1107,643,1296,1186,660,440
480,1035,1112,642,1296,1127,680,344
495,944,1119,661,1150,1045,680,344
577,909,1143,657,1144,947,680,344
717,909,1316,630,1106,918,672,346
809,924,1323,567,1106,892,672,365
883,888,1214,557,1088,633,672,402
884,888,1217,541,1088,606,634,419
882,890,1180,541,1090,529,642,419
883,891,1209,541,1047,527,645,395
887,893,1049,541,1040,527,629,411
889,893,1079,541,1108,502,606,411
852,930,1040,541,1111,627,640,411
851,915,1127,520,1108,705,704,433
901,848,1119,444,989,803,721,441
1010,850,1106,436,657,832,595,428
1092,849,1050,383,610,757,502,433
1091,832,1049,290,580,714,386,433
1086,820,974,169,667,707,336,485
1314,821,919,99,588,777,314,485
1335,722,886,98,546,709,314,486
1203,754,802,98,497,704,278,517
1293,702,798,85,389,706,278,517
1287,612,706,84,367,735,278,532
1306,559,692,84,411,731,319,538
1325,410,691,84,430,698,319,578
1365,388,709,84,430,704,319,578
1364,306,709,88,434,712,319,578
1415,302,709,88,448,712,307,578
1384,332,774,88,534,668,247,522
1369,347,845,81,654,746,374,515
1359,377,845,263,683,904,374,513
1255,480,840,365,690,959,354,506
1248,495,833,356,694,1014,380,650
1166,577,815,354,748,1015,387,650
1026,717,645,381,803,1015,387,635
919,809,634,750,803,1015,387,608
844,883,602,750,815,1015,387,562
868,884,549,750,815,1015,391,545
898,882,549,750,793,1015,384,545
896,883,519,750,792,1036,357,545
900,887,535,750,790,1036,346,530
928,889,468,750,722,1039,345,528
928,852,417,750,746,914,311,530
928,851,351,736,780,836,247,525
878,901,357,736,991,738,230,500
770,1010,441,764,994,709,230,516
708,1092,604,771,978,697,230,513
705,1091,607,778,1049,628,230,513
705,1086,644,775,1086,622,224,461
476,1314,644,775,1304,591,224,461
428,1335,641,786,1243,601,225,460
428,1203,641,786,1240,707,246,429
309,1293,628,888,1200,706,258,429
311,1287,621,1042,1199,704,270,479
309,1306,622,1063,1145,801,229,518
347,1325,622,1083,1126,914,239,593
316,1365,601,1086,1126,930,239,726
321,1364,620,1077,1122,1066,240,745
351,1415,627,1080,1108,1066,431,746
359,1384,562,1148,1022,1066,444,746
359,1369,517,1139,902,988,339,666
339,1359,556,951,873,830,427,605
339,1255,556,848,866,775,433,609
337,1248,556,837,884,720,417,526
337,1166,570,837,830,732,446,558
337,1026,574,835,775,732,446,558
337,919,708,485,775,777,446,555
367,844,708,485,763,880,446,555
342,868,749,485,776,999,442,555
391,898,778,485,835,1016,441,568
399,896,804,489,835,1042,464,568
388,900,982,489,914,1206,486,567
358,928,935,508,1079,1294,515,567
358,928,931,510,1071,1328,522,565
