Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6
721,499,441,521,1048,582,946,1633
595,607,428,522,1354,569,939,1622
502,619,433,522,1398,558,948,1600
386,666,433,522,1532,514,1147,1671
336,671,485,538,1532,472,1391,1671
314,668,485,576,1532,472,1343,1691
314,668,486,577,1532,472,1240,1641
278,699,517,660,1532,472,1221,1668
278,699,517,683,1532,472,1222,1615
278,689,532,703,1532,472,1104,1602
319,689,538,901,1532,472,1070,1451
319,687,578,1050,1527,472,1056,1158
319,677,578,1017,1528,472,1020,1037
319,677,578,985,1521,472,898,1006
307,689,578,1026,1493,507,881,1001
247,680,522,1079,1489,517,868,1001
374,667,515,1118,1489,517,871,982
374,660,513,1127,1489,517,851,865
354,680,506,1179,1517,563,863,705
380,680,650,1086,1506,586,868,705
387,680,650,1073,1500,573,954,719
387,672,635,1073,1372,572,1036,727
387,672,608,1050,1371,650,1124,719
387,672,562,1072,1332,701,1188,691
391,634,545,1080,1318,650,1172,510
384,642,545,1102,1241,767,1200,341
357,645,545,1026,1213,777,1205,260
346,629,530,1016,1279,642,1197,199
345,606,528,1017,1151,487,1182,284
311,640,530,1017,1058,487,1182,293
247,704,525,1049,1020,490,1181,286
230,721,500,1091,782,491,1051,279
230,595,516,1091,550,491,1036,295
230,502,513,1091,564,491,1092,295
230,386,513,1091,437,495,999,219
224,336,461,1075,438,541,839,219
224,314,461,1042,438,546,907,220
225,314,460,1082,443,592,956,248
246,278,429,1059,445,607,985,301
258,278,429,1036,445,870,987,302
270,278,479,1021,445,925,952,389
229,319,518,817,445,980,952,389
239,319,593,650,445,1012,1144,411
239,319,726,549,443,1212,1147,433
240,319,745,482,443,1216,1147,443
431,307,746,440,434,1181,1147,511
444,247,746,387,434,1171,1157,582
339,374,666,348,434,1171,1154,584
427,374,605,339,434,1211,1141,700
433,354,609,279,406,1275,1128,710
417,380,526,273,361,1382,1123,710
446,387,558,273,342,1380,1051,696
446,387,558,293,314,1419,980,688
446,387,555,293,312,1435,924,686
446,387,555,273,312,1402,859,726
442,391,555,292,312,1469,817,754
441,384,568,271,286,1491,744,754
464,357,568,271,267,1457,707,754
486,346,567,314,198,1448,729,844
515,345,567,313,324,1448,769,807
522,311,565,313,366,1448,769,794
674,247,548,281,367,1445,820,934
674,230,553,230,364,1444,897,937
675,230,543,235,262,1444,874,921
687,230,544,241,329,1469,823,921
691,230,550,266,322,1479,753,920
762,224,554,266,321,1433,727,938
822,224,560,263,321,1428,670,916
832,225,560,228,316,1382,668,890
817,246,573,168,317,1367,708,797
805,258,594,255,317,1105,758,793
793,270,529,251,317,1050,780,706
793,229,484,251,317,1091,851,728
783,239,369,251,317,1059,717,706
783,239,236,251,317,859,723,684
782,240,217,251,317,855,794,675
591,431,216,251,317,1089,819,610
573,444,216,290,317,1246,815,539
591,339,216,362,317,1349,923,537
516,427,187,396,317,1368,1135,420
510,433,190,443,317,1260,1167,409
500,417,129,447,317,1130,1219,410
634,446,106,447,317,1130,1280,485
717,446,106,427,402,1080,1305,563
721,446,162,427,438,986,1272,572
768,446,184,425,438,960,1285,555
805,442,189,394,440,857,1404,527
875,441,227,393,440,718,1400,655
