Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,Accum_y-1,Accum_y-2
1633,415,618,688,731,554,1016,512,1049
1622,414,613,705,731,494,1053,543,1091
1600,221,720,813,731,494,1053,590,1168
1671,226,696,838,731,494,1053,633,1240
1671,226,636,898,715,510,1018,611,1339
1691,200,663,899,702,523,907,611,1360
1641,246,667,899,664,561,858,628,1391
1668,259,667,899,660,354,1022,665,1391
1615,312,636,933,645,323,1062,680,1382
1602,291,657,946,635,332,1003,675,1315
1451,420,677,948,575,392,980,635,1184
1158,695,691,952,567,400,980,589,1135
1037,816,691,952,567,400,980,582,1141
1006,847,691,952,567,190,1190,588,1142
1001,850,693,952,567,190,1177,592,1169
1001,850,693,952,492,265,809,590,1242
982,864,698,873,567,254,824,607,1123
865,980,700,873,495,326,824,582,1160
705,1141,700,822,546,326,824,490,1229
705,1136,705,822,488,384,824,487,1139
719,1132,696,834,489,384,824,487,1021
727,1132,696,791,532,384,824,486,1021
719,1139,614,829,579,373,826,486,1019
691,1158,614,796,621,373,792,486,962
510,1317,470,936,647,373,792,530,867
341,1478,469,944,648,373,792,526,823
260,1559,469,929,630,406,792,473,815
199,1617,481,867,368,730,792,536,814
284,1620,481,854,380,731,674,536,785
293,1625,481,823,411,731,580,536,785
286,1632,413,748,554,731,579,536,772
279,1633,415,618,688,731,554,536,763
295,1622,414,613,705,731,494,505,622
295,1600,221,720,813,731,494,458,540
219,1671,226,696,838,731,494,438,468
219,1671,226,636,898,715,510,468,369
220,1691,200,663,899,702,523,519,348
248,1641,246,667,899,664,561,549,320
301,1668,259,667,899,660,354,514,320
302,1615,312,636,933,645,323,466,320
389,1602,291,657,946,635,332,466,320
389,1451,420,677,948,575,392,467,320
411,1158,695,691,952,567,400,462,320
433,1037,816,691,952,567,400,456,313
443,1006,847,691,952,567,190,437,308
511,1001,850,693,952,567,190,434,281
582,1001,850,693,952,492,265,439,208
584,982,864,698,873,567,254,426,204
700,865,980,700,873,495,326,457,114
710,705,1141,700,822,546,326,511,18
710,705,1136,705,822,488,384,581,11
696,719,1132,696,834,489,384,640,20
688,727,1132,696,791,532,384,720,44
686,719,1139,614,829,579,373,733,44
726,691,1158,614,796,621,373,743,40
754,510,1317,470,936,647,373,696,38
754,341,1478,469,944,648,373,611,38
754,260,1559,469,929,630,406,565,38
844,199,1617,481,867,368,730,494,59
807,284,1620,481,854,380,731,546,60
794,293,1625,481,823,411,731,604,61
934,286,1632,413,748,554,731,683,80
937,279,1633,415,618,688,731,744,281
921,295,1622,414,613,705,731,761,322
921,295,1600,221,720,813,731,761,364
920,219,1671,226,696,838,731,745,496
938,219,1671,226,636,898,715,744,625
916,220,1691,200,663,899,702,707,625
890,248,1641,246,667,899,664,694,620
797,301,1668,259,667,899,660,692,625
793,302,1615,312,636,933,645,691,626
706,389,1602,291,657,946,635,691,628
728,389,1451,420,677,948,575,690,629
706,411,1158,695,691,952,567,690,631
684,433,1037,816,691,952,567,690,631
675,443,1006,847,691,952,567,690,631
610,511,1001,850,693,952,567,710,631
539,582,1001,850,693,952,492,710,631
537,584,982,864,698,873,567,708,632
420,700,865,980,700,873,495,705,635
409,710,705,1141,700,822,546,692,635
410,710,705,1136,705,822,488,648,655
485,696,719,1132,696,834,489,589,646
