Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,Accum_y-1,Accum_y-2
2057,116,295,458,817,536,1164,901,1119
2057,167,299,458,817,536,1164,1010,1106
1690,579,310,458,817,536,1055,1092,1050
1871,589,336,458,811,542,1055,1091,1049
1902,564,369,443,770,598,1055,1086,974
1787,698,311,501,639,729,1002,1314,919
1792,708,306,505,540,829,1002,1335,886
1719,784,293,478,579,832,962,1203,802
1719,784,271,500,440,971,860,1293,798
1715,788,270,490,401,1021,857,1287,706
1654,860,269,490,402,1004,859,1306,692
1464,1055,268,237,656,1004,854,1325,691
1311,1208,266,239,642,997,812,1365,709
1217,1302,266,229,651,977,833,1364,709
911,1608,266,229,633,980,811,1415,709
860,1659,266,229,633,980,811,1384,774
852,1671,266,229,633,854,937,1369,845
897,1669,207,245,676,725,1032,1359,845
948,1690,126,270,734,710,1032,1255,840
1015,1719,124,251,753,705,989,1248,833
1006,1737,124,251,753,700,946,1166,815
985,1758,124,251,723,728,729,1026,645
967,1776,124,251,723,714,735,919,634
964,1779,120,255,723,712,451,844,602
973,1779,96,279,698,718,458,868,549
973,1778,97,279,663,753,457,898,549
968,1783,97,279,599,805,467,896,519
925,1826,97,279,458,861,552,900,535
941,1841,93,283,458,822,590,928,468
904,1872,87,295,458,822,590,928,417
903,1883,95,295,458,822,531,928,351
708,2057,116,295,458,817,536,878,357
653,2057,167,299,458,817,536,770,441
597,1690,579,310,458,817,536,708,604
380,1871,589,336,458,811,542,705,607
341,1902,564,369,443,770,598,705,644
323,1787,698,311,501,639,729,476,644
308,1792,708,306,505,540,829,428,641
303,1719,784,293,478,579,832,428,641
303,1719,784,271,500,440,971,309,628
303,1715,788,270,490,401,1021,311,621
292,1654,860,269,490,402,1004,309,622
290,1464,1055,268,237,656,1004,347,622
309,1311,1208,266,239,642,997,316,601
341,1217,1302,266,229,651,977,321,620
343,911,1608,266,229,633,980,351,627
344,860,1659,266,229,633,980,359,562
357,852,1671,266,229,633,854,359,517
357,897,1669,207,245,676,725,339,556
283,948,1690,126,270,734,710,339,556
187,1015,1719,124,251,753,705,337,556
178,1006,1737,124,251,753,700,337,570
181,985,1758,124,251,723,728,337,574
186,967,1776,124,251,723,714,337,708
192,964,1779,120,255,723,712,367,708
183,973,1779,96,279,698,718,342,749
183,973,1778,97,279,663,753,391,778
183,968,1783,97,279,599,805,399,804
183,925,1826,97,279,458,861,388,982
154,941,1841,93,283,458,822,358,935
155,904,1872,87,295,458,822,358,931
174,903,1883,95,295,458,822,358,910
202,708,2057,116,295,458,817,358,901
202,653,2057,167,299,458,817,355,816
221,597,1690,579,310,458,817,378,692
221,380,1871,589,336,458,811,378,689
221,341,1902,564,369,443,770,378,652
224,323,1787,698,311,501,639,378,652
226,308,1792,708,306,505,540,378,652
226,303,1719,784,293,478,579,370,652
226,303,1719,784,271,500,440,370,652
227,303,1715,788,270,490,401,388,652
227,292,1654,860,269,490,402,375,651
224,290,1464,1055,268,237,656,312,651
221,309,1311,1208,266,239,642,297,651
272,341,1217,1302,266,229,651,296,632
271,343,911,1608,266,229,633,215,625
270,344,860,1659,266,229,633,219,628
253,357,852,1671,266,229,633,219,782
208,357,897,1669,207,245,676,219,820
208,283,948,1690,126,270,734,219,824
208,187,1015,1719,124,251,753,211,824
208,178,1006,1737,124,251,753,211,804
205,181,985,1758,124,251,723,211,797
200,186,967,1776,124,251,723,211,790
194,192,964,1779,120,255,723,181,807
194,183,973,1779,96,279,698,181,784
194,183,973,1778,97,279,663,102,816
194,183,968,1783,97,279,599,94,821
