Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,Accum_y-1,Accum_y-2
330,747,1068,1079,722,1108,946,1443,1468
345,747,1040,1071,746,1111,716,1443,1468
345,747,989,1087,780,1108,707,1419,1470
567,747,945,920,991,989,826,1417,1456
653,715,977,917,994,657,1158,1417,1456
658,598,1094,917,978,610,1221,1311,1456
658,579,1112,846,1049,580,1252,1261,1346
658,579,1112,704,1086,667,1270,1204,1341
658,532,1158,463,1304,588,1373,1278,1341
658,532,1108,513,1243,546,1403,1250,1341
746,521,917,715,1240,497,1452,1235,1213
746,515,852,786,1200,389,1500,1220,1191
824,453,888,812,1199,367,1412,1237,1288
841,360,930,863,1145,411,1394,1290,1338
836,392,927,892,1126,430,1362,1175,941
810,418,811,1008,1126,430,1362,1213,941
805,423,801,1018,1122,434,1306,1267,1017
846,437,803,1018,1108,448,1296,1230,1114
848,379,857,1022,1022,534,1296,1122,929
848,378,825,1055,902,654,1296,1173,898
876,331,696,1231,873,683,1296,1266,879
876,331,673,1254,866,690,1296,1383,866
869,326,685,1232,884,694,1150,1425,842
1109,321,674,1251,830,748,1144,1448,933
1100,330,674,1251,775,803,1106,1409,803
1063,367,669,1256,775,803,1106,1376,782
1044,386,598,1327,763,815,1088,1399,782
977,291,716,1358,776,815,1088,1401,681
906,354,724,1299,835,793,1090,1398,656
906,341,730,1306,835,792,1047,1374,642
1077,318,747,1233,914,790,1040,1320,591
1153,330,747,1068,1079,722,1108,1495,591
1138,345,747,1040,1071,746,1111,1529,591
1138,345,747,989,1087,780,1108,1589,608
916,567,747,945,920,991,989,1618,624
870,653,715,977,917,994,657,1618,625
895,658,598,1094,917,978,610,1713,629
895,658,579,1112,846,1049,580,1689,629
900,658,579,1112,704,1086,667,1656,629
967,658,532,1158,463,1304,588,1583,629
971,658,532,1108,513,1243,546,1591,629
883,746,521,917,715,1240,497,1593,629
883,746,515,852,786,1200,389,1588,629
805,824,453,888,812,1199,367,1560,532
808,841,360,930,863,1145,411,1472,482
765,836,392,927,892,1126,430,1428,482
766,810,418,811,1008,1126,430,1304,482
832,805,423,801,1018,1122,434,1307,367
820,846,437,803,1018,1108,448,1382,219
821,848,379,857,1022,1022,534,1417,219
821,848,378,825,1055,902,654,1369,223
793,876,331,696,1231,873,683,1313,223
793,876,331,673,1254,866,690,1197,223
793,869,326,685,1232,884,694,1155,223
622,1109,321,674,1251,830,748,1084,82
801,1100,330,674,1251,775,803,962,88
854,1063,367,669,1256,775,803,992,124
854,1044,386,598,1327,763,815,995,124
854,977,291,716,1358,776,815,987,122
854,906,354,724,1299,835,793,984,122
869,906,341,730,1306,835,792,936,134
704,1077,318,747,1233,914,790,834,188
690,1153,330,747,1068,1079,722,659,222
904,1138,345,747,1040,1071,746,625,501
904,1138,345,747,989,1087,780,565,482
904,916,567,747,945,920,991,840,465
864,870,653,715,977,917,994,881,465
879,895,658,598,1094,917,978,810,461
879,895,658,579,1112,846,1049,899,475
874,900,658,579,1112,704,1086,907,531
828,967,658,532,1158,463,1304,906,612
877,971,658,532,1108,513,1243,903,617
880,883,746,521,917,715,1240,901,713
880,883,746,515,852,786,1200,901,831
888,805,824,453,888,812,1199,952,832
869,808,841,360,930,863,1145,1009,834
865,765,836,392,927,892,1126,1035,1012
864,766,810,418,811,1008,1126,1035,1021
839,832,805,423,801,1018,1122,1028,1044
812,820,846,437,803,1018,1108,963,1062
809,821,848,379,857,1022,1022,974,1132
922,821,848,378,825,1055,902,1304,1113
922,793,876,331,696,1231,873,1268,1113
941,793,876,331,673,1254,866,1267,1363
943,793,869,326,685,1232,884,1267,1469
871,622,1109,321,674,1251,830,1267,1553
692,801,1100,330,674,1251,775,1267,1539
639,854,1063,367,669,1256,775,1223,1666
639,854,1044,386,598,1327,763,1179,1748
639,854,977,291,716,1358,776,1179,1748
639,854,906,354,724,1299,835,1179,1748
627,869,906,341,730,1306,835,1179,1736
685,704,1077,318,747,1233,914,1087,1682
687,690,1153,330,747,1068,1079,1196,1670
473,904,1138,345,747,1040,1071,1202,1391
683,904,1138,345,747,989,1087,1207,1391
741,904,916,567,747,945,920,912,1391
758,864,870,653,715,977,917,871,1390
713,879,895,658,598,1094,917,847,1390
713,879,895,658,579,1112,846,751,1376
713,874,900,658,579,1112,704,771,1320
707,828,967,658,532,1158,463,772,1239
1057,877,971,658,532,1108,513,767,1234
1283,880,883,746,521,917,715,767,1138
1283,880,883,746,515,852,786,767,1020
1275,888,805,824,453,888,812,716,1022
1274,869,808,841,360,930,863,659,1020
1268,865,765,836,392,927,892,710,867
1268,864,766,810,418,811,1008,729,878
1227,839,832,805,423,801,1018,679,860
1209,812,820,846,437,803,1018,668,842
1209,809,821,848,379,857,1022,590,772
1096,922,821,848,378,825,1055,256,771
1100,922,793,876,331,696,1231,255,771
1081,941,793,876,331,673,1254,312,527
1079,943,793,869,326,685,1232,312,434
1079,871,622,1109,321,674,1251,312,358
1079,692,801,1100,330,674,1251,479,358
1079,639,854,1063,367,669,1256,489,184
1079,639,854,1044,386,598,1327,530,118
1155,639,854,977,291,716,1358,530,174
1253,639,854,906,354,724,1299,530,193
1302,627,869,906,341,730,1306,544,381
1264,685,704,1077,318,747,1233,549,630
1190,687,690,1153,330,747,1068,440,609
1257,473,904,1138,345,747,1040,434,613
1091,683,904,1138,345,747,989,429,677
1033,741,904,916,567,747,945,420,682
1065,758,864,870,653,715,977,420,682
1065,713,879,895,658,598,1094,425,683
1065,713,879,895,658,579,1112,476,683
1065,713,874,900,658,579,1112,447,683
1052,707,828,967,658,532,1158,446,683
649,1057,877,971,658,532,1108,446,683
420,1283,880,883,746,521,917,446,683
428,1283,880,883,746,515,852,446,683
491,1275,888,805,824,453,888,446,680
491,1274,869,808,841,360,930,456,680
491,1268,865,765,836,392,927,379,655
491,1268,864,766,810,418,811,360,715
491,1227,839,832,805,423,801,360,747
510,1209,812,820,846,437,803,374,752
510,1209,809,821,848,379,857,375,784
511,1096,922,821,848,378,825,375,934
515,1100,922,793,876,331,696,375,995
515,1081,941,793,876,331,673,318,990
515,1079,943,793,869,326,685,318,977
679,1079,871,622,1109,321,674,318,969
682,1079,692,801,1100,330,674,151,976
702,1079,639,854,1063,367,669,380,977
760,1079,639,854,1044,386,598,352,961
734,1155,639,854,977,291,716,352,928
689,1253,639,854,906,354,724,352,927
637,1302,627,869,906,341,730,338,739
611,1264,685,704,1077,318,747,333,490
609,1190,687,690,1153,330,747,333,489
542,1257,473,904,1138,345,747,333,485
505,1091,683,904,1138,345,747,406,421
506,1033,741,904,916,567,747,409,416
457,1065,758,864,870,653,715,509,423
569,1065,713,879,895,658,598,615,422
618,1065,713,879,895,658,579,592,422
668,1065,713,874,900,658,579,624,485
674,1052,707,828,967,658,532,624,485
674,649,1057,877,971,658,532,680,565
674,420,1283,880,883,746,521,690,580
670,428,1283,880,883,746,515,690,580
634,491,1275,888,805,824,453,690,628
634,491,1274,869,808,841,360,680,636
640,491,1268,865,765,836,392,680,695
642,491,1268,864,766,810,418,826,697
648,491,1227,839,832,805,423,832,758
657,510,1209,812,820,846,437,856,782
720,510,1209,809,821,848,379,855,776
729,511,1096,922,821,848,378,873,885
737,515,1100,922,793,876,331,873,851
737,515,1081,941,793,876,331,893,927
737,515,1079,943,793,869,326,937,929
573,679,1079,871,622,1109,321,946,929
570,682,1079,692,801,1100,330,946,947
550,702,1079,639,854,1063,367,716,946
527,760,1079,639,854,1044,386,707,947
553,734,1155,639,854,977,291,826,924
508,689,1253,639,854,906,354,1158,906
561,637,1302,627,869,906,341,1221,993
654,611,1264,685,704,1077,318,1252,1105
778,609,1190,687,690,1153,330,1270,1122
848,542,1257,473,904,1138,345,1373,1128
842,505,1091,683,904,1138,345,1403,1196
841,506,1033,741,904,916,567,1452,1279
854,457,1065,758,864,870,653,1500,1278
743,569,1065,713,879,895,658,1412,1278
694,618,1065,713,879,895,658,1394,1320
644,668,1065,713,874,900,658,1362,1292
636,674,1052,707,828,967,658,1362,1293
641,674,649,1057,877,971,658,1306,1213
641,674,420,1283,880,883,746,1296,1198
637,670,428,1283,880,883,746,1296,1242
637,634,491,1275,888,805,824,1296,1194
643,634,491,1274,869,808,841,1296,1186
642,640,491,1268,865,765,836,1296,1127
661,642,491,1268,864,766,810,1150,1045
657,648,491,1227,839,832,805,1144,947
630,657,510,1209,812,820,846,1106,918
567,720,510,1209,809,821,848,1106,892
557,729,511,1096,922,821,848,1088,633
541,737,515,1100,922,793,876,1088,606
541,737,515,1081,941,793,876,1090,529
541,737,515,1079,943,793,869,1047,527
541,573,679,1079,871,622,1109,1040,527
541,570,682,1079,692,801,1100,1108,502
541,550,702,1079,639,854,1063,1111,627
520,527,760,1079,639,854,1044,1108,705
444,553,734,1155,639,854,977,989,803
436,508,689,1253,639,854,906,657,832
383,561,637,1302,627,869,906,610,757
290,654,611,1264,685,704,1077,580,714
169,778,609,1190,687,690,1153,667,707
99,848,542,1257,473,904,1138,588,777
98,842,505,1091,683,904,1138,546,709
98,841,506,1033,741,904,916,497,704
85,854,457,1065,758,864,870,389,706
84,743,569,1065,713,879,895,367,735
84,694,618,1065,713,879,895,411,731
84,644,668,1065,713,874,900,430,698
84,636,674,1052,707,828,967,430,704
88,641,674,649,1057,877,971,434,712
88,641,674,420,1283,880,883,448,712
88,637,670,428,1283,880,883,534,668
81,637,634,491,1275,888,805,654,746
263,643,634,491,1274,869,808,683,904
365,642,640,491,1268,865,765,690,959
356,661,642,491,1268,864,766,694,1014
354,657,648,491,1227,839,832,748,1015
381,630,657,510,1209,812,820,803,1015
750,567,720,510,1209,809,821,803,1015
750,557,729,511,1096,922,821,815,1015
750,541,737,515,1100,922,793,815,1015
750,541,737,515,1081,941,793,793,1015
750,541,737,515,1079,943,793,792,1036
750,541,573,679,1079,871,622,790,1036
750,541,570,682,1079,692,801,722,1039
750,541,550,702,1079,639,854,746,914
736,520,527,760,1079,639,854,780,836
736,444,553,734,1155,639,854,991,738
764,436,508,689,1253,639,854,994,709
771,383,561,637,1302,627,869,978,697
778,290,654,611,1264,685,704,1049,628
775,169,778,609,1190,687,690,1086,622
775,99,848,542,1257,473,904,1304,591
786,98,842,505,1091,683,904,1243,601
786,98,841,506,1033,741,904,1240,707
888,85,854,457,1065,758,864,1200,706
1042,84,743,569,1065,713,879,1199,704
1063,84,694,618,1065,713,879,1145,801
1083,84,644,668,1065,713,874,1126,914
1086,84,636,674,1052,707,828,1126,930
1077,88,641,674,649,1057,877,1122,1066
1080,88,641,674,420,1283,880,1108,1066
1148,88,637,670,428,1283,880,1022,1066
1139,81,637,634,491,1275,888,902,988
951,263,643,634,491,1274,869,873,830
848,365,642,640,491,1268,865,866,775
837,356,661,642,491,1268,864,884,720
837,354,657,648,491,1227,839,830,732
835,381,630,657,510,1209,812,775,732
485,750,567,720,510,1209,809,775,777
485,750,557,729,511,1096,922,763,880
485,750,541,737,515,1100,922,776,999
485,750,541,737,515,1081,941,835,1016
489,750,541,737,515,1079,943,835,1042
489,750,541,573,679,1079,871,914,1206
508,750,541,570,682,1079,692,1079,1294
510,750,541,550,702,1079,639,1071,1328
510,736,520,527,760,1079,639,1087,1412
632,736,444,553,734,1155,639,920,1412
672,764,436,508,689,1253,639,917,1429
720,771,383,561,637,1302,627,917,1499
713,778,290,654,611,1264,685,846,1523
765,775,169,778,609,1190,687,704,1519
780,775,99,848,542,1257,473,463,1509
837,786,98,842,505,1091,683,513,1499
838,786,98,841,506,1033,741,715,1315
743,888,85,854,457,1065,758,786,1308
592,1042,84,743,569,1065,713,812,1281
571,1063,84,694,618,1065,713,863,1146
551,1083,84,644,668,1065,713,892,1031
548,1086,84,636,674,1052,707,1008,1008
548,1077,88,641,674,649,1057,1018,870
545,1080,88,641,674,420,1283,1018,920
477,1148,88,637,670,428,1283,1022,955
466,1139,81,637,634,491,1275,1055,992
466,951,263,643,634,491,1274,1231,992
462,848,365,642,640,491,1268,1254,1207
534,837,356,661,642,491,1268,1232,1211
547,837,354,657,648,491,1227,1251,1219
571,835,381,630,657,510,1209,1251,1224
600,485,750,567,720,510,1209,1256,1179
622,485,750,557,729,511,1096,1327,1076
648,485,750,541,737,515,1100,1358,976
654,485,750,541,737,515,1081,1299,972
650,489,750,541,737,515,1079,1306,954
650,489,750,541,573,679,1079,1233,831
631,508,750,541,570,682,1079,1068,740
629,510,750,541,550,702,1079,1040,706
629,510,736,520,527,760,1079,989,621
507,632,736,444,553,734,1155,945,621
439,672,764,436,508,689,1253,977,604
384,720,771,383,561,637,1302,1094,534
388,713,778,290,654,611,1264,1112,510
340,765,775,169,778,609,1190,1112,510
326,780,775,99,848,542,1257,1158,475
258,837,786,98,842,505,1091,1108,475
257,838,786,98,841,506,1033,917,475
250,743,888,85,854,457,1065,852,475
247,592,1042,84,743,569,1065,888,475
247,571,1063,84,694,618,1065,930,475
247,551,1083,84,644,668,1065,927,475
290,548,1086,84,636,674,1052,811,475
492,548,1077,88,641,674,649,801,469
578,545,1080,88,641,674,420,803,419
578,477,1148,88,637,670,428,857,384
578,466,1139,81,637,634,491,825,347
578,466,951,263,643,634,491,696,347
578,462,848,365,642,640,491,673,132
505,534,837,356,661,642,491,685,128
492,547,837,354,657,648,491,674,107
448,571,835,381,630,657,510,674,102
471,600,485,750,567,720,510,669,102
451,622,485,750,557,729,511,598,102
479,648,485,750,541,737,515,716,83
473,654,485,750,541,737,515,724,136
473,650,489,750,541,737,515,730,107
473,650,489,750,541,573,679,747,66
473,631,508,750,541,570,682,747,66
473,629,510,750,541,550,702,747,66
473,629,510,736,520,527,760,747,90
475,507,632,736,444,553,734,747,92
475,439,672,764,436,508,689,715,92
475,384,720,771,383,561,637,598,198
476,388,713,778,290,654,611,579,279
540,340,765,775,169,778,609,579,370
683,326,780,775,99,848,542,532,370
721,258,837,786,98,842,505,532,398
776,257,838,786,98,841,506,521,413
776,250,743,888,85,854,457,515,433
935,247,592,1042,84,743,569,453,444
983,247,571,1063,84,694,618,360,479
983,247,551,1083,84,644,668,392,638
945,290,548,1086,84,636,674,418,724
743,492,548,1077,88,641,674,423,724
662,578,545,1080,88,641,674,437,762
662,578,477,1148,88,637,670,379,902
703,578,466,1139,81,637,634,378,903
703,578,466,951,263,643,634,331,903
703,578,462,848,365,642,640,331,903
703,505,534,837,356,661,642,326,903
703,492,547,837,354,657,648,321,951
709,448,571,835,381,630,657,330,1112
639,471,600,485,750,567,720,367,1159
648,451,622,485,750,557,729,386,1177
594,479,648,485,750,541,737,291,1183
594,473,654,485,750,541,737,354,1123
594,473,650,489,750,541,737,341,1195
594,473,650,489,750,541,573,318,1443
594,473,631,508,750,541,570,330,1443
594,473,629,510,750,541,550,345,1443
594,473,629,510,736,520,527,345,1419
592,475,507,632,736,444,553,567,1417
650,475,439,672,764,436,508,653,1417
685,475,384,720,771,383,561,658,1311
684,476,388,713,778,290,654,658,1261
661,540,340,765,775,169,778,658,1204
711,683,326,780,775,99,848,658,1278
757,721,258,837,786,98,842,658,1250
702,776,257,838,786,98,841,746,1235
702,776,250,743,888,85,854,746,1220
543,935,247,592,1042,84,743,824,1237
879,983,247,571,1063,84,694,841,1290
879,983,247,551,1083,84,644,836,1175
874,945,290,548,1086,84,636,810,1213
874,743,492,548,1077,88,641,805,1267
869,662,578,545,1080,88,641,846,1230
882,662,578,477,1148,88,637,848,1122
889,703,578,466,1139,81,637,848,1173
889,703,578,466,951,263,643,876,1266
889,703,578,462,848,365,642,876,1383
889,703,505,534,837,356,661,869,1425
905,703,492,547,837,354,657,1109,1448
893,709,448,571,835,381,630,1100,1409
892,639,471,600,485,750,567,1063,1376
881,648,451,622,485,750,557,1044,1399
888,594,479,648,485,750,541,977,1401
888,594,473,654,485,750,541,906,1398
888,594,473,650,489,750,541,906,1374
888,594,473,650,489,750,541,1077,1320
888,594,473,631,508,750,541,1153,1495
888,594,473,629,510,750,541,1138,1529
888,594,473,629,510,736,520,1138,1589
898,592,475,507,632,736,444,916,1618
892,650,475,439,672,764,436,870,1618
896,685,475,384,720,771,383,895,1713
933,684,476,388,713,778,290,895,1689
888,661,540,340,765,775,169,900,1656
694,711,683,326,780,775,99,967,1583
655,757,721,258,837,786,98,971,1591
750,702,776,257,838,786,98,883,1593
750,702,776,250,743,888,85,883,1588
750,543,935,247,592,1042,84,805,1560
366,879,983,247,571,1063,84,808,1472
471,879,983,247,551,1083,84,765,1428
490,874,945,290,548,1086,84,766,1304
508,874,743,492,548,1077,88,832,1307
511,869,662,578,545,1080,88,820,1382
498,882,662,578,477,1148,88,821,1417
508,889,703,578,466,1139,81,821,1369
705,889,703,578,466,951,263,793,1313
727,889,703,578,462,848,365,793,1197
727,889,703,505,534,837,356,793,1155
711,905,703,492,547,837,354,622,1084
749,893,709,448,571,835,381,801,962
749,892,639,471,600,485,750,854,992
754,881,648,451,622,485,750,854,995
747,888,594,479,648,485,750,854,987
747,888,594,473,654,485,750,854,984
747,888,594,473,650,489,750,869,936
786,888,594,473,650,489,750,704,834
786,888,594,473,631,508,750,690,659
786,888,594,473,629,510,750,904,625
786,888,594,473,629,510,736,904,565
776,898,592,475,507,632,736,904,840
743,892,650,475,439,672,764,864,881
704,896,685,475,384,720,771,879,810
663,933,684,476,388,713,778,879,899
832,888,661,540,340,765,775,874,907
855,694,711,683,326,780,775,828,906
810,655,757,721,258,837,786,877,903
935,750,702,776,257,838,786,880,901
935,750,702,776,250,743,888,880,901
935,750,543,935,247,592,1042,888,952
935,366,879,983,247,571,1063,869,1009
830,471,879,983,247,551,1083,865,1035
811,490,874,945,290,548,1086,864,1035
793,508,874,743,492,548,1077,839,1028
790,511,869,662,578,545,1080,812,963
793,498,882,662,578,477,1148,809,974
735,508,889,703,578,466,1139,922,1304
538,705,889,703,578,466,951,922,1268
516,727,889,703,578,462,848,941,1267
533,727,889,703,505,534,837,943,1267
533,711,905,703,492,547,837,871,1267
495,749,893,709,448,571,835,692,1267
495,749,892,639,471,600,485,639,1223
490,754,881,648,451,622,485,639,1179
490,747,888,594,479,648,485,639,1179
490,747,888,594,473,654,485,639,1179
591,747,888,594,473,650,489,627,1179
552,786,888,594,473,650,489,685,1087
626,786,888,594,473,631,508,687,1196
816,786,888,594,473,629,510,473,1202
819,786,888,594,473,629,510,683,1207
819,776,898,592,475,507,632,741,912
800,743,892,650,475,439,672,758,871
800,704,896,685,475,384,720,713,847
800,663,933,684,476,388,713,713,751
631,832,888,661,540,340,765,713,771
608,855,694,711,683,326,780,707,772
608,810,655,757,721,258,837,1057,767
389,935,750,702,776,257,838,1283,767
482,935,750,702,776,250,743,1283,767
482,935,750,543,935,247,592,1275,716
482,935,366,879,983,247,571,1274,659
482,830,471,879,983,247,551,1268,710
482,811,490,874,945,290,548,1268,729
482,793,508,874,743,492,548,1227,679
576,790,511,869,662,578,545,1209,668
573,793,498,882,662,578,477,1209,590
573,735,508,889,703,578,466,1096,256
573,538,705,889,703,578,466,1100,255
573,516,727,889,703,578,462,1081,312
556,533,727,889,703,505,534,1079,312
556,533,711,905,703,492,547,1079,312
556,495,749,893,709,448,571,1079,479
556,495,749,892,639,471,600,1079,489
556,490,754,881,648,451,622,1079,530
556,490,747,888,594,479,648,1155,530
556,490,747,888,594,473,654,1253,530
455,591,747,888,594,473,650,1302,544
455,552,786,888,594,473,650,1264,549
381,626,786,888,594,473,631,1190,440
396,816,786,888,594,473,629,1257,434
432,819,786,888,594,473,629,1091,429
458,819,776,898,592,475,507,1033,420
476,800,743,892,650,475,439,1065,420
476,800,704,896,685,475,384,1065,425
568,800,663,933,684,476,388,1065,476
694,631,832,888,661,540,340,1065,447
740,608,855,694,711,683,326,1052,446
740,608,810,655,757,721,258,649,446
739,389,935,750,702,776,257,420,446
646,482,935,750,702,776,250,428,446
648,482,935,750,543,935,247,491,446
650,482,935,366,879,983,247,491,456
650,482,830,471,879,983,247,491,379
650,482,811,490,874,945,290,491,360
650,482,793,508,874,743,492,491,360
556,576,790,511,869,662,578,510,374
556,573,793,498,882,662,578,510,375
558,573,735,508,889,703,578,511,375
600,573,538,705,889,703,578,515,375
605,573,516,727,889,703,578,515,318
605,556,533,727,889,703,505,515,318
605,556,533,711,905,703,492,679,318
605,556,495,749,893,709,448,682,151
605,556,495,749,892,639,471,702,380
605,556,490,754,881,648,451,760,352
605,556,490,747,888,594,479,734,352
639,556,490,747,888,594,473,689,352
684,455,591,747,888,594,473,637,338
761,455,552,786,888,594,473,611,333
942,381,626,786,888,594,473,609,333
771,396,816,786,888,594,473,542,333
740,432,819,786,888,594,473,505,406
806,458,819,776,898,592,475,506,409
788,476,800,743,892,650,475,457,509
