Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,Accum_y-1,Accum_y-2
901,848,531,812,1787,468,852,1119,444
1010,850,518,825,1784,471,724,1106,436
1092,849,385,959,1784,471,716,1050,383
1091,832,406,959,1761,494,716,1049,290
1086,820,423,959,1761,494,716,974,169
1314,821,394,988,1719,536,716,919,99
1335,722,519,989,1658,597,716,886,98
1203,754,627,951,1696,597,716,802,98
1293,702,708,770,1877,597,462,798,85
1287,612,804,718,1921,605,462,706,84
1306,559,858,717,1922,605,319,692,84
1325,410,1013,717,1922,522,340,691,84
1365,388,1046,717,1882,433,378,709,84
1364,306,1134,689,1565,777,344,709,88
1415,302,1138,689,1565,777,315,709,88
1384,332,1108,720,1453,885,319,774,88
1369,347,1034,722,1379,1024,299,845,81
1359,377,1034,634,1376,1110,304,845,263
1255,480,1035,634,1261,1225,304,840,365
1248,495,944,727,1249,1237,238,833,356
1166,577,909,762,1249,1237,238,815,354
1026,717,909,762,1249,1237,231,645,381
919,809,924,762,1249,1199,267,634,750
844,883,888,799,1247,1196,272,602,750
868,884,888,730,1206,1302,276,549,750
898,882,890,526,1386,1326,276,549,750
896,883,891,525,1387,1326,276,519,750
900,887,893,512,1212,1474,317,535,750
928,889,893,511,858,1829,317,468,750
928,852,930,507,839,1722,447,417,750
928,851,915,523,763,1777,468,351,736
878,901,848,531,812,1787,468,357,736
770,1010,850,518,825,1784,471,441,764
708,1092,849,385,959,1784,471,604,771
705,1091,832,406,959,1761,494,607,778
705,1086,820,423,959,1761,494,644,775
476,1314,821,394,988,1719,536,644,775
428,1335,722,519,989,1658,597,641,786
428,1203,754,627,951,1696,597,641,786
309,1293,702,708,770,1877,597,628,888
311,1287,612,804,718,1921,605,621,1042
309,1306,559,858,717,1922,605,622,1063
347,1325,410,1013,717,1922,522,622,1083
316,1365,388,1046,717,1882,433,601,1086
321,1364,306,1134,689,1565,777,620,1077
351,1415,302,1138,689,1565,777,627,1080
359,1384,332,1108,720,1453,885,562,1148
359,1369,347,1034,722,1379,1024,517,1139
339,1359,377,1034,634,1376,1110,556,951
339,1255,480,1035,634,1261,1225,556,848
337,1248,495,944,727,1249,1237,556,837
337,1166,577,909,762,1249,1237,570,837
337,1026,717,909,762,1249,1237,574,835
337,919,809,924,762,1249,1199,708,485
367,844,883,888,799,1247,1196,708,485
342,868,884,888,730,1206,1302,749,485
