Accum_y-0,T-1,T-2,T-3,Accum_y-1,Accum_y-2,Accum_y-3
1048,1209,1416,492,582,946,1633
1354,1188,1465,492,569,939,1622
1398,1005,1651,492,558,948,1600
1532,953,1702,493,514,1147,1671
1532,935,1720,474,472,1391,1671
1532,935,1666,502,472,1343,1691
1532,872,1716,515,472,1240,1641
1532,849,1739,515,472,1221,1668
1532,731,1857,515,472,1222,1615
1532,702,1886,515,472,1104,1602
1532,515,2073,514,472,1070,1451
1527,504,2089,319,472,1056,1158
1528,504,2072,337,472,1020,1037
1521,469,2111,340,472,898,1006
1493,479,2138,340,507,881,1001
1489,437,2154,370,517,868,1001
1489,338,2127,496,517,871,982
1489,331,2080,550,517,851,865
1517,331,2049,581,563,863,705
1506,387,2049,581,586,868,705
1500,412,2034,596,573,954,719
1372,511,1984,703,572,1036,727
1371,509,1742,950,650,1124,719
1332,524,1731,871,701,1188,691
1318,530,1697,905,650,1172,510
1241,572,1406,1257,767,1200,341
1213,619,1228,1400,777,1205,260
1279,624,1123,1421,642,1197,199
1151,758,1132,1411,487,1182,284
1058,841,1141,1412,487,1182,293
1020,875,1144,1413,490,1181,286
782,1048,1209,1416,491,1051,279
550,1354,1188,1465,491,1036,295
564,1398,1005,1651,491,1092,295
437,1532,953,1702,495,999,219
438,1532,935,1720,541,839,219
438,1532,935,1666,546,907,220
443,1532,872,1716,592,956,248
445,1532,849,1739,607,985,301
445,1532,731,1857,870,987,302
445,1532,702,1886,925,952,389
445,1532,515,2073,980,952,389
445,1527,504,2089,1012,1144,411
443,1528,504,2072,1212,1147,433
443,1521,469,2111,1216,1147,443
434,1493,479,2138,1181,1147,511
434,1489,437,2154,1171,1157,582
434,1489,338,2127,1171,1154,584
434,1489,331,2080,1211,1141,700
406,1517,331,2049,1275,1128,710
361,1506,387,2049,1382,1123,710
342,1500,412,2034,1380,1051,696
314,1372,511,1984,1419,980,688
312,1371,509,1742,1435,924,686
312,1332,524,1731,1402,859,726
312,1318,530,1697,1469,817,754
286,1241,572,1406,1491,744,754
267,1213,619,1228,1457,707,754
198,1279,624,1123,1448,729,844
324,1151,758,1132,1448,769,807
366,1058,841,1141,1448,769,794
367,1020,875,1144,1445,820,934
364,782,1048,1209,1444,897,937
262,550,1354,1188,1444,874,921
329,564,1398,1005,1469,823,921
322,437,1532,953,1479,753,920
321,438,1532,935,1433,727,938
321,438,1532,935,1428,670,916
316,443,1532,872,1382,668,890
317,445,1532,849,1367,708,797
317,445,1532,731,1105,758,793
317,445,1532,702,1050,780,706
317,445,1532,515,1091,851,728
317,445,1527,504,1059,717,706
317,443,1528,504,859,723,684
317,443,1521,469,855,794,675
317,434,1493,479,1089,819,610
317,434,1489,437,1246,815,539
317,434,1489,338,1349,923,537
317,434,1489,331,1368,1135,420
317,406,1517,331,1260,1167,409
317,361,1506,387,1130,1219,410
317,342,1500,412,1130,1280,485
402,314,1372,511,1080,1305,563
438,312,1371,509,986,1272,572
438,312,1332,524,960,1285,555
440,312,1318,530,857,1404,527
440,286,1241,572,718,1400,655
471,267,1213,619,694,1400,719
469,198,1279,624,693,1378,645
422,324,1151,758,693,1338,598
409,366,1058,841,693,1355,597
409,367,1020,875,693,1322,493
409,364,782,1048,693,1341,503
410,262,550,1354,693,1375,525
282,329,564,1398,668,1426,525
282,322,437,1532,654,1424,525
282,321,438,1532,654,1374,507
282,321,438,1532,654,1441,506
285,316,443,1532,654,1452,504
282,317,445,1532,654,1384,565
282,317,445,1532,653,1331,595
282,317,445,1532,653,1309,651
282,317,445,1532,585,1336,673
282,317,445,1527,646,1330,710
282,317,443,1528,706,1334,780
282,317,443,1521,708,1263,781
282,317,434,1493,530,1263,778
282,317,434,1489,433,1267,781
282,317,434,1489,330,1161,781
283,317,434,1489,271,952,782
284,317,406,1517,267,920,782
284,317,361,1506,267,868,860
284,317,342,1500,267,1064,785
202,402,314,1372,267,1087,707
287,438,312,1371,295,1117,698
299,438,312,1332,328,1123,675
326,440,312,1318,393,1057,675
370,440,286,1241,405,1209,561
518,471,267,1213,430,1209,497
525,469,198,1279,465,1209,472
432,422,324,1151,466,1288,468
403,409,366,1058,498,1271,518
402,409,367,1020,750,1253,482
402,409,364,782,809,1157,506
401,410,262,550,818,1123,542
401,282,329,564,818,1058,546
405,282,322,437,818,1021,551
413,282,321,438,818,1013,551
413,282,321,438,818,929,551
410,285,316,443,820,871,554
452,282,317,445,820,870,579
464,282,317,445,833,870,550
500,282,317,445,869,881,494
500,282,317,445,841,787,450
506,282,317,445,780,779,438
574,282,317,443,720,769,389
821,282,317,443,827,785,409
1091,282,317,434,771,760,473
1091,282,317,434,711,750,470
1121,282,317,434,711,748,591
1158,283,317,434,727,745,594
1157,284,317,406,739,745,594
1247,284,317,361,745,745,523
1247,284,317,342,756,474,557
1244,202,402,314,767,415,590
1123,287,438,312,739,385,591
1111,299,438,312,711,366,607
