Accum_y-0,T-1,T-2,T-3,Accum_y-1,Accum_y-2,Accum_y-3
803,924,928,174,721,441,521
832,906,927,193,595,428,522
757,993,739,381,502,433,522
714,1105,490,630,386,433,522
707,1122,489,609,336,485,538
777,1128,485,613,314,485,576
709,1196,421,677,314,486,577
704,1279,416,682,278,517,660
706,1278,423,682,278,517,683
735,1278,422,683,278,532,703
731,1320,422,683,319,538,901
698,1292,485,683,319,578,1050
704,1293,485,683,319,578,1017
712,1213,565,683,319,578,985
712,1198,580,683,307,578,1026
668,1242,580,683,247,522,1079
746,1194,628,680,374,515,1118
904,1186,636,680,374,513,1127
959,1127,695,655,354,506,1179
1014,1045,697,715,380,650,1086
1015,947,758,747,387,650,1073
1015,918,782,752,387,635,1073
1015,892,776,784,387,608,1050
1015,633,885,934,387,562,1072
1015,606,851,995,391,545,1080
1015,529,927,990,384,545,1102
1036,527,929,977,357,545,1026
1036,527,929,969,346,530,1016
1039,502,947,976,345,528,1017
914,627,946,977,311,530,1017
836,705,947,961,247,525,1049
738,803,924,928,230,500,1091
709,832,906,927,230,516,1091
697,757,993,739,230,513,1091
628,714,1105,490,230,513,1091
622,707,1122,489,224,461,1075
591,777,1128,485,224,461,1042
601,709,1196,421,225,460,1082
707,704,1279,416,246,429,1059
706,706,1278,423,258,429,1036
704,735,1278,422,270,479,1021
801,731,1320,422,229,518,817
914,698,1292,485,239,593,650
930,704,1293,485,239,726,549
1066,712,1213,565,240,745,482
1066,712,1198,580,431,746,440
1066,668,1242,580,444,746,387
988,746,1194,628,339,666,348
830,904,1186,636,427,605,339
775,959,1127,695,433,609,279
720,1014,1045,697,417,526,273
732,1015,947,758,446,558,273
732,1015,918,782,446,558,293
777,1015,892,776,446,555,293
880,1015,633,885,446,555,273
999,1015,606,851,442,555,292
1016,1015,529,927,441,568,271
1042,1036,527,929,464,568,271
1206,1036,527,929,486,567,314
1294,1039,502,947,515,567,313
1328,914,627,946,522,565,313
1412,836,705,947,674,548,281
1412,738,803,924,674,553,230
1429,709,832,906,675,543,235
1499,697,757,993,687,544,241
1523,628,714,1105,691,550,266
1519,622,707,1122,762,554,266
1509,591,777,1128,822,560,263
1499,601,709,1196,832,560,228
1315,707,704,1279,817,573,168
1308,706,706,1278,805,594,255
1281,704,735,1278,793,529,251
1146,801,731,1320,793,484,251
1031,914,698,1292,783,369,251
1008,930,704,1293,783,236,251
870,1066,712,1213,782,217,251
920,1066,712,1198,591,216,251
955,1066,668,1242,573,216,290
992,988,746,1194,591,216,362
992,830,904,1186,516,187,396
1207,775,959,1127,510,190,443
1211,720,1014,1045,500,129,447
1219,732,1015,947,634,106,447
1224,732,1015,918,717,106,427
1179,777,1015,892,721,162,427
1076,880,1015,633,768,184,425
976,999,1015,606,805,189,394
972,1016,1015,529,875,227,393
954,1042,1036,527,958,252,385
831,1206,1036,527,950,252,329
740,1294,1039,502,1056,252,329
706,1328,914,627,1104,252,415
621,1412,836,705,977,252,417
621,1412,738,803,977,263,453
604,1429,709,832,976,265,517
534,1499,697,757,964,318,526
510,1523,628,714,960,340,512
510,1519,622,707,889,342,529
475,1509,591,777,829,336,527
475,1499,601,709,818,336,523
475,1315,707,704,815,323,523
475,1308,706,706,823,302,436
475,1281,704,735,846,302,435
475,1146,801,731,856,302,435
475,1031,914,698,915,342,435
475,1008,930,704,922,383,435
469,870,1066,712,922,383,443
419,920,1066,712,922,406,472
384,955,1066,668,922,470,515
347,992,988,746,877,476,446
347,992,830,904,906,476,412
132,1207,775,959,906,460,514
128,1211,720,1014,906,463,510
107,1219,732,1015,736,455,510
102,1224,732,1015,653,564,510
102,1179,777,1015,682,568,510
102,1076,880,1015,635,545,542
83,976,999,1015,598,551,563
136,972,1016,1015,528,500,569
107,954,1042,1036,520,475,569
66,831,1206,1036,517,475,571
66,740,1294,1039,382,475,571
66,706,1328,914,327,545,523
90,621,1412,836,302,568,538
92,621,1412,738,317,559,503
92,604,1429,709,317,565,502
198,534,1499,697,317,607,694
279,510,1523,628,427,590,892
370,510,1519,622,432,584,877
370,475,1509,591,432,584,877
398,475,1499,601,432,584,984
413,475,1315,707,557,584,984
433,475,1308,706,571,677,992
444,475,1281,704,548,766,992
479,475,1146,801,538,766,992
638,475,1031,914,876,726,992
724,475,1008,930,869,685,992
724,469,870,1066,908,685,984
762,419,920,1066,959,662,955
902,384,955,1066,1144,723,873
903,347,992,988,1191,721,870
903,347,992,830,1160,722,870
903,132,1207,775,1173,737,721
903,128,1211,720,1197,734,721
951,107,1219,732,1247,733,721
