Accum_y-0,T-1,T-2,T-3,Accum_y-1,Accum_y-2,Accum_y-3
132,436,698,686,568,1129,251
132,416,718,681,608,748,372
132,416,655,723,626,653,449
132,391,672,682,763,653,432
142,388,674,679,900,653,385
142,388,660,693,900,653,385
185,388,660,680,1112,653,612
276,388,660,679,1139,663,612
352,388,660,679,1139,807,612
352,388,660,600,1139,779,612
352,254,794,499,1139,779,612
352,223,825,460,1139,739,612
352,59,926,523,1135,617,612
352,37,938,453,1135,523,608
406,65,898,482,1135,523,616
395,96,900,477,1135,523,728
394,97,840,534,1190,525,728
508,97,840,506,1140,464,728
569,78,859,371,1140,667,728
632,73,864,361,1086,573,728
632,73,863,297,1083,638,617
630,75,857,297,955,792,598
630,75,805,329,1028,792,598
630,75,805,329,1015,787,598
647,75,805,329,1015,783,598
647,75,805,329,1014,789,579
852,77,772,362,862,849,579
853,77,765,369,820,879,579
853,77,670,464,795,849,579
853,77,557,577,795,863,596
864,77,551,583,796,903,596
809,132,436,698,796,846,594
830,132,416,718,756,846,446
832,132,416,655,738,846,365
833,132,391,672,601,846,364
829,142,388,674,457,846,364
829,142,388,660,457,916,364
786,185,388,660,245,921,137
695,276,388,660,218,1049,137
619,352,388,660,218,952,141
619,352,388,660,218,1108,141
619,352,254,794,242,1121,141
619,352,223,825,242,1159,141
630,352,59,926,245,1159,141
709,352,37,938,245,1159,141
689,406,65,898,269,1161,133
793,395,96,900,376,1161,21
825,394,97,840,330,1159,21
877,508,97,840,418,1099,21
816,569,78,859,535,887,47
832,632,73,864,546,871,47
832,632,73,863,787,806,47
953,630,75,857,801,695,47
964,630,75,805,996,707,47
968,630,75,805,1001,707,52
965,647,75,805,1001,707,52
1015,647,75,805,1001,701,52
900,852,77,772,1001,641,52
950,853,77,765,1001,611,52
951,853,77,670,1040,611,52
951,853,77,557,1204,605,58
940,864,77,551,1288,565,58
1086,809,132,436,1378,561,70
1067,830,132,416,1442,561,190
1065,832,132,416,1442,561,263
1064,833,132,391,1442,561,291
1058,829,142,388,1442,568,338
1058,829,142,388,1442,498,480
1058,786,185,388,1457,493,507
1058,695,276,388,1509,369,520
1058,619,352,388,1509,311,516
1071,619,352,388,1512,161,516
1078,619,352,254,1513,148,516
1078,619,352,223,1933,110,615
1067,630,352,59,1967,207,712
988,709,352,37,1972,214,712
915,689,406,65,1958,212,712
789,793,395,96,1923,212,712
757,825,394,97,1917,212,712
591,877,508,97,1823,216,712
591,816,569,78,1741,201,778
512,832,632,73,1793,201,778
512,832,632,73,1664,201,778
391,953,630,75,1588,218,778
380,964,630,75,1315,206,780
376,968,630,75,1310,206,868
362,965,647,75,1310,206,947
312,1015,647,75,1310,205,953
220,900,852,77,1310,235,961
169,950,853,77,1349,288,961
239,951,853,77,1310,289,961
333,951,853,77,1153,332,938
416,940,864,77,1069,483,938
310,1086,809,132,979,598,926
320,1067,830,132,915,621,806
377,1065,832,132,915,657,733
387,1064,833,132,915,768,705
452,1058,829,142,915,774,658
580,1058,829,142,915,774,530
637,1058,786,185,900,774,503
637,1058,695,276,848,760,490
637,1058,619,352,848,822,585
624,1071,619,352,845,855,614
617,1078,619,352,820,855,660
617,1078,619,352,400,855,583
622,1067,630,352,364,758,486
681,988,709,352,384,751,558
681,915,689,406,383,769,625
716,789,793,395,311,770,630
790,757,825,394,319,861,630
790,591,877,508,328,989,717
790,591,816,569,294,1016,635
803,512,832,632,231,1020,792
815,512,832,632,186,1020,869
885,391,953,630,219,1049,914
889,380,964,630,219,1116,912
892,376,968,630,219,1135,819
931,362,965,647,219,1166,806
958,312,1015,647,219,1183,906
963,220,900,852,219,1158,904
963,169,950,853,181,1138,904
1002,239,951,853,183,1174,904
908,333,951,853,176,1123,904
825,416,940,864,175,972,904
785,310,1086,809,175,968,904
788,320,1067,830,175,971,904
731,377,1065,832,176,948,904
721,387,1064,833,176,876,904
656,452,1058,829,176,1000,904
528,580,1058,829,176,1003,890
471,637,1058,786,191,1016,890
471,637,1058,695,197,1226,890
492,637,1058,619,201,1238,795
553,624,1071,619,243,1330,766
587,617,1078,619,243,1330,720
631,617,1078,619,243,1331,698
651,622,1067,630,299,1381,698
622,681,988,709,406,1381,626
681,681,915,689,456,1363,559
648,716,789,793,649,1362,554
576,790,757,825,689,1291,554
576,790,591,877,750,1187,467
603,790,591,816,886,1168,457
609,803,512,832,916,1164,300
597,815,512,832,887,1164,223
530,885,391,953,926,1081,199
526,889,380,964,989,1014,287
529,892,376,968,995,995,397
491,931,362,965,1215,990,464
471,958,312,1015,1646,989,404
466,963,220,900,1738,1025,513
466,963,169,950,1845,1024,543
356,1002,239,951,1900,989,565
356,908,333,951,1975,989,565
357,825,416,940,1975,989,565
366,785,310,1086,1988,878,566
546,788,320,1067,1993,852,575
618,731,377,1065,2009,839,575
710,721,387,1064,2080,800,575
753,656,452,1058,2144,663,575
801,528,580,1058,2322,660,575
809,471,637,1058,2307,647,575
820,471,637,1058,2337,437,575
800,492,637,1058,2432,363,575
739,553,624,1071,2431,232,595
705,587,617,1078,2560,233,620
665,631,617,1078,2721,276,620
640,651,622,1067,2685,283,620
657,622,681,988,2553,292,629
614,681,681,915,2494,319,656
682,648,716,789,2301,465,720
711,576,790,757,2250,756,720
747,576,790,591,2230,941,720
720,603,790,591,2134,1001,720
711,609,803,512,2158,1011,720
712,597,815,512,2120,1011,720
709,530,885,391,2038,1006,699
709,526,889,380,1975,1010,611
808,529,892,376,1969,1052,501
807,491,931,362,1773,1038,378
823,471,958,312,1348,1022,339
853,466,963,220,1256,985,224
1387,466,963,169,1152,996,194
1509,356,1002,239,1126,1000,172
1525,356,908,333,1057,1061,172
1816,357,825,416,1107,1068,172
1921,366,785,310,1153,1076,171
1762,546,788,320,1253,1085,162
1930,618,731,377,1253,1096,162
2053,710,721,387,1185,1126,162
2024,753,656,452,1129,1126,162
1976,801,528,580,951,1126,162
1983,809,471,637,958,1126,162
2023,820,471,637,994,1126,162
2022,800,492,637,994,1126,163
2035,739,553,624,968,1126,178
2035,705,587,617,839,1125,172
2036,665,631,617,695,1087,172
2036,640,651,622,674,1031,172
2008,657,622,681,677,1022,163
1997,614,681,681,681,995,187
1967,682,648,716,681,849,137
1992,711,576,790,681,538,223
1991,747,576,790,626,325,242
2022,720,603,790,586,257,314
2019,711,609,803,531,247,314
2226,712,597,815,531,247,373
2271,709,530,885,531,244,397
2320,709,526,889,531,256,406
2221,808,529,892,531,214,406
2298,807,491,931,507,223,396
2325,823,471,958,501,236,389
2312,853,466,963,501,274,389
1778,1387,466,963,528,240,389
1715,1509,356,1002,513,240,389
1732,1525,356,908,532,179,389
1464,1816,357,825,482,172,389
1356,1921,366,785,423,174,389
1320,1762,546,788,320,189,389
1080,1930,618,731,351,178,389
874,2053,710,721,350,148,389
935,2024,753,656,390,148,407
978,1976,801,528,441,148,407
963,1983,809,471,434,148,407
970,2023,820,471,362,148,413
994,2022,800,492,266,149,417
981,2035,739,553,253,149,382
1003,2035,705,587,283,149,363
998,2036,665,631,266,143,363
998,2036,640,651,266,142,378
979,2008,657,622,263,142,383
974,1997,614,681,269,142,430
934,1967,682,648,298,142,527
878,1992,711,576,298,142,445
888,1991,747,576,360,142,522
884,2022,720,603,366,142,450
1047,2019,711,609,383,152,450
952,2226,712,597,426,152,391
1012,2271,709,530,526,152,367
969,2320,709,526,526,136,360
967,2221,808,529,582,147,361
890,2298,807,491,594,161,455
840,2325,823,471,599,155,584
823,2312,853,466,620,113,617
854,1778,1387,466,638,104,617
806,1715,1509,356,626,107,638
834,1732,1525,356,601,107,640
834,1464,1816,357,614,107,650
