Accum_y-0,T-1,T-2,T-3,Accum_y-1,Accum_y-2,Accum_y-3
2057,116,295,458,901,1119,444
2057,167,299,458,1010,1106,436
1690,579,310,458,1092,1050,383
1871,589,336,458,1091,1049,290
1902,564,369,443,1086,974,169
1787,698,311,501,1314,919,99
1792,708,306,505,1335,886,98
1719,784,293,478,1203,802,98
1719,784,271,500,1293,798,85
1715,788,270,490,1287,706,84
1654,860,269,490,1306,692,84
1464,1055,268,237,1325,691,84
1311,1208,266,239,1365,709,84
1217,1302,266,229,1364,709,88
911,1608,266,229,1415,709,88
860,1659,266,229,1384,774,88
852,1671,266,229,1369,845,81
897,1669,207,245,1359,845,263
948,1690,126,270,1255,840,365
1015,1719,124,251,1248,833,356
1006,1737,124,251,1166,815,354
985,1758,124,251,1026,645,381
967,1776,124,251,919,634,750
964,1779,120,255,844,602,750
973,1779,96,279,868,549,750
973,1778,97,279,898,549,750
968,1783,97,279,896,519,750
925,1826,97,279,900,535,750
941,1841,93,283,928,468,750
904,1872,87,295,928,417,750
903,1883,95,295,928,351,736
708,2057,116,295,878,357,736
653,2057,167,299,770,441,764
597,1690,579,310,708,604,771
380,1871,589,336,705,607,778
341,1902,564,369,705,644,775
323,1787,698,311,476,644,775
308,1792,708,306,428,641,786
303,1719,784,293,428,641,786
303,1719,784,271,309,628,888
303,1715,788,270,311,621,1042
292,1654,860,269,309,622,1063
290,1464,1055,268,347,622,1083
309,1311,1208,266,316,601,1086
341,1217,1302,266,321,620,1077
343,911,1608,266,351,627,1080
344,860,1659,266,359,562,1148
357,852,1671,266,359,517,1139
357,897,1669,207,339,556,951
283,948,1690,126,339,556,848
187,1015,1719,124,337,556,837
178,1006,1737,124,337,570,837
181,985,1758,124,337,574,835
186,967,1776,124,337,708,485
192,964,1779,120,367,708,485
183,973,1779,96,342,749,485
183,973,1778,97,391,778,485
183,968,1783,97,399,804,489
183,925,1826,97,388,982,489
154,941,1841,93,358,935,508
155,904,1872,87,358,931,510
174,903,1883,95,358,910,510
202,708,2057,116,358,901,632
202,653,2057,167,355,816,672
221,597,1690,579,378,692,720
221,380,1871,589,378,689,713
221,341,1902,564,378,652,765
224,323,1787,698,378,652,780
226,308,1792,708,378,652,837
226,303,1719,784,370,652,838
226,303,1719,784,370,652,743
227,303,1715,788,388,652,592
227,292,1654,860,375,651,571
224,290,1464,1055,312,651,551
221,309,1311,1208,297,651,548
272,341,1217,1302,296,632,548
271,343,911,1608,215,625,545
270,344,860,1659,219,628,477
253,357,852,1671,219,782,466
208,357,897,1669,219,820,466
208,283,948,1690,219,824,462
208,187,1015,1719,211,824,534
208,178,1006,1737,211,804,547
205,181,985,1758,211,797,571
200,186,967,1776,211,790,600
194,192,964,1779,181,807,622
194,183,973,1779,181,784,648
194,183,973,1778,102,816,654
194,183,968,1783,94,821,650
194,183,925,1826,124,645,650
192,154,941,1841,154,628,631
198,155,904,1872,197,688,629
161,174,903,1883,259,697,629
133,202,708,2057,330,736,507
133,202,653,2057,330,739,439
119,221,597,1690,297,700,384
119,221,380,1871,297,700,388
174,221,341,1902,297,725,340
218,224,323,1787,297,725,326
238,226,308,1792,297,725,258
317,226,303,1719,297,725,257
317,226,303,1719,317,731,250
316,227,303,1715,297,735,247
316,227,292,1654,292,735,247
316,224,290,1464,292,735,247
312,221,309,1311,287,735,290
252,272,341,1217,295,735,492
318,271,343,911,295,735,578
358,270,344,860,283,732,578
