Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,Accum_y-1
1048,1209,1416,492,1196,557,330,646,393,857,582
1354,1188,1465,492,1155,598,330,634,405,718,569
1398,1005,1651,492,1138,605,340,609,430,694,558
1532,953,1702,493,1075,600,408,574,465,693,514
1532,935,1720,474,1055,555,492,573,466,693,472
1532,935,1666,502,1043,593,474,559,498,693,472
1532,872,1716,515,1043,577,415,382,750,693,472
1532,849,1739,515,1024,594,406,334,809,693,472
1532,731,1857,515,1024,594,270,461,818,693,472
1532,702,1886,515,1022,596,270,461,818,668,472
1532,515,2073,514,989,622,274,465,818,654,472
1527,504,2089,319,1126,466,465,488,818,654,472
1528,504,2072,337,1123,469,449,504,818,654,472
1521,469,2111,340,1123,467,436,517,820,654,472
1493,479,2138,340,1123,373,524,523,820,654,507
1489,437,2154,370,1123,359,538,510,833,653,517
1489,338,2127,496,1123,356,541,474,869,653,517
1489,331,2080,550,1123,356,539,476,841,585,517
1517,331,2049,581,1123,334,561,476,780,646,563
1506,387,2049,581,1123,334,561,476,720,706,586
1500,412,2034,596,1094,363,561,367,827,708,573
1372,511,1984,703,1086,371,561,367,771,530,572
1371,509,1742,950,1033,424,561,367,711,433,650
1332,524,1731,871,1144,427,561,367,711,330,701
1318,530,1697,905,1112,464,564,351,727,271,650
1241,572,1406,1257,1029,542,569,339,739,267,767
1213,619,1228,1400,1060,544,571,333,745,267,777
1279,624,1123,1421,1025,663,571,322,756,267,642
1151,758,1132,1411,742,956,571,311,767,267,487
1058,841,1141,1412,731,967,571,311,739,295,487
1020,875,1144,1413,492,1206,547,330,711,328,490
782,1048,1209,1416,492,1196,557,330,646,393,491
550,1354,1188,1465,492,1155,598,330,634,405,491
564,1398,1005,1651,492,1138,605,340,609,430,491
437,1532,953,1702,493,1075,600,408,574,465,495
438,1532,935,1720,474,1055,555,492,573,466,541
438,1532,935,1666,502,1043,593,474,559,498,546
443,1532,872,1716,515,1043,577,415,382,750,592
445,1532,849,1739,515,1024,594,406,334,809,607
445,1532,731,1857,515,1024,594,270,461,818,870
445,1532,702,1886,515,1022,596,270,461,818,925
445,1532,515,2073,514,989,622,274,465,818,980
445,1527,504,2089,319,1126,466,465,488,818,1012
443,1528,504,2072,337,1123,469,449,504,818,1212
443,1521,469,2111,340,1123,467,436,517,820,1216
434,1493,479,2138,340,1123,373,524,523,820,1181
434,1489,437,2154,370,1123,359,538,510,833,1171
434,1489,338,2127,496,1123,356,541,474,869,1171
434,1489,331,2080,550,1123,356,539,476,841,1211
406,1517,331,2049,581,1123,334,561,476,780,1275
361,1506,387,2049,581,1123,334,561,476,720,1382
342,1500,412,2034,596,1094,363,561,367,827,1380
314,1372,511,1984,703,1086,371,561,367,771,1419
312,1371,509,1742,950,1033,424,561,367,711,1435
312,1332,524,1731,871,1144,427,561,367,711,1402
312,1318,530,1697,905,1112,464,564,351,727,1469
286,1241,572,1406,1257,1029,542,569,339,739,1491
267,1213,619,1228,1400,1060,544,571,333,745,1457
198,1279,624,1123,1421,1025,663,571,322,756,1448
324,1151,758,1132,1411,742,956,571,311,767,1448
366,1058,841,1141,1412,731,967,571,311,739,1448
367,1020,875,1144,1413,492,1206,547,330,711,1445
364,782,1048,1209,1416,492,1196,557,330,646,1444
262,550,1354,1188,1465,492,1155,598,330,634,1444
329,564,1398,1005,1651,492,1138,605,340,609,1469
322,437,1532,953,1702,493,1075,600,408,574,1479
321,438,1532,935,1720,474,1055,555,492,573,1433
321,438,1532,935,1666,502,1043,593,474,559,1428
316,443,1532,872,1716,515,1043,577,415,382,1382
317,445,1532,849,1739,515,1024,594,406,334,1367
317,445,1532,731,1857,515,1024,594,270,461,1105
317,445,1532,702,1886,515,1022,596,270,461,1050
317,445,1532,515,2073,514,989,622,274,465,1091
317,445,1527,504,2089,319,1126,466,465,488,1059
317,443,1528,504,2072,337,1123,469,449,504,859
317,443,1521,469,2111,340,1123,467,436,517,855
317,434,1493,479,2138,340,1123,373,524,523,1089
317,434,1489,437,2154,370,1123,359,538,510,1246
317,434,1489,338,2127,496,1123,356,541,474,1349
317,434,1489,331,2080,550,1123,356,539,476,1368
317,406,1517,331,2049,581,1123,334,561,476,1260
317,361,1506,387,2049,581,1123,334,561,476,1130
317,342,1500,412,2034,596,1094,363,561,367,1130
402,314,1372,511,1984,703,1086,371,561,367,1080
438,312,1371,509,1742,950,1033,424,561,367,986
438,312,1332,524,1731,871,1144,427,561,367,960
440,312,1318,530,1697,905,1112,464,564,351,857
440,286,1241,572,1406,1257,1029,542,569,339,718
471,267,1213,619,1228,1400,1060,544,571,333,694
469,198,1279,624,1123,1421,1025,663,571,322,693
422,324,1151,758,1132,1411,742,956,571,311,693
409,366,1058,841,1141,1412,731,967,571,311,693
409,367,1020,875,1144,1413,492,1206,547,330,693
409,364,782,1048,1209,1416,492,1196,557,330,693
410,262,550,1354,1188,1465,492,1155,598,330,693
282,329,564,1398,1005,1651,492,1138,605,340,668
282,322,437,1532,953,1702,493,1075,600,408,654
282,321,438,1532,935,1720,474,1055,555,492,654
282,321,438,1532,935,1666,502,1043,593,474,654
285,316,443,1532,872,1716,515,1043,577,415,654
282,317,445,1532,849,1739,515,1024,594,406,654
282,317,445,1532,731,1857,515,1024,594,270,653
282,317,445,1532,702,1886,515,1022,596,270,653
282,317,445,1532,515,2073,514,989,622,274,585
282,317,445,1527,504,2089,319,1126,466,465,646
282,317,443,1528,504,2072,337,1123,469,449,706
282,317,443,1521,469,2111,340,1123,467,436,708
282,317,434,1493,479,2138,340,1123,373,524,530
282,317,434,1489,437,2154,370,1123,359,538,433
282,317,434,1489,338,2127,496,1123,356,541,330
283,317,434,1489,331,2080,550,1123,356,539,271
284,317,406,1517,331,2049,581,1123,334,561,267
284,317,361,1506,387,2049,581,1123,334,561,267
284,317,342,1500,412,2034,596,1094,363,561,267
202,402,314,1372,511,1984,703,1086,371,561,267
287,438,312,1371,509,1742,950,1033,424,561,295
299,438,312,1332,524,1731,871,1144,427,561,328
326,440,312,1318,530,1697,905,1112,464,564,393
370,440,286,1241,572,1406,1257,1029,542,569,405
518,471,267,1213,619,1228,1400,1060,544,571,430
525,469,198,1279,624,1123,1421,1025,663,571,465
432,422,324,1151,758,1132,1411,742,956,571,466
403,409,366,1058,841,1141,1412,731,967,571,498
402,409,367,1020,875,1144,1413,492,1206,547,750
402,409,364,782,1048,1209,1416,492,1196,557,809
401,410,262,550,1354,1188,1465,492,1155,598,818
401,282,329,564,1398,1005,1651,492,1138,605,818
405,282,322,437,1532,953,1702,493,1075,600,818
413,282,321,438,1532,935,1720,474,1055,555,818
413,282,321,438,1532,935,1666,502,1043,593,818
410,285,316,443,1532,872,1716,515,1043,577,820
452,282,317,445,1532,849,1739,515,1024,594,820
464,282,317,445,1532,731,1857,515,1024,594,833
500,282,317,445,1532,702,1886,515,1022,596,869
500,282,317,445,1532,515,2073,514,989,622,841
