Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,Accum_y-1
989,826,352,530,1179,987,1401,1183,83,976,803
657,1158,352,530,1179,984,1398,1123,136,972,832
610,1221,338,544,1179,936,1374,1195,107,954,757
580,1252,333,549,1087,834,1320,1443,66,831,714
667,1270,333,440,1196,659,1495,1443,66,740,707
588,1373,333,434,1202,625,1529,1443,66,706,777
546,1403,406,429,1207,565,1589,1419,90,621,709
497,1452,409,420,912,840,1618,1417,92,621,704
389,1500,509,420,871,881,1618,1417,92,604,706
367,1412,615,425,847,810,1713,1311,198,534,735
411,1394,592,476,751,899,1689,1261,279,510,731
430,1362,624,447,771,907,1656,1204,370,510,698
430,1362,624,446,772,906,1583,1278,370,475,704
434,1306,680,446,767,903,1591,1250,398,475,712
448,1296,690,446,767,901,1593,1235,413,475,712
534,1296,690,446,767,901,1588,1220,433,475,668
654,1296,690,446,716,952,1560,1237,444,475,746
683,1296,680,456,659,1009,1472,1290,479,475,904
690,1296,680,379,710,1035,1428,1175,638,475,959
694,1150,826,360,729,1035,1304,1213,724,475,1014
748,1144,832,360,679,1028,1307,1267,724,469,1015
803,1106,856,374,668,963,1382,1230,762,419,1015
803,1106,855,375,590,974,1417,1122,902,384,1015
815,1088,873,375,256,1304,1369,1173,903,347,1015
815,1088,873,375,255,1268,1313,1266,903,347,1015
793,1090,893,318,312,1267,1197,1383,903,132,1015
792,1047,937,318,312,1267,1155,1425,903,128,1036
790,1040,946,318,312,1267,1084,1448,951,107,1036
722,1108,946,151,479,1267,962,1409,1112,102,1039
746,1111,716,380,489,1223,992,1376,1159,102,914
780,1108,707,352,530,1179,995,1399,1177,102,836
991,989,826,352,530,1179,987,1401,1183,83,738
994,657,1158,352,530,1179,984,1398,1123,136,709
978,610,1221,338,544,1179,936,1374,1195,107,697
1049,580,1252,333,549,1087,834,1320,1443,66,628
1086,667,1270,333,440,1196,659,1495,1443,66,622
1304,588,1373,333,434,1202,625,1529,1443,66,591
1243,546,1403,406,429,1207,565,1589,1419,90,601
1240,497,1452,409,420,912,840,1618,1417,92,707
1200,389,1500,509,420,871,881,1618,1417,92,706
1199,367,1412,615,425,847,810,1713,1311,198,704
1145,411,1394,592,476,751,899,1689,1261,279,801
1126,430,1362,624,447,771,907,1656,1204,370,914
1126,430,1362,624,446,772,906,1583,1278,370,930
1122,434,1306,680,446,767,903,1591,1250,398,1066
1108,448,1296,690,446,767,901,1593,1235,413,1066
1022,534,1296,690,446,767,901,1588,1220,433,1066
902,654,1296,690,446,716,952,1560,1237,444,988
873,683,1296,680,456,659,1009,1472,1290,479,830
866,690,1296,680,379,710,1035,1428,1175,638,775
884,694,1150,826,360,729,1035,1304,1213,724,720
830,748,1144,832,360,679,1028,1307,1267,724,732
775,803,1106,856,374,668,963,1382,1230,762,732
775,803,1106,855,375,590,974,1417,1122,902,777
763,815,1088,873,375,256,1304,1369,1173,903,880
776,815,1088,873,375,255,1268,1313,1266,903,999
835,793,1090,893,318,312,1267,1197,1383,903,1016
835,792,1047,937,318,312,1267,1155,1425,903,1042
914,790,1040,946,318,312,1267,1084,1448,951,1206
1079,722,1108,946,151,479,1267,962,1409,1112,1294
1071,746,1111,716,380,489,1223,992,1376,1159,1328
1087,780,1108,707,352,530,1179,995,1399,1177,1412
920,991,989,826,352,530,1179,987,1401,1183,1412
917,994,657,1158,352,530,1179,984,1398,1123,1429
917,978,610,1221,338,544,1179,936,1374,1195,1499
846,1049,580,1252,333,549,1087,834,1320,1443,1523
704,1086,667,1270,333,440,1196,659,1495,1443,1519
463,1304,588,1373,333,434,1202,625,1529,1443,1509
513,1243,546,1403,406,429,1207,565,1589,1419,1499
715,1240,497,1452,409,420,912,840,1618,1417,1315
786,1200,389,1500,509,420,871,881,1618,1417,1308
812,1199,367,1412,615,425,847,810,1713,1311,1281
863,1145,411,1394,592,476,751,899,1689,1261,1146
892,1126,430,1362,624,447,771,907,1656,1204,1031
1008,1126,430,1362,624,446,772,906,1583,1278,1008
1018,1122,434,1306,680,446,767,903,1591,1250,870
1018,1108,448,1296,690,446,767,901,1593,1235,920
1022,1022,534,1296,690,446,767,901,1588,1220,955
1055,902,654,1296,690,446,716,952,1560,1237,992
1231,873,683,1296,680,456,659,1009,1472,1290,992
1254,866,690,1296,680,379,710,1035,1428,1175,1207
1232,884,694,1150,826,360,729,1035,1304,1213,1211
1251,830,748,1144,832,360,679,1028,1307,1267,1219
1251,775,803,1106,856,374,668,963,1382,1230,1224
1256,775,803,1106,855,375,590,974,1417,1122,1179
1327,763,815,1088,873,375,256,1304,1369,1173,1076
1358,776,815,1088,873,375,255,1268,1313,1266,976
1299,835,793,1090,893,318,312,1267,1197,1383,972
1306,835,792,1047,937,318,312,1267,1155,1425,954
1233,914,790,1040,946,318,312,1267,1084,1448,831
1068,1079,722,1108,946,151,479,1267,962,1409,740
1040,1071,746,1111,716,380,489,1223,992,1376,706
989,1087,780,1108,707,352,530,1179,995,1399,621
945,920,991,989,826,352,530,1179,987,1401,621
977,917,994,657,1158,352,530,1179,984,1398,604
1094,917,978,610,1221,338,544,1179,936,1374,534
1112,846,1049,580,1252,333,549,1087,834,1320,510
1112,704,1086,667,1270,333,440,1196,659,1495,510
1158,463,1304,588,1373,333,434,1202,625,1529,475
1108,513,1243,546,1403,406,429,1207,565,1589,475
917,715,1240,497,1452,409,420,912,840,1618,475
852,786,1200,389,1500,509,420,871,881,1618,475
888,812,1199,367,1412,615,425,847,810,1713,475
930,863,1145,411,1394,592,476,751,899,1689,475
927,892,1126,430,1362,624,447,771,907,1656,475
811,1008,1126,430,1362,624,446,772,906,1583,475
801,1018,1122,434,1306,680,446,767,903,1591,469
803,1018,1108,448,1296,690,446,767,901,1593,419
857,1022,1022,534,1296,690,446,767,901,1588,384
825,1055,902,654,1296,690,446,716,952,1560,347
696,1231,873,683,1296,680,456,659,1009,1472,347
673,1254,866,690,1296,680,379,710,1035,1428,132
685,1232,884,694,1150,826,360,729,1035,1304,128
674,1251,830,748,1144,832,360,679,1028,1307,107
674,1251,775,803,1106,856,374,668,963,1382,102
669,1256,775,803,1106,855,375,590,974,1417,102
598,1327,763,815,1088,873,375,256,1304,1369,102
716,1358,776,815,1088,873,375,255,1268,1313,83
724,1299,835,793,1090,893,318,312,1267,1197,136
730,1306,835,792,1047,937,318,312,1267,1155,107
747,1233,914,790,1040,946,318,312,1267,1084,66
747,1068,1079,722,1108,946,151,479,1267,962,66
747,1040,1071,746,1111,716,380,489,1223,992,66
747,989,1087,780,1108,707,352,530,1179,995,90
747,945,920,991,989,826,352,530,1179,987,92
715,977,917,994,657,1158,352,530,1179,984,92
598,1094,917,978,610,1221,338,544,1179,936,198
579,1112,846,1049,580,1252,333,549,1087,834,279
579,1112,704,1086,667,1270,333,440,1196,659,370
532,1158,463,1304,588,1373,333,434,1202,625,370
532,1108,513,1243,546,1403,406,429,1207,565,398
521,917,715,1240,497,1452,409,420,912,840,413
515,852,786,1200,389,1500,509,420,871,881,433
453,888,812,1199,367,1412,615,425,847,810,444
360,930,863,1145,411,1394,592,476,751,899,479
392,927,892,1126,430,1362,624,447,771,907,638
418,811,1008,1126,430,1362,624,446,772,906,724
423,801,1018,1122,434,1306,680,446,767,903,724
437,803,1018,1108,448,1296,690,446,767,901,762
379,857,1022,1022,534,1296,690,446,767,901,902
378,825,1055,902,654,1296,690,446,716,952,903
331,696,1231,873,683,1296,680,456,659,1009,903
331,673,1254,866,690,1296,680,379,710,1035,903
326,685,1232,884,694,1150,826,360,729,1035,903
321,674,1251,830,748,1144,832,360,679,1028,951
330,674,1251,775,803,1106,856,374,668,963,1112
367,669,1256,775,803,1106,855,375,590,974,1159
386,598,1327,763,815,1088,873,375,256,1304,1177
291,716,1358,776,815,1088,873,375,255,1268,1183
354,724,1299,835,793,1090,893,318,312,1267,1123
341,730,1306,835,792,1047,937,318,312,1267,1195
318,747,1233,914,790,1040,946,318,312,1267,1443
330,747,1068,1079,722,1108,946,151,479,1267,1443
345,747,1040,1071,746,1111,716,380,489,1223,1443
345,747,989,1087,780,1108,707,352,530,1179,1419
567,747,945,920,991,989,826,352,530,1179,1417
653,715,977,917,994,657,1158,352,530,1179,1417
658,598,1094,917,978,610,1221,338,544,1179,1311
658,579,1112,846,1049,580,1252,333,549,1087,1261
658,579,1112,704,1086,667,1270,333,440,1196,1204
658,532,1158,463,1304,588,1373,333,434,1202,1278
658,532,1108,513,1243,546,1403,406,429,1207,1250
746,521,917,715,1240,497,1452,409,420,912,1235
746,515,852,786,1200,389,1500,509,420,871,1220
824,453,888,812,1199,367,1412,615,425,847,1237
841,360,930,863,1145,411,1394,592,476,751,1290
836,392,927,892,1126,430,1362,624,447,771,1175
810,418,811,1008,1126,430,1362,624,446,772,1213
805,423,801,1018,1122,434,1306,680,446,767,1267
846,437,803,1018,1108,448,1296,690,446,767,1230
848,379,857,1022,1022,534,1296,690,446,767,1122
848,378,825,1055,902,654,1296,690,446,716,1173
876,331,696,1231,873,683,1296,680,456,659,1266
876,331,673,1254,866,690,1296,680,379,710,1383
869,326,685,1232,884,694,1150,826,360,729,1425
1109,321,674,1251,830,748,1144,832,360,679,1448
1100,330,674,1251,775,803,1106,856,374,668,1409
1063,367,669,1256,775,803,1106,855,375,590,1376
1044,386,598,1327,763,815,1088,873,375,256,1399
977,291,716,1358,776,815,1088,873,375,255,1401
906,354,724,1299,835,793,1090,893,318,312,1398
906,341,730,1306,835,792,1047,937,318,312,1374
1077,318,747,1233,914,790,1040,946,318,312,1320
1153,330,747,1068,1079,722,1108,946,151,479,1495
1138,345,747,1040,1071,746,1111,716,380,489,1529
1138,345,747,989,1087,780,1108,707,352,530,1589
916,567,747,945,920,991,989,826,352,530,1618
870,653,715,977,917,994,657,1158,352,530,1618
895,658,598,1094,917,978,610,1221,338,544,1713
895,658,579,1112,846,1049,580,1252,333,549,1689
900,658,579,1112,704,1086,667,1270,333,440,1656
967,658,532,1158,463,1304,588,1373,333,434,1583
971,658,532,1108,513,1243,546,1403,406,429,1591
883,746,521,917,715,1240,497,1452,409,420,1593
883,746,515,852,786,1200,389,1500,509,420,1588
805,824,453,888,812,1199,367,1412,615,425,1560
808,841,360,930,863,1145,411,1394,592,476,1472
765,836,392,927,892,1126,430,1362,624,447,1428
766,810,418,811,1008,1126,430,1362,624,446,1304
832,805,423,801,1018,1122,434,1306,680,446,1307
820,846,437,803,1018,1108,448,1296,690,446,1382
821,848,379,857,1022,1022,534,1296,690,446,1417
821,848,378,825,1055,902,654,1296,690,446,1369
793,876,331,696,1231,873,683,1296,680,456,1313
793,876,331,673,1254,866,690,1296,680,379,1197
793,869,326,685,1232,884,694,1150,826,360,1155
622,1109,321,674,1251,830,748,1144,832,360,1084
801,1100,330,674,1251,775,803,1106,856,374,962
854,1063,367,669,1256,775,803,1106,855,375,992
854,1044,386,598,1327,763,815,1088,873,375,995
854,977,291,716,1358,776,815,1088,873,375,987
854,906,354,724,1299,835,793,1090,893,318,984
869,906,341,730,1306,835,792,1047,937,318,936
704,1077,318,747,1233,914,790,1040,946,318,834
690,1153,330,747,1068,1079,722,1108,946,151,659
904,1138,345,747,1040,1071,746,1111,716,380,625
904,1138,345,747,989,1087,780,1108,707,352,565
904,916,567,747,945,920,991,989,826,352,840
864,870,653,715,977,917,994,657,1158,352,881
879,895,658,598,1094,917,978,610,1221,338,810
879,895,658,579,1112,846,1049,580,1252,333,899
874,900,658,579,1112,704,1086,667,1270,333,907
828,967,658,532,1158,463,1304,588,1373,333,906
877,971,658,532,1108,513,1243,546,1403,406,903
880,883,746,521,917,715,1240,497,1452,409,901
880,883,746,515,852,786,1200,389,1500,509,901
888,805,824,453,888,812,1199,367,1412,615,952
869,808,841,360,930,863,1145,411,1394,592,1009
865,765,836,392,927,892,1126,430,1362,624,1035
864,766,810,418,811,1008,1126,430,1362,624,1035
839,832,805,423,801,1018,1122,434,1306,680,1028
812,820,846,437,803,1018,1108,448,1296,690,963
809,821,848,379,857,1022,1022,534,1296,690,974
922,821,848,378,825,1055,902,654,1296,690,1304
922,793,876,331,696,1231,873,683,1296,680,1268
941,793,876,331,673,1254,866,690,1296,680,1267
943,793,869,326,685,1232,884,694,1150,826,1267
871,622,1109,321,674,1251,830,748,1144,832,1267
692,801,1100,330,674,1251,775,803,1106,856,1267
639,854,1063,367,669,1256,775,803,1106,855,1223
639,854,1044,386,598,1327,763,815,1088,873,1179
639,854,977,291,716,1358,776,815,1088,873,1179
639,854,906,354,724,1299,835,793,1090,893,1179
627,869,906,341,730,1306,835,792,1047,937,1179
685,704,1077,318,747,1233,914,790,1040,946,1087
687,690,1153,330,747,1068,1079,722,1108,946,1196
473,904,1138,345,747,1040,1071,746,1111,716,1202
683,904,1138,345,747,989,1087,780,1108,707,1207
741,904,916,567,747,945,920,991,989,826,912
758,864,870,653,715,977,917,994,657,1158,871
713,879,895,658,598,1094,917,978,610,1221,847
713,879,895,658,579,1112,846,1049,580,1252,751
713,874,900,658,579,1112,704,1086,667,1270,771
707,828,967,658,532,1158,463,1304,588,1373,772
1057,877,971,658,532,1108,513,1243,546,1403,767
1283,880,883,746,521,917,715,1240,497,1452,767
