Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,Accum_y-1
1647,596,473,335,346,1533,608,896,763,395,772
1647,596,473,303,377,1452,690,896,763,357,695
1637,606,473,283,397,1449,693,896,699,421,708
1299,944,473,283,389,1434,562,1043,706,397,750
1296,977,473,275,395,1355,504,1121,767,396,748
1326,980,459,243,441,1329,511,947,962,396,717
1326,900,539,208,476,1329,478,977,951,407,717
1309,871,585,208,476,1316,491,942,986,296,819
1269,841,639,219,482,1316,478,927,1014,290,822
1414,765,657,299,472,1307,497,907,1034,287,889
1372,805,654,304,471,1292,513,901,1040,287,889
1298,879,647,298,476,1300,424,990,1040,281,857
1245,932,647,297,462,1315,424,964,1066,281,963
1164,1012,646,299,462,1314,425,846,1184,281,960
1164,1012,564,366,477,1166,573,799,1170,342,954
902,1400,525,404,423,1101,693,555,1373,383,970
1349,1590,499,430,423,1016,778,526,1402,383,1165
1303,1646,370,559,423,858,936,518,1397,390,1083
1305,1647,370,559,423,857,937,515,1380,410,1084
1209,1745,370,559,421,858,925,528,1336,454,1084
1194,1764,349,580,387,828,989,528,1336,454,1152
1191,1767,300,629,373,799,1032,528,1336,454,1152
1155,1803,300,629,364,678,1146,544,1336,446,1152
1158,1603,500,626,367,661,1162,545,1336,315,1152
1170,1587,523,615,378,661,1162,545,1316,335,1154
1189,1658,527,561,432,534,1289,545,1275,323,1206
1178,1669,527,561,432,471,1352,545,1275,322,1207
1131,1649,594,561,421,248,1460,668,1248,349,1162
1145,1649,594,561,417,218,1491,670,1180,418,1159
1312,1649,594,473,408,313,1493,670,931,667,1159
1312,1647,596,473,343,338,1533,658,882,728,877
1312,1647,596,473,335,346,1533,608,896,763,980
1312,1647,596,473,303,377,1452,690,896,763,1038
1312,1637,606,473,283,397,1449,693,896,699,961
1312,1299,944,473,283,389,1434,562,1043,706,1062
1282,1296,977,473,275,395,1355,504,1121,767,1071
1247,1326,980,459,243,441,1329,511,947,962,1074
1247,1326,900,539,208,476,1329,478,977,951,1159
1247,1309,871,585,208,476,1316,491,942,986,1215
1246,1269,841,639,219,482,1316,478,927,1014,1508
1079,1414,765,657,299,472,1307,497,907,1034,1592
1079,1372,805,654,304,471,1292,513,901,1040,1614
1079,1298,879,647,298,476,1300,424,990,1040,1609
1079,1245,932,647,297,462,1315,424,964,1066,1480
1079,1164,1012,646,299,462,1314,425,846,1184,1480
1079,1164,1012,564,366,477,1166,573,799,1170,1479
953,902,1400,525,404,423,1101,693,555,1373,1462
316,1349,1590,499,430,423,1016,778,526,1402,1281
607,1303,1646,370,559,423,858,936,518,1397,1247
604,1305,1647,370,559,423,857,937,515,1380,1246
646,1209,1745,370,559,421,858,925,528,1336,1246
650,1194,1764,349,580,387,828,989,528,1336,1178
702,1191,1767,300,629,373,799,1032,528,1336,1178
702,1155,1803,300,629,364,678,1146,544,1336,1360
740,1158,1603,500,626,367,661,1162,545,1336,1392
724,1170,1587,523,615,378,661,1162,545,1316,1390
645,1189,1658,527,561,432,534,1289,545,1275,1375
646,1178,1669,527,561,432,471,1352,545,1275,1374
646,1131,1649,594,561,421,248,1460,668,1248,1398
632,1145,1649,594,561,417,218,1491,670,1180,1399
509,1312,1649,594,473,408,313,1493,670,931,1399
509,1312,1647,596,473,343,338,1533,658,882,1402
509,1312,1647,596,473,335,346,1533,608,896,1392
545,1312,1647,596,473,303,377,1452,690,896,1339
633,1312,1637,606,473,283,397,1449,693,896,1340
633,1312,1299,944,473,283,389,1434,562,1043,1197
633,1282,1296,977,473,275,395,1355,504,1121,1194
633,1247,1326,980,459,243,441,1329,511,947,1191
633,1247,1326,900,539,208,476,1329,478,977,1106
