Accum_y-0,T-1,T-2,Accum_y-1,Accum_y-2
780,612,633,1040,500
716,722,633,1040,490
710,731,633,1066,490
533,908,633,1184,237
531,868,675,1170,239
839,873,675,1373,229
839,896,675,1402,229
863,905,675,1397,229
865,962,675,1380,229
749,1078,675,1336,245
715,1090,701,1336,270
713,912,888,1336,251
709,920,888,1336,251
890,920,888,1336,251
1136,920,587,1316,251
1144,920,587,1275,255
1214,889,574,1275,279
1352,882,573,1248,279
1470,891,523,1180,279
1507,891,523,931,279
1507,891,482,882,283
1507,891,479,896,295
1507,891,464,896,295
1507,889,465,896,295
1659,889,465,1043,299
1758,889,465,1121,310
1805,985,421,947,336
1768,1082,421,977,369
1812,1090,421,942,311
1828,1090,385,927,306
2000,1042,345,907,293
2010,780,612,901,271
2055,716,722,990,270
2052,710,731,964,269
2060,533,908,846,268
2065,531,868,799,266
1789,839,873,555,266
1767,839,896,526,266
1734,863,905,518,266
1675,865,962,515,266
1675,749,1078,528,207
1683,715,1090,528,126
1687,713,912,528,124
1719,709,920,544,124
1538,890,920,545,124
1292,1136,920,545,124
1286,1144,920,545,120
1218,1214,889,545,96
1080,1352,882,668,97
951,1470,891,670,97
914,1507,891,670,97
928,1507,891,658,93
928,1507,891,608,87
997,1507,891,690,95
997,1507,889,693,116
845,1659,889,562,167
746,1758,889,504,579
617,1805,985,511,589
557,1768,1082,478,564
511,1812,1090,491,698
497,1828,1090,478,708
325,2000,1042,497,784
310,2010,780,513,784
219,2055,716,424,788
219,2052,710,424,860
211,2060,533,425,1055
234,2065,531,573,1208
197,1789,839,693,1302
196,1767,839,778,1608
196,1734,863,936,1659
196,1675,865,937,1671
279,1675,749,925,1669
267,1683,715,989,1690
256,1687,713,1032,1719
328,1719,709,1146,1737
328,1538,890,1162,1758
358,1292,1136,1162,1776
441,1286,1144,1289,1779
440,1218,1214,1352,1779
443,1080,1352,1460,1778
614,951,1470,1491,1783
626,914,1507,1493,1826
612,928,1507,1533,1841
