Accum_y-0,T-1,T-2,Accum_y-1,Accum_y-2
944,648,373,1353,689
929,630,406,1417,689
867,368,730,1445,689
854,380,731,1765,689
823,411,731,1795,689
748,554,731,1853,689
618,688,731,2031,689
613,705,731,2130,689
720,813,731,2088,689
696,838,731,2086,689
636,898,715,2089,718
663,899,702,2089,822
667,899,664,2008,1028
667,899,660,2008,849
636,933,645,2038,779
657,946,635,2069,899
677,948,575,2017,844
691,952,567,1971,750
691,952,567,1965,735
691,952,567,1966,717
693,952,567,1940,693
693,952,492,1956,611
698,873,567,1986,615
700,873,495,1955,615
700,822,546,1939,615
705,822,488,1940,630
696,834,489,1940,673
696,791,532,1939,675
614,829,579,1883,675
614,796,621,1661,675
470,936,647,1347,675
469,944,648,1181,675
469,929,630,1182,675
481,867,368,1139,694
481,854,380,765,743
481,823,411,683,847
413,748,554,624,877
415,618,688,415,878
414,613,705,316,977
221,720,813,296,982
226,696,838,274,982
226,636,898,293,953
200,663,899,293,849
246,667,899,291,645
259,667,899,291,644
312,636,933,281,641
291,657,946,255,571
420,677,948,279,686
695,691,952,330,714
816,691,952,343,642
847,691,952,355,644
850,693,952,311,644
850,693,952,295,639
864,698,873,265,753
980,700,873,290,806
1141,700,822,382,833
1136,705,822,384,915
1132,696,834,384,990
1132,696,791,385,988
1139,614,829,385,990
1158,614,796,390,1051
1317,470,936,393,1148
1478,469,944,482,1192
1559,469,929,516,1200
1617,481,867,523,1182
1620,481,854,523,1162
1625,481,823,513,1058
1632,413,748,512,1041
1633,415,618,512,1049
1622,414,613,543,1091
1600,221,720,590,1168
1671,226,696,633,1240
1671,226,636,611,1339
1691,200,663,611,1360
1641,246,667,628,1391
1668,259,667,665,1391
1615,312,636,680,1382
1602,291,657,675,1315
1451,420,677,635,1184
1158,695,691,589,1135
1037,816,691,582,1141
1006,847,691,588,1142
1001,850,693,592,1169
1001,850,693,590,1242
982,864,698,607,1123
865,980,700,582,1160
705,1141,700,490,1229
705,1136,705,487,1139
719,1132,696,487,1021
727,1132,696,486,1021
719,1139,614,486,1019
691,1158,614,486,962
510,1317,470,530,867
341,1478,469,526,823
260,1559,469,473,815
199,1617,481,536,814
284,1620,481,536,785
293,1625,481,536,785
286,1632,413,536,772
279,1633,415,536,763
295,1622,414,505,622
295,1600,221,458,540
219,1671,226,438,468
219,1671,226,468,369
220,1691,200,519,348
248,1641,246,549,320
301,1668,259,514,320
302,1615,312,466,320
389,1602,291,466,320
389,1451,420,467,320
411,1158,695,462,320
433,1037,816,456,313
443,1006,847,437,308
511,1001,850,434,281
582,1001,850,439,208
584,982,864,426,204
700,865,980,457,114
710,705,1141,511,18
710,705,1136,581,11
696,719,1132,640,20
688,727,1132,720,44
686,719,1139,733,44
726,691,1158,743,40
754,510,1317,696,38
754,341,1478,611,38
754,260,1559,565,38
844,199,1617,494,59
807,284,1620,546,60
794,293,1625,604,61
934,286,1632,683,80
937,279,1633,744,281
921,295,1622,761,322
921,295,1600,761,364
920,219,1671,745,496
938,219,1671,744,625
916,220,1691,707,625
890,248,1641,694,620
797,301,1668,692,625
793,302,1615,691,626
706,389,1602,691,628
728,389,1451,690,629
706,411,1158,690,631
684,433,1037,690,631
675,443,1006,690,631
610,511,1001,710,631
539,582,1001,710,631
537,584,982,708,632
420,700,865,705,635
409,710,705,692,635
410,710,705,648,655
485,696,719,589,646
563,688,727,525,622
572,686,719,539,627
555,726,691,543,629
527,754,510,636,629
655,754,341,636,629
719,754,260,636,629
645,844,199,636,608
598,807,284,584,607
597,794,293,533,650
493,934,286,473,895
503,937,279,413,809
525,921,295,396,800
525,921,295,402,892
525,920,219,462,856
507,938,219,433,729
506,916,220,419,782
504,890,248,381,813
565,797,301,395,813
595,793,302,511,815
651,706,389,555,813
673,728,389,774,815
710,706,411,787,926
780,684,433,787,927
781,675,443,787,975
778,610,511,767,1042
781,539,582,762,1042
781,537,584,784,1119
782,420,700,789,1123
782,409,710,773,1123
860,410,710,773,1103
785,485,696,773,1105
707,563,688,757,1114
698,572,686,731,1245
675,555,726,712,1385
675,527,754,619,1423
561,655,754,619,1423
497,719,754,619,1423
472,645,844,685,1450
468,598,807,685,1519
518,597,794,678,1475
482,493,934,661,1211
506,503,937,663,1097
542,525,921,668,1069
546,525,921,693,937
551,525,920,626,841
551,507,938,626,839
551,506,916,675,786
554,504,890,681,755
579,565,797,673,750
550,595,793,595,747
494,651,706,551,747
450,673,728,332,744
438,710,706,319,631
389,780,684,327,630
409,781,675,368,582
473,778,610,369,515
470,781,539,367,515
591,781,537,343,437
594,782,420,311,430
594,782,409,286,430
523,860,410,260,430
557,785,485,260,448
590,707,563,260,454
591,698,572,259,369
607,675,555,293,460
624,675,527,293,430
756,561,655,316,431
756,497,719,316,553
756,472,645,250,526
756,468,598,285,513
769,518,597,396,513
809,482,493,443,513
997,506,503,487,512
940,542,525,488,512
936,546,525,517,620
931,551,525,540,620
938,551,507,540,628
947,551,506,491,628
944,554,504,485,644
858,579,565,492,676
857,550,595,822,680
857,494,651,822,732
857,450,673,822,756
832,438,710,822,771
811,389,780,814,775
789,409,781,773,776
725,473,778,770,776
725,470,781,779,776
607,591,781,813,776
603,594,782,812,776
609,594,782,812,776
610,523,860,812,776
618,557,785,812,764
585,590,707,930,749
584,591,698,1024,716
568,607,675,991,485
551,624,675,1016,477
405,756,561,1053,514
486,756,497,1053,410
717,756,472,1053,410
717,756,468,1018,354
896,769,518,907,354
883,809,482,858,354
667,997,506,1022,354
887,940,542,1062,410
920,936,546,1003,301
1176,931,551,980,314
1208,938,551,980,339
1211,947,551,980,356
1219,944,554,1190,360
1328,858,579,1177,424
1364,857,550,809,421
1402,857,494,824,391
1415,857,450,824,454
1415,832,438,824,543
1415,811,389,824,540
1415,789,409,824,539
1415,725,473,824,539
1415,725,470,826,539
1412,607,591,792,539
1562,603,594,792,552
1588,609,594,792,552
1596,610,523,792,552
1758,618,557,792,544
1816,585,590,674,544
1837,584,591,580,526
1971,568,607,579,587
1971,551,624,554,587
1971,405,756,494,549
1934,486,756,494,560
1703,717,756,494,603
1703,717,756,510,604
1461,896,769,523,605
1434,883,809,561,605
1425,667,997,354,605
1209,887,940,323,545
1205,920,936,332,544
949,1176,931,392,531
910,1208,938,400,498
898,1211,947,400,481
890,1219,944,190,461
781,1328,858,190,365
745,1364,857,265,364
707,1402,857,254,342
694,1415,857,326,255
694,1415,832,326,151
807,1415,811,384,150
967,1415,789,384,150
1123,1415,725,384,150
1123,1415,725,373,228
1123,1412,607,373,258
973,1562,603,373,246
941,1588,609,373,326
924,1596,610,406,326
820,1758,618,730,326
774,1816,585,731,326
754,1837,584,731,326
620,1971,568,731,263
620,1971,551,731,263
620,1971,405,731,263
678,1934,486,731,236
793,1703,717,731,376
794,1703,717,715,486
799,1461,896,702,491
799,1434,883,664,534
987,1425,667,660,534
982,1209,887,645,598
953,1205,920,635,603
953,949,1176,575,626
953,910,1208,567,654
953,898,1211,567,655
963,890,1219,567,1015
963,781,1328,567,1042
963,745,1364,492,1138
966,707,1402,567,1149
1150,694,1415,495,1164
1162,694,1415,546,1164
1050,807,1415,488,1164
917,967,1415,489,1164
800,1123,1415,532,1164
800,1123,1415,579,1086
802,1123,1412,621,1056
802,973,1562,647,1055
805,941,1588,648,975
805,924,1596,630,975
723,820,1758,368,991
713,774,1816,380,1045
910,754,1837,411,1107
912,620,1971,554,1109
1092,620,1971,688,1140
1102,620,1971,705,1140
1062,678,1934,813,1200
947,793,1703,838,1041
946,794,1703,898,930
993,799,1461,899,924
993,799,1434,899,968
805,987,1425,899,968
979,982,1209,933,918
1110,953,1205,946,913
1216,953,949,948,958
1221,953,910,952,976
1221,953,898,952,981
1211,963,890,952,621
1211,963,781,952,665
1259,963,745,952,573
1263,966,707,873,562
1079,1150,694,873,578
1160,1162,694,822,594
1174,1050,807,822,594
1147,917,967,834,594
1108,800,1123,791,595
1108,800,1123,829,651
1137,802,1123,796,873
1137,802,973,936,1187
1147,805,941,944,1353
1147,805,924,929,1417
1133,723,820,867,1445
1138,713,774,854,1765
941,910,754,823,1795
1098,912,620,748,1853
952,1092,620,618,2031
1081,1102,620,613,2130
1073,1062,678,720,2088
1128,947,793,696,2086
1134,946,794,636,2089
1205,993,799,663,2089
1292,993,799,667,2008
1391,805,987,667,2008
1271,979,982,636,2038
1161,1110,953,657,2069
1055,1216,953,677,2017
1050,1221,953,691,1971
1195,1221,953,691,1965
1247,1211,963,691,1966
1252,1211,963,693,1940
1231,1259,963,693,1956
1226,1263,966,698,1986
1235,1079,1150,700,1955
1142,1160,1162,700,1939
1159,1174,1050,705,1940
1172,1147,917,696,1940
1242,1108,800,696,1939
1354,1108,800,614,1883
1467,1137,802,614,1661
1467,1137,802,470,1347
1550,1147,805,469,1181
1616,1147,805,469,1182
1650,1133,723,481,1139
1643,1138,713,481,765
1642,941,910,481,683
1483,1098,912,413,624
1503,952,1092,415,415
1409,1081,1102,414,316
1355,1073,1062,221,296
1303,1128,947,226,274
1297,1134,946,226,293
1228,1205,993,200,293
1244,1292,993,246,291
1164,1391,805,259,291
1110,1271,979,312,281
1242,1161,1110,291,255
1276,1055,1216,420,279
1290,1050,1221,695,330
1181,1195,1221,816,343
1251,1247,1211,847,355
1263,1252,1211,850,311
1249,1231,1259,850,295
1247,1226,1263,864,265
1271,1235,1079,980,290
1272,1142,1160,1141,382
1240,1159,1174,1136,384
1227,1172,1147,1132,384
1157,1242,1108,1132,385
1046,1354,1108,1139,385
903,1467,1137,1158,390
962,1467,1137,1317,393
918,1550,1147,1478,482
884,1616,1147,1559,516
854,1650,1133,1617,523
869,1643,1138,1620,523
869,1642,941,1625,513
870,1483,1098,1632,512
946,1503,952,1633,512
939,1409,1081,1622,543
948,1355,1073,1600,590
1147,1303,1128,1671,633
1391,1297,1134,1671,611
1343,1228,1205,1691,611
1240,1244,1292,1641,628
1221,1164,1391,1668,665
1222,1110,1271,1615,680
1104,1242,1161,1602,675
1070,1276,1055,1451,635
1056,1290,1050,1158,589
1020,1181,1195,1037,582
898,1251,1247,1006,588
881,1263,1252,1001,592
868,1249,1231,1001,590
871,1247,1226,982,607
851,1271,1235,865,582
863,1272,1142,705,490
868,1240,1159,705,487
954,1227,1172,719,487
1036,1157,1242,727,486
