Accum_y-0,T-1,T-2,Accum_y-1,Accum_y-2
2057,116,295,901,1119
2057,167,299,1010,1106
1690,579,310,1092,1050
1871,589,336,1091,1049
1902,564,369,1086,974
1787,698,311,1314,919
1792,708,306,1335,886
1719,784,293,1203,802
1719,784,271,1293,798
1715,788,270,1287,706
1654,860,269,1306,692
1464,1055,268,1325,691
1311,1208,266,1365,709
1217,1302,266,1364,709
911,1608,266,1415,709
860,1659,266,1384,774
852,1671,266,1369,845
897,1669,207,1359,845
948,1690,126,1255,840
1015,1719,124,1248,833
1006,1737,124,1166,815
985,1758,124,1026,645
967,1776,124,919,634
964,1779,120,844,602
973,1779,96,868,549
973,1778,97,898,549
968,1783,97,896,519
925,1826,97,900,535
941,1841,93,928,468
904,1872,87,928,417
903,1883,95,928,351
708,2057,116,878,357
653,2057,167,770,441
597,1690,579,708,604
380,1871,589,705,607
341,1902,564,705,644
323,1787,698,476,644
308,1792,708,428,641
303,1719,784,428,641
303,1719,784,309,628
303,1715,788,311,621
292,1654,860,309,622
290,1464,1055,347,622
309,1311,1208,316,601
341,1217,1302,321,620
343,911,1608,351,627
344,860,1659,359,562
357,852,1671,359,517
357,897,1669,339,556
283,948,1690,339,556
187,1015,1719,337,556
178,1006,1737,337,570
181,985,1758,337,574
186,967,1776,337,708
192,964,1779,367,708
183,973,1779,342,749
183,973,1778,391,778
183,968,1783,399,804
183,925,1826,388,982
154,941,1841,358,935
155,904,1872,358,931
174,903,1883,358,910
202,708,2057,358,901
202,653,2057,355,816
221,597,1690,378,692
221,380,1871,378,689
221,341,1902,378,652
224,323,1787,378,652
226,308,1792,378,652
226,303,1719,370,652
226,303,1719,370,652
227,303,1715,388,652
227,292,1654,375,651
224,290,1464,312,651
221,309,1311,297,651
272,341,1217,296,632
271,343,911,215,625
270,344,860,219,628
253,357,852,219,782
208,357,897,219,820
208,283,948,219,824
208,187,1015,211,824
208,178,1006,211,804
205,181,985,211,797
200,186,967,211,790
194,192,964,181,807
194,183,973,181,784
194,183,973,102,816
194,183,968,94,821
194,183,925,124,645
192,154,941,154,628
198,155,904,197,688
161,174,903,259,697
133,202,708,330,736
133,202,653,330,739
119,221,597,297,700
119,221,380,297,700
174,221,341,297,725
218,224,323,297,725
238,226,308,297,725
317,226,303,297,725
317,226,303,317,731
316,227,303,297,735
316,227,292,292,735
316,224,290,292,735
312,221,309,287,735
252,272,341,295,735
318,271,343,295,735
358,270,344,283,732
402,253,357,283,552
423,208,357,283,475
517,208,283,283,471
612,208,187,288,471
690,208,178,314,471
846,205,181,314,500
915,200,186,314,373
917,194,192,314,311
917,194,183,352,289
961,194,183,360,228
961,194,183,390,198
1193,194,183,360,190
1193,192,154,330,275
1186,198,155,287,276
1264,161,174,225,267
1330,133,202,154,228
1330,133,202,154,486
1327,119,221,144,507
1358,119,221,144,507
1303,174,221,186,533
1297,218,224,186,533
1275,238,226,186,632
1196,317,226,186,632
1196,317,226,179,626
