Accum_y-0,T-1,T-2,Accum_y-1,Accum_y-2
989,826,352,803,721
657,1158,352,832,595
610,1221,338,757,502
580,1252,333,714,386
667,1270,333,707,336
588,1373,333,777,314
546,1403,406,709,314
497,1452,409,704,278
389,1500,509,706,278
367,1412,615,735,278
411,1394,592,731,319
430,1362,624,698,319
430,1362,624,704,319
434,1306,680,712,319
448,1296,690,712,307
534,1296,690,668,247
654,1296,690,746,374
683,1296,680,904,374
690,1296,680,959,354
694,1150,826,1014,380
748,1144,832,1015,387
803,1106,856,1015,387
803,1106,855,1015,387
815,1088,873,1015,387
815,1088,873,1015,391
793,1090,893,1015,384
792,1047,937,1036,357
790,1040,946,1036,346
722,1108,946,1039,345
746,1111,716,914,311
780,1108,707,836,247
991,989,826,738,230
994,657,1158,709,230
978,610,1221,697,230
1049,580,1252,628,230
1086,667,1270,622,224
1304,588,1373,591,224
1243,546,1403,601,225
1240,497,1452,707,246
1200,389,1500,706,258
1199,367,1412,704,270
1145,411,1394,801,229
1126,430,1362,914,239
1126,430,1362,930,239
1122,434,1306,1066,240
1108,448,1296,1066,431
1022,534,1296,1066,444
902,654,1296,988,339
873,683,1296,830,427
866,690,1296,775,433
884,694,1150,720,417
830,748,1144,732,446
775,803,1106,732,446
775,803,1106,777,446
763,815,1088,880,446
776,815,1088,999,442
835,793,1090,1016,441
835,792,1047,1042,464
914,790,1040,1206,486
1079,722,1108,1294,515
1071,746,1111,1328,522
1087,780,1108,1412,674
920,991,989,1412,674
917,994,657,1429,675
917,978,610,1499,687
846,1049,580,1523,691
704,1086,667,1519,762
463,1304,588,1509,822
513,1243,546,1499,832
715,1240,497,1315,817
786,1200,389,1308,805
812,1199,367,1281,793
863,1145,411,1146,793
892,1126,430,1031,783
1008,1126,430,1008,783
1018,1122,434,870,782
1018,1108,448,920,591
1022,1022,534,955,573
1055,902,654,992,591
1231,873,683,992,516
1254,866,690,1207,510
1232,884,694,1211,500
1251,830,748,1219,634
1251,775,803,1224,717
1256,775,803,1179,721
1327,763,815,1076,768
1358,776,815,976,805
1299,835,793,972,875
1306,835,792,954,958
1233,914,790,831,950
1068,1079,722,740,1056
1040,1071,746,706,1104
989,1087,780,621,977
945,920,991,621,977
977,917,994,604,976
1094,917,978,534,964
1112,846,1049,510,960
1112,704,1086,510,889
1158,463,1304,475,829
1108,513,1243,475,818
917,715,1240,475,815
852,786,1200,475,823
888,812,1199,475,846
930,863,1145,475,856
927,892,1126,475,915
811,1008,1126,475,922
801,1018,1122,469,922
803,1018,1108,419,922
857,1022,1022,384,922
825,1055,902,347,877
696,1231,873,347,906
673,1254,866,132,906
685,1232,884,128,906
674,1251,830,107,736
674,1251,775,102,653
669,1256,775,102,682
598,1327,763,102,635
716,1358,776,83,598
724,1299,835,136,528
730,1306,835,107,520
747,1233,914,66,517
747,1068,1079,66,382
747,1040,1071,66,327
747,989,1087,90,302
747,945,920,92,317
715,977,917,92,317
598,1094,917,198,317
579,1112,846,279,427
579,1112,704,370,432
532,1158,463,370,432
532,1108,513,398,432
521,917,715,413,557
515,852,786,433,571
453,888,812,444,548
360,930,863,479,538
392,927,892,638,876
418,811,1008,724,869
423,801,1018,724,908
437,803,1018,762,959
379,857,1022,902,1144
378,825,1055,903,1191
331,696,1231,903,1160
331,673,1254,903,1173
326,685,1232,903,1197
321,674,1251,951,1247
330,674,1251,1112,1385
367,669,1256,1159,1384
386,598,1327,1177,1384
291,716,1358,1183,1487
354,724,1299,1123,1512
341,730,1306,1195,1428
318,747,1233,1443,1468
330,747,1068,1443,1468
345,747,1040,1443,1468
345,747,989,1419,1470
567,747,945,1417,1456
653,715,977,1417,1456
658,598,1094,1311,1456
658,579,1112,1261,1346
658,579,1112,1204,1341
658,532,1158,1278,1341
658,532,1108,1250,1341
746,521,917,1235,1213
746,515,852,1220,1191
824,453,888,1237,1288
841,360,930,1290,1338
836,392,927,1175,941
810,418,811,1213,941
805,423,801,1267,1017
846,437,803,1230,1114
848,379,857,1122,929
848,378,825,1173,898
876,331,696,1266,879
876,331,673,1383,866
869,326,685,1425,842
1109,321,674,1448,933
1100,330,674,1409,803
1063,367,669,1376,782
1044,386,598,1399,782
977,291,716,1401,681
906,354,724,1398,656
906,341,730,1374,642
1077,318,747,1320,591
1153,330,747,1495,591
1138,345,747,1529,591
1138,345,747,1589,608
916,567,747,1618,624
870,653,715,1618,625
895,658,598,1713,629
895,658,579,1689,629
900,658,579,1656,629
967,658,532,1583,629
971,658,532,1591,629
883,746,521,1593,629
883,746,515,1588,629
805,824,453,1560,532
808,841,360,1472,482
765,836,392,1428,482
766,810,418,1304,482
832,805,423,1307,367
820,846,437,1382,219
821,848,379,1417,219
821,848,378,1369,223
793,876,331,1313,223
793,876,331,1197,223
793,869,326,1155,223
622,1109,321,1084,82
801,1100,330,962,88
854,1063,367,992,124
854,1044,386,995,124
854,977,291,987,122
854,906,354,984,122
869,906,341,936,134
704,1077,318,834,188
690,1153,330,659,222
904,1138,345,625,501
904,1138,345,565,482
904,916,567,840,465
864,870,653,881,465
879,895,658,810,461
879,895,658,899,475
874,900,658,907,531
828,967,658,906,612
877,971,658,903,617
880,883,746,901,713
880,883,746,901,831
888,805,824,952,832
869,808,841,1009,834
865,765,836,1035,1012
864,766,810,1035,1021
839,832,805,1028,1044
812,820,846,963,1062
809,821,848,974,1132
922,821,848,1304,1113
922,793,876,1268,1113
941,793,876,1267,1363
943,793,869,1267,1469
871,622,1109,1267,1553
692,801,1100,1267,1539
639,854,1063,1223,1666
639,854,1044,1179,1748
639,854,977,1179,1748
639,854,906,1179,1748
627,869,906,1179,1736
685,704,1077,1087,1682
687,690,1153,1196,1670
473,904,1138,1202,1391
683,904,1138,1207,1391
741,904,916,912,1391
758,864,870,871,1390
713,879,895,847,1390
713,879,895,751,1376
713,874,900,771,1320
707,828,967,772,1239
1057,877,971,767,1234
1283,880,883,767,1138
1283,880,883,767,1020
1275,888,805,716,1022
1274,869,808,659,1020
1268,865,765,710,867
1268,864,766,729,878
1227,839,832,679,860
1209,812,820,668,842
1209,809,821,590,772
1096,922,821,256,771
1100,922,793,255,771
1081,941,793,312,527
1079,943,793,312,434
1079,871,622,312,358
1079,692,801,479,358
1079,639,854,489,184
1079,639,854,530,118
1155,639,854,530,174
1253,639,854,530,193
1302,627,869,544,381
1264,685,704,549,630
1190,687,690,440,609
1257,473,904,434,613
1091,683,904,429,677
1033,741,904,420,682
1065,758,864,420,682
1065,713,879,425,683
1065,713,879,476,683
1065,713,874,447,683
1052,707,828,446,683
649,1057,877,446,683
420,1283,880,446,683
428,1283,880,446,683
491,1275,888,446,680
491,1274,869,456,680
491,1268,865,379,655
491,1268,864,360,715
491,1227,839,360,747
510,1209,812,374,752
510,1209,809,375,784
511,1096,922,375,934
515,1100,922,375,995
515,1081,941,318,990
515,1079,943,318,977
679,1079,871,318,969
682,1079,692,151,976
702,1079,639,380,977
760,1079,639,352,961
734,1155,639,352,928
689,1253,639,352,927
637,1302,627,338,739
611,1264,685,333,490
609,1190,687,333,489
542,1257,473,333,485
505,1091,683,406,421
506,1033,741,409,416
457,1065,758,509,423
569,1065,713,615,422
618,1065,713,592,422
668,1065,713,624,485
674,1052,707,624,485
674,649,1057,680,565
674,420,1283,690,580
670,428,1283,690,580
634,491,1275,690,628
634,491,1274,680,636
640,491,1268,680,695
642,491,1268,826,697
648,491,1227,832,758
657,510,1209,856,782
720,510,1209,855,776
729,511,1096,873,885
737,515,1100,873,851
737,515,1081,893,927
737,515,1079,937,929
573,679,1079,946,929
570,682,1079,946,947
550,702,1079,716,946
527,760,1079,707,947
553,734,1155,826,924
508,689,1253,1158,906
561,637,1302,1221,993
654,611,1264,1252,1105
778,609,1190,1270,1122
848,542,1257,1373,1128
842,505,1091,1403,1196
841,506,1033,1452,1279
854,457,1065,1500,1278
743,569,1065,1412,1278
694,618,1065,1394,1320
644,668,1065,1362,1292
636,674,1052,1362,1293
641,674,649,1306,1213
641,674,420,1296,1198
637,670,428,1296,1242
637,634,491,1296,1194
643,634,491,1296,1186
642,640,491,1296,1127
661,642,491,1150,1045
657,648,491,1144,947
630,657,510,1106,918
567,720,510,1106,892
557,729,511,1088,633
541,737,515,1088,606
541,737,515,1090,529
541,737,515,1047,527
541,573,679,1040,527
541,570,682,1108,502
541,550,702,1111,627
520,527,760,1108,705
444,553,734,989,803
436,508,689,657,832
383,561,637,610,757
290,654,611,580,714
169,778,609,667,707
99,848,542,588,777
98,842,505,546,709
98,841,506,497,704
85,854,457,389,706
84,743,569,367,735
84,694,618,411,731
84,644,668,430,698
84,636,674,430,704
