Accum_y-0,T-1,T-2,Accum_y-1,Accum_y-2
721,499,493,441,521
595,607,338,428,522
502,619,402,433,522
386,666,471,433,522
336,671,522,485,538
314,668,547,485,576
314,668,547,486,577
278,699,552,517,660
278,699,552,517,683
278,689,561,532,703
319,689,561,538,901
319,687,563,578,1050
319,677,573,578,1017
319,677,573,578,985
307,689,573,578,1026
247,680,647,522,1079
374,667,665,515,1118
374,660,680,513,1127
354,680,675,506,1179
380,680,632,650,1086
387,680,572,650,1073
387,672,539,635,1073
387,672,486,608,1050
387,672,482,562,1072
391,634,520,545,1080
384,642,518,545,1102
357,645,542,545,1026
346,629,569,530,1016
345,606,593,528,1017
311,640,593,530,1017
247,704,593,525,1049
230,721,499,500,1091
230,595,607,516,1091
230,502,619,513,1091
230,386,666,513,1091
224,336,671,461,1075
224,314,668,461,1042
225,314,668,460,1082
246,278,699,429,1059
258,278,699,429,1036
270,278,689,479,1021
229,319,689,518,817
239,319,687,593,650
239,319,677,726,549
240,319,677,745,482
431,307,689,746,440
444,247,680,746,387
339,374,667,666,348
427,374,660,605,339
433,354,680,609,279
417,380,680,526,273
446,387,680,558,273
446,387,672,558,293
446,387,672,555,293
446,387,672,555,273
442,391,634,555,292
441,384,642,568,271
464,357,645,568,271
486,346,629,567,314
515,345,606,567,313
522,311,640,565,313
674,247,704,548,281
674,230,721,553,230
675,230,595,543,235
687,230,502,544,241
691,230,386,550,266
762,224,336,554,266
822,224,314,560,263
832,225,314,560,228
817,246,278,573,168
805,258,278,594,255
793,270,278,529,251
793,229,319,484,251
783,239,319,369,251
783,239,319,236,251
782,240,319,217,251
591,431,307,216,251
573,444,247,216,290
591,339,374,216,362
516,427,374,187,396
510,433,354,190,443
500,417,380,129,447
634,446,387,106,447
717,446,387,106,427
721,446,387,162,427
768,446,387,184,425
805,442,391,189,394
875,441,384,227,393
958,464,357,252,385
950,486,346,252,329
1056,515,345,252,329
1104,522,311,252,415
977,674,247,252,417
977,674,230,263,453
976,675,230,265,517
964,687,230,318,526
960,691,230,340,512
889,762,224,342,529
829,822,224,336,527
818,832,225,336,523
815,817,246,323,523
823,805,258,302,436
846,793,270,302,435
856,793,229,302,435
915,783,239,342,435
922,783,239,383,435
922,782,240,383,443
922,591,431,406,472
922,573,444,470,515
877,591,339,476,446
906,516,427,476,412
906,510,433,460,514
906,500,417,463,510
736,634,446,455,510
653,717,446,564,510
682,721,446,568,510
635,768,446,545,542
598,805,442,551,563
528,875,441,500,569
520,958,464,475,569
517,950,486,475,571
382,1056,515,475,571
327,1104,522,545,523
302,977,674,568,538
317,977,674,559,503
317,976,675,565,502
317,964,687,607,694
427,960,691,590,892
432,889,762,584,877
432,829,822,584,877
432,818,832,584,984
557,815,817,584,984
571,823,805,677,992
548,846,793,766,992
538,856,793,766,992
876,915,783,726,992
869,922,783,685,992
908,922,782,685,984
959,922,591,662,955
1144,922,573,723,873
1191,877,591,721,870
1160,906,516,722,870
1173,906,510,737,721
1197,906,500,734,721
1247,736,634,733,721
1385,653,717,624,721
1384,682,721,563,721
1384,635,768,563,689
1487,598,805,796,668
1512,528,875,796,675
1428,520,958,796,675
1468,517,950,796,673
1468,382,1056,796,707
1468,327,1104,772,669
1470,302,977,749,710
1456,317,977,740,709
1456,317,976,758,640
1456,317,964,660,433
1346,427,960,649,224
1341,432,889,649,222
1341,432,829,649,295
1341,432,818,649,208
1213,557,815,649,299
1191,571,823,556,291
1288,548,846,468,291
1338,538,856,468,291
941,876,915,468,291
941,869,922,468,291
1017,908,922,468,305
1114,959,922,468,326
929,1144,922,343,326
898,1191,877,339,327
879,1160,906,338,423
866,1173,906,323,423
842,1197,906,323,444
933,1247,736,325,444
803,1385,653,326,444
782,1384,682,326,444
782,1384,635,376,444
681,1487,598,334,444
656,1512,528,392,431
642,1428,520,456,484
591,1468,517,505,587
591,1468,382,505,568
591,1468,327,493,606
608,1470,302,507,548
624,1456,317,759,548
625,1456,317,772,623
629,1456,317,848,671
629,1346,427,848,695
629,1341,432,848,705
629,1341,432,848,634
629,1341,432,848,614
629,1213,557,848,523
629,1191,571,848,523
532,1288,548,847,523
482,1338,538,847,523
482,941,876,847,525
482,941,869,957,661
367,1017,908,957,715
219,1114,959,1024,724
219,929,1144,1024,776
223,898,1191,1024,775
223,879,1160,1027,679
223,866,1173,1076,679
223,842,1197,1093,681
82,933,1247,1091,689
88,803,1385,1134,689
124,782,1384,1273,689
124,782,1384,1657,689
122,681,1487,1456,689
122,656,1512,1398,689
134,642,1428,1334,636
188,591,1468,1285,533
222,591,1468,1286,525
501,591,1468,1252,506
482,608,1470,1297,506
465,624,1456,1045,506
465,625,1456,1055,454
461,629,1456,1007,406
475,629,1346,1007,382
531,629,1341,1007,499
612,629,1341,1019,497
617,629,1341,1032,567
713,629,1213,1135,654
831,629,1191,1249,682
832,532,1288,1249,682
834,482,1338,1249,863
